mechanism,replicate,wall_seconds,wall_hours,status,valid
mcar,0,3268.3827047,0.9078840846388889,completed,True
mcar,1,2880.7537009999996,0.8002093613888888,completed,True
mcar,2,4360.506344000001,1.2112517622222225,completed,True
mcar,3,4351.461679600001,1.2087393554444448,completed,True
mcar,4,4262.3524889,1.1839868024722222,completed,True
mar,0,4236.364920699998,1.1767680335277773,completed,True
mar,1,4307.929459799998,1.196647072166666,completed,True
mar,2,4179.666863900005,1.1610185733055571,completed,True
mar,3,4183.656380700006,1.1621267724166682,completed,True
mar,4,4158.024559099998,1.1550068219722218,completed,True
