mechanism,n_gene_rows,n_unique_genes,rmse_mean,rmse_median,rmse_std,rmse_q25,rmse_q75,mae_mean,mae_median,prefix_mean,n_features_mean,wall_seconds_total
mcar,250,50,0.552176959585453,0.4998840116095059,0.27200225047677046,0.3541341136835037,0.7208948449150017,0.40620577393069085,0.3409939760285451,43.588,21.556,19123.4569182
mar,250,50,0.5754014002956623,0.5239088308133727,0.2801105127280698,0.3532931958112841,0.7544557434994629,0.4192681760141993,0.35556615036889155,42.712,21.112,21065.642184200005
