gene,status,winning_prefix_len,n_predictors_selected,winning_predictors,selection_seconds,n_candidates
ACTR3B,ok,42,21,FOXA1|MLPH|FOXC1|MIA|CCNE1|CXXC5|PHGDH|MELK|EXO1|ANLN|CEP55|BLVRA|MKI67|MYC|UBE2T|NUF2|PTTG1|CENPF|SLC39A6|ERBB2|KRT14,1593.674800000008,49
ANLN,ok,49,24,MELK|CEP55|EXO1|NDC80|UBE2C|UBE2T|MLPH|CENPF|NUF2|MKI67|RRM2|BCL2|ACTR3B|EGFR|CXXC5|MIA|GPR160|FOXC1|GRB7|BLVRA|BAG1|ORC6|ERBB2|MDM2,1624.3485167000035,49
BAG1,ok,49,24,SLC39A6|BCL2|PHGDH|MMP11|MLPH|CDC20|FOXA1|MDM2|KIF2C|NAT1|KRT5|PTTG1|MIA|UBE2C|ORC6|NUF2|CEP55|RRM2|CCNB1|MKI67|MELK|ANLN|BLVRA|TYMS,2130.474807999999,49
BCL2,ok,49,24,ESR1|SLC39A6|EXO1|ANLN|EGFR|CDC20|KIF2C|FOXA1|UBE2C|MLPH|CEP55|PTTG1|RRM2|UBE2T|NDC80|BAG1|MKI67|TYMS|MIA|CDC6|GPR160|MYBL2|MYC|ORC6,1210.808276699987,49
BIRC5,ok,33,16,KIF2C|CDC20|UBE2C|CEP55|EXO1|CCNE1|MKI67|ANLN|NDC80|CCNB1|FOXA1|MLPH|GPR160|CDH3|CDC6|MIA,1363.755684600008,49
BLVRA,ok,44,22,ACTR3B|GPR160|MLPH|MIA|SLC39A6|CCNE1|PGR|MYC|ESR1|KIF2C|MKI67|CDC20|CENPF|TYMS|MAPT|UBE2C|MDM2|CCNB1|ANLN|NDC80|FGFR4|BAG1,1490.0365625999984,49
CCNB1,ok,48,24,NDC80|PTTG1|UBE2C|CENPF|CEP55|BIRC5|KIF2C|NUF2|MELK|MKI67|TYMS|CCNE1|MAPT|KRT14|PHGDH|MYBL2|FGFR4|BLVRA|MDM2|KRT17|ERBB2|EGFR|BAG1|CXXC5,1563.711189499998,49
CCNE1,ok,49,24,KIF2C|MELK|EXO1|UBE2C|FOXA1|BIRC5|MLPH|MKI67|NDC80|CDH3|FOXC1|GPR160|UBE2T|CCNB1|RRM2|NUF2|KRT5|CDC6|FGFR4|GRB7|MYC|ERBB2|KRT14|MDM2,1405.0197015000012,49
CDC20,ok,40,20,KIF2C|UBE2C|CEP55|BIRC5|MELK|PTTG1|CENPF|MKI67|NDC80|UBE2T|MLPH|SLC39A6|BCL2|GPR160|NUF2|RRM2|PGR|KRT5|ORC6|KRT17,1612.0662287000014,49
CDC6,ok,39,19,EXO1|UBE2C|ERBB2|CEP55|BIRC5|KIF2C|CCNB1|MKI67|ANLN|NAT1|NDC80|RRM2|BCL2|TYMS|SLC39A6|MLPH|MDM2|FOXA1|ACTR3B,1961.471529100003,49
NUF2,ok,38,19,NDC80|UBE2T|CCNB1|CEP55|ANLN|UBE2C|MELK|EXO1|PTTG1|KIF2C|TYMS|CDC20|MKI67|CCNE1|RRM2|MIA|TMEM45B|MYBL2|FOXC1,1640.688211700006,49
CDH3,ok,49,24,KRT17|EGFR|KRT5|MLPH|CCNE1|BCL2|MIA|CDC20|KIF2C|EXO1|ANLN|CEP55|ACTR3B|UBE2C|BIRC5|PTTG1|NDC80|CENPF|GRB7|BAG1|NUF2|CCNB1|CDC6|TMEM45B,1171.4010557999864,49
CENPF,ok,49,24,EXO1|UBE2C|CEP55|KIF2C|CDC20|MKI67|UBE2T|CCNB1|TYMS|MLPH|BCL2|SLC39A6|FOXC1|RRM2|GRB7|EGFR|BLVRA|ERBB2|KRT5|KRT17|BAG1|MYC|TMEM45B|MDM2,1481.760644199996,49
CEP55,ok,48,24,UBE2C|MELK|KIF2C|PTTG1|EXO1|ANLN|BIRC5|CENPF|MKI67|UBE2T|NDC80|CCNB1|NUF2|MLPH|FOXA1|BCL2|GPR160|CDC6|FOXC1|CXXC5|KRT5|MYBL2|TMEM45B|ORC6,1697.3382861000136,49
CXXC5,ok,49,24,ESR1|MLPH|FOXC1|EGFR|MAPT|ACTR3B|PHGDH|CCNE1|ANLN|MIA|NDC80|GPR160|CDC20|TYMS|MYC|UBE2T|RRM2|PTTG1|UBE2C|GRB7|TMEM45B|ERBB2|CCNB1|CDC6,1486.5594132999977,49
EGFR,ok,47,23,ESR1|CDH3|FOXC1|MLPH|BCL2|KRT5|SFRP1|CCNE1|PHGDH|ANLN|MIA|EXO1|CEP55|BIRC5|NDC80|MKI67|PTTG1|KRT14|BLVRA|MDM2|NUF2|CDC6|CCNB1,1772.5075460999942,49
ERBB2,ok,43,21,GRB7|FGFR4|CDC6|MYC|ESR1|NAT1|FOXA1|MIA|ACTR3B|MAPT|TYMS|CCNE1|CENPF|CDC20|BLVRA|ORC6|NUF2|GPR160|BAG1|MELK|KIF2C,1430.2840554999857,49
ESR1,ok,42,21,BCL2|FOXA1|SLC39A6|MAPT|CCNE1|EGFR|CXXC5|MELK|CEP55|KRT17|UBE2C|PTTG1|FGFR4|GRB7|MKI67|RRM2|UBE2T|NUF2|BAG1|BLVRA|MDM2,1135.3372795999894,49
EXO1,ok,30,15,CEP55|MELK|KIF2C|UBE2C|CDC20|CENPF|BIRC5|UBE2T|CCNE1|MKI67|NDC80|TYMS|PHGDH|BCL2|CDC6,1717.5545298999932,49
