imputer,missing_rate,rmse_mean,rmse_std,mae_mean,mae_std,n_rows,n_masked_total,corr_frobenius_mean,corr_frobenius_std,corr_frobenius_rel_mean,corr_frobenius_rel_std,corr_mae_offdiag_mean,corr_mae_offdiag_std,corr_rv_mean,corr_rv_std
"KNN(k=5,dist)",0.0,,,,,0,0,5.843034754064123e-15,3.3544656355529605e-16,3.033166265497967e-16,1.8745210526620154e-17,7.430871438652978e-17,4.525730851363054e-18,1.0000000000000002,1.3826714197523217e-16
"KNN(k=5,dist)",0.05,0.6996958915588981,0.027804266380869178,0.4776743392176845,0.01708755883050674,50,40200,0.741223137105223,0.0513661517865217,0.038470142311048346,0.002703759421152741,0.011365006041158764,0.0008143884586714113,0.9993058780812967,9.539537017911408e-05
"KNN(k=5,dist)",0.1,0.7098662056262381,0.02493710173193876,0.4831015859416338,0.014696733926539272,50,80400,1.1385617094207334,0.08978848967355693,0.05908812386922858,0.004708609031983919,0.01780912281298235,0.0012988533447493402,0.9984620111159138,0.00022633326553821498
"KNN(k=5,dist)",0.2,0.7507455341014432,0.024603726870038086,0.5089724819832425,0.014371565147719203,50,160800,1.8429805294672912,0.16867000023372888,0.09559222527515514,0.008072219353509212,0.029349108466980005,0.002550282558362607,0.996180096315936,0.0006152692369929053
"KNN(k=5,dist)",0.3,0.8567102603944439,0.031634748450879074,0.575010695042496,0.016174494476624803,50,241200,2.43558878435729,0.23592442562276184,0.12631821820949604,0.01130850850814202,0.038260892949028874,0.0034174783292524433,0.9924434633760825,0.001374683835599022
MissForest,0.0,,,,,0,0,5.843034754064123e-15,3.3544656355529605e-16,3.033166265497967e-16,1.8745210526620154e-17,7.430871438652978e-17,4.525730851363054e-18,1.0000000000000002,1.3826714197523217e-16
MissForest,0.05,0.6290763935180604,0.027795682943559236,0.42605483072672556,0.017794664357260334,50,40200,0.6882453191096153,0.05555225215017303,0.035721277544885216,0.0029302840758449974,0.01060802696146739,0.000839429281002036,0.9994367754978134,8.816493688777567e-05
MissForest,0.1,0.6427895028879884,0.023008014496959762,0.4306833769894324,0.013509483236826068,50,80400,1.0762915281989012,0.08756534803505767,0.05586674797732747,0.004697135102116773,0.01703144283974657,0.0013612853313041046,0.9987570661639641,0.00019218696800272987
MissForest,0.2,0.6721495670652327,0.023644775856146678,0.4452976071383976,0.011669969421096346,50,160800,1.7438973349163738,0.15608569621104063,0.09047802423974342,0.007768553889183141,0.02840784238928361,0.002573577925736196,0.9971128483385949,0.0004867353994320125
MissForest,0.3,0.7052613170597013,0.025589214076652517,0.4650253873684154,0.012487057318015122,50,241200,2.418152360181693,0.23980361901093541,0.12544306316053955,0.011847277455733786,0.039763349958418626,0.004100711520351257,0.9950398714454505,0.0008301463384071677
RFECA_SVR(k=10),0.0,,,,,0,0,5.843034754064123e-15,3.3544656355529605e-16,3.033166265497967e-16,1.8745210526620154e-17,7.430871438652978e-17,4.525730851363054e-18,1.0000000000000002,1.3826714197523217e-16
RFECA_SVR(k=10),0.05,0.7054996376019977,0.030450903366837114,0.46976659688679256,0.017144157098440378,50,40200,0.7669693950339683,0.06108975657171044,0.03981425283342847,0.0033088598169013117,0.011858206487631204,0.000933394071309202,0.9992936555593147,0.00011223987837899067
RFECA_SVR(k=10),0.1,0.7191646774100003,0.025763243117377273,0.4798054467051846,0.013681095281937875,50,80400,1.1769395339066875,0.07455649661876063,0.061104181396174254,0.004271545097338303,0.018581017769695132,0.001179746183882244,0.9983846503651442,0.0002529584315457139
RFECA_SVR(k=10),0.2,0.7637784680682839,0.020448826499983714,0.5064137407419284,0.01206384937800142,50,160800,1.8408363861886883,0.13772374005041396,0.09552496708203531,0.007021909460773537,0.02923520121561212,0.0021621593349594346,0.9958903125169474,0.0006259525977384412
RFECA_SVR(k=10),0.3,0.8100384200337607,0.021968771638625224,0.5382318865854324,0.011678998023297998,50,241200,2.5268345000382832,0.1784841008170936,0.13113079138216857,0.009227617392646268,0.040287235157956965,0.0028899589674255062,0.9919643916604056,0.001247299197513364
RFECA_SVR(k=20),0.0,,,,,0,0,5.843034754064123e-15,3.3544656355529605e-16,3.033166265497967e-16,1.8745210526620154e-17,7.430871438652978e-17,4.525730851363054e-18,1.0000000000000002,1.3826714197523217e-16
RFECA_SVR(k=20),0.05,0.7002640860420704,0.028207867488415615,0.46829054867043807,0.017635123419013334,50,40200,0.7463168521930318,0.0538535435100131,0.038744371758322085,0.00297266941257834,0.011503539896333254,0.0008055062347701751,0.9993210733502713,9.961769236175581e-05
RFECA_SVR(k=20),0.1,0.717180193815534,0.02657810534678324,0.47894363073259427,0.015163211648500001,50,80400,1.1393128935216834,0.07607059469922271,0.05915217910648506,0.004345068891369659,0.01783926787037711,0.0011150410489683433,0.998448242547688,0.00025143153475923016
RFECA_SVR(k=20),0.2,0.767282303725871,0.020271345709332374,0.5105346945415707,0.010767673428694068,50,160800,1.7878903875537397,0.12434471629679032,0.09279409712359218,0.006580280091323714,0.02810601322466741,0.0018699141284517096,0.9959980552093293,0.0006089743845094592
RFECA_SVR(k=20),0.3,0.8155719327206806,0.02259978656913537,0.543341795964489,0.012535616308079148,50,241200,2.452634752797653,0.18287248172221832,0.1272732785522689,0.00938770292962758,0.03880860058601678,0.0028362030074083624,0.9922312231768948,0.0012732038229633265
RFECA_SVR(k=5),0.0,,,,,0,0,5.843034754064123e-15,3.3544656355529605e-16,3.033166265497967e-16,1.8745210526620154e-17,7.430871438652978e-17,4.525730851363054e-18,1.0000000000000002,1.3826714197523217e-16
RFECA_SVR(k=5),0.05,0.721346188633734,0.03229794541875955,0.4807622528095043,0.01865072708588321,50,40200,0.7785010037874025,0.05992104808924183,0.040413128133818026,0.0032576256267774495,0.012039196156968952,0.0009375951690208866,0.9992451360003857,0.00012100862537547413
RFECA_SVR(k=5),0.1,0.7413737203136193,0.02472616426420626,0.494174801352403,0.014164922205758958,50,80400,1.206717953490878,0.07645821616606586,0.06264105042179197,0.004236789709013051,0.01907024087451288,0.0011986353091416027,0.9982069623234302,0.00026892895409646366
RFECA_SVR(k=5),0.2,0.787268145498178,0.020838732256080683,0.5212400168869138,0.013242278840428086,50,160800,1.894742492866005,0.148404071048842,0.09829908049696376,0.007250476264456021,0.03003143226556229,0.00213552808193813,0.9953430321793105,0.0007101872275145674
RFECA_SVR(k=5),0.3,0.8350534197823981,0.023367366944761037,0.5524162892620165,0.01276527072692792,50,241200,2.603731193956436,0.18950713990472043,0.13508935033077077,0.009335532975815722,0.041387247724354446,0.0029499477162333245,0.9909994644331807,0.0013567317891137324
SimpleMean,0.0,,,,,0,0,5.843034754064123e-15,3.3544656355529605e-16,3.033166265497967e-16,1.8745210526620154e-17,7.430871438652978e-17,4.525730851363054e-18,1.0000000000000002,1.3826714197523217e-16
SimpleMean,0.05,1.1688933346254948,0.0404910416789892,0.8278765175265455,0.023880010153493888,50,40200,1.7423756318667203,0.12558709833638923,0.09044317558776309,0.006794893060765187,0.027580384707503177,0.002017954356852693,0.9977647441987763,0.00035304074919115664
SimpleMean,0.1,1.1602141435329831,0.026786960593045566,0.8191159791076408,0.018334243746730358,50,80400,2.988868080039652,0.1773955143362316,0.15508212157429224,0.008696893851470724,0.048415593670724955,0.0030318230665223136,0.9942925728728252,0.0007726356538959449
SimpleMean,0.2,1.1491114075405715,0.021527262019286304,0.811289192301281,0.015053051145532641,50,160800,5.180649687997045,0.2663407467137255,0.26874871321588994,0.011639443126798363,0.08504977903991907,0.004545924828957183,0.9830501684053314,0.0021148118430606806
SimpleMean,0.3,1.143003217234177,0.017720122802771104,0.8029062803284971,0.01378110708155584,50,241200,6.9864714319835635,0.3845251677485148,0.36235032093241204,0.015571388411297475,0.11508732509685256,0.006658808327090593,0.966421453522794,0.003989442651683448
