mechanism,rate_pct,rmse_mean,rmse_std,mae_mean,mae_std,rmse_mean_r,rmse_std_r,mae_mean_r,mae_std_r
mar,10,0.6388336206778935,0.011371817639613528,0.41848359431686183,0.005504985287477346,0.639,0.011,0.418,0.006
mar,20,0.6397229901203969,0.005241512670961932,0.4192777664355106,0.0022342368501890443,0.64,0.005,0.419,0.002
mar,30,0.6394937412851157,0.0021561704032664855,0.4185684976745369,0.0023505010255108674,0.639,0.002,0.419,0.002
mcar,10,0.6146483301148795,0.007802960381589046,0.4068570536465068,0.0030565786477224125,0.615,0.008,0.407,0.003
mcar,20,0.6142628969911292,0.0047068809486148985,0.4055136691507458,0.0023262797757009467,0.614,0.005,0.406,0.002
mcar,30,0.621264192718725,0.004157016009394264,0.4094874433077754,0.002449502730072561,0.621,0.004,0.409,0.002
