mechanism,rate,rate_pct,n_reps,rmse_mean,rmse_std,rmse_median,rmse_min,rmse_max,mae_mean,mae_std,mae_median,wall_seconds_mean,svr_coverage_min,fallback_rate_max,all_class_A,n_predictor_nans_total
mar,0.1,10,5,0.6388336206778935,0.011371817639613528,0.6398314055674992,0.6220266079393173,0.6535050276643706,0.41848359431686183,0.005504985287477346,0.4162120330966739,5082.245847179996,1.0,0.0,True,0
mar,0.2,20,5,0.6397229901203969,0.005241512670961932,0.6417125419656355,0.6314675165357442,0.644256137380235,0.4192777664355106,0.0022342368501890443,0.4197721781674413,4213.128436840001,1.0,0.0,True,0
mar,0.3,30,5,0.6394937412851157,0.0021561704032664855,0.6390872847560543,0.6364776719153383,0.6417852458191478,0.4185684976745369,0.0023505010255108674,0.4190263910528475,3386.881642799999,1.0,0.0,True,0
mcar,0.1,10,5,0.6146483301148795,0.007802960381589046,0.6139865059422975,0.6057922263981441,0.6252048164625302,0.4068570536465068,0.0030565786477224125,0.406687634547618,5031.290182320001,1.0,0.0,True,0
mcar,0.2,20,5,0.6142628969911292,0.0047068809486148985,0.6144334700654961,0.6084569191693275,0.6210393322162794,0.4055136691507458,0.0023262797757009467,0.40652908219453165,3824.6913836400004,1.0,0.0,True,0
mcar,0.3,30,5,0.621264192718725,0.004157016009394264,0.622379112305706,0.6160452261498978,0.6264848765100035,0.4094874433077754,0.002449502730072561,0.4103110203605412,3477.4077566799997,1.0,0.0,True,0
