mechanism,rate,rate_pct,replicate,seed,mask_hash,mask_npz_sha16,rmse,mae,classification,svr_coverage,fallback_rate,n_predictor_nans_at_impute,n_genes_completed,n_failures,wall_seconds,evaluation_protocol,input_protocol,predictor_values,selection_protocol,use_scaler,max_candidates
mcar,0.1,10,0,100042,220e7064dfd56378,d3d789dc76c9972b,0.6252048164625302,0.41086963230270723,A,1.0,0.0,0,50,0,5214.806193000004,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mcar,0.1,10,1,1100045,b40385df825614ac,11caf40a05259bd2,0.6192621529081638,0.406687634547618,A,1.0,0.0,0,50,0,4955.4133449,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mcar,0.1,10,2,2100048,fe72eb3515379593,0fb974dd34c3f41c,0.6089959488632618,0.4034432463788689,A,1.0,0.0,0,50,0,4905.470468499996,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mcar,0.1,10,3,3100051,2a2522814cbcb6a5,a26ddd3411b0820f,0.6057922263981441,0.4044635073746678,A,1.0,0.0,0,50,0,4893.8647144999995,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mcar,0.1,10,4,4100054,fdfb644e7df47e7a,bf09427b84b52827,0.6139865059422975,0.4088212476286723,A,1.0,0.0,0,50,0,5186.896190700005,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mcar,0.2,20,0,200042,9b536694591b54dd,472a55dd537dfd77,0.6210393322162794,0.40806372032054955,A,1.0,0.0,0,50,0,3268.3827047,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mcar,0.2,20,1,1200045,674e6a25a1b3487d,34a0e2fe9df48637,0.6144334700654961,0.40652908219453165,A,1.0,0.0,0,50,0,2880.7537009999996,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mcar,0.2,20,2,2200048,a2b14f54a4a30964,a8621094b7377f9d,0.6116540748837421,0.40303810081080643,A,1.0,0.0,0,50,0,4360.506344000001,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mcar,0.2,20,3,3200051,578caac8fb7947bb,49730e948a287d3c,0.6084569191693275,0.4030464685448079,A,1.0,0.0,0,50,0,4351.461679600001,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mcar,0.2,20,4,4200054,999536e8b97d27c0,1521a86e6ad1cfb9,0.6157306886208015,0.4068909738830337,A,1.0,0.0,0,50,0,4262.3524889,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mcar,0.3,30,0,300042,d53685465b699f53,a7012ab8d8b4fe13,0.6160452261498978,0.4067954524160932,A,1.0,0.0,0,50,0,3484.837369700006,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mcar,0.3,30,1,1300045,fff06ad400077b59,43630d11407da6da,0.6264848765100035,0.4111946581137224,A,1.0,0.0,0,50,0,3459.757751900004,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mcar,0.3,30,2,2300048,ef7ec9fb7aed106d,32f43ce7f4255321,0.6181796624714604,0.4070041019690501,A,1.0,0.0,0,50,0,3488.2730516999873,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mcar,0.3,30,3,3300051,6e2d049823f20434,da03b10ae4d3574e,0.623232086156557,0.41213198367947007,A,1.0,0.0,0,50,0,3498.1243972999946,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mcar,0.3,30,4,4300054,d2bae8d8c0546f0f,dbc82073420056e5,0.622379112305706,0.4103110203605412,A,1.0,0.0,0,50,0,3456.046212800007,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mar,0.1,10,0,117042,29ad6d1cc44099cb,444b454f55898f24,0.6535050276643706,0.42752509808415373,A,1.0,0.0,0,50,0,5105.730130999989,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
