mechanism,rmse_10,mae_10,rmse_10_mean,rmse_10_std,mae_10_mean,mae_10_std,rmse_20,mae_20,rmse_20_mean,rmse_20_std,mae_20_mean,mae_20_std,rmse_30,mae_30,rmse_30_mean,rmse_30_std,mae_30_mean,mae_30_std
MCAR,0.615 +/- 0.008,0.407 +/- 0.003,0.615,0.008,0.407,0.003,0.614 +/- 0.005,0.406 +/- 0.002,0.614,0.005,0.406,0.002,0.621 +/- 0.004,0.409 +/- 0.002,0.621,0.004,0.409,0.002
MAR,0.639 +/- 0.011,0.418 +/- 0.006,0.639,0.011,0.418,0.006,0.640 +/- 0.005,0.419 +/- 0.002,0.640,0.005,0.419,0.002,0.639 +/- 0.002,0.419 +/- 0.002,0.639,0.002,0.419,0.002
