gene,status,winning_prefix_len,n_predictors_selected,winning_predictors,selection_seconds,n_candidates
ACTR3B,ok,42,21,FOXA1|FOXC1|MIA|CCNE1|CXXC5|MELK|EXO1|KIF2C|ANLN|CEP55|BLVRA|NDC80|MKI67|MYC|UBE2T|PTTG1|SLC39A6|NUF2|CENPF|KRT14|ERBB2,1756.1866239999945,49
ANLN,ok,44,22,MELK|CEP55|EXO1|NDC80|UBE2C|UBE2T|KIF2C|CDC20|MLPH|CENPF|NUF2|MKI67|RRM2|BCL2|CDH3|EGFR|GPR160|MIA|FOXC1|FGFR4|BLVRA|BAG1,1838.2109529000008,49
BAG1,ok,47,23,SLC39A6|BCL2|PHGDH|MMP11|CCNE1|MLPH|CDC20|FOXA1|MDM2|KIF2C|NAT1|CENPF|UBE2C|PTTG1|CEP55|ORC6|RRM2|MELK|ACTR3B|MKI67|ANLN|BLVRA|CCNB1,2402.0036690999987,49
BCL2,ok,44,22,ESR1|SLC39A6|EXO1|EGFR|ANLN|PHGDH|MELK|CDC20|KIF2C|UBE2C|FGFR4|CEP55|RRM2|PTTG1|UBE2T|BAG1|MKI67|GPR160|CDC6|TYMS|MMP11|MYBL2,1387.675213199982,49
BIRC5,ok,39,19,KIF2C|UBE2C|CDC20|CEP55|EXO1|MKI67|CCNE1|ANLN|CCNB1|NDC80|FOXA1|MLPH|GPR160|RRM2|PGR|CDC6|MIA|GRB7|KRT14,1590.182968499983,49
BLVRA,ok,43,21,ACTR3B|GPR160|MLPH|MIA|SLC39A6|CCNE1|PGR|MYC|ESR1|MKI67|CENPF|TYMS|MAPT|UBE2C|CCNB1|ANLN|MDM2|NDC80|FGFR4|TMEM45B|MYBL2,1713.8488374999724,49
CCNB1,ok,49,24,NDC80|PTTG1|UBE2C|CEP55|CENPF|BIRC5|KIF2C|CDC20|NUF2|MELK|MKI67|TYMS|CCNE1|MLPH|CDC6|MAPT|PHGDH|MYBL2|ORC6|BLVRA|MDM2|ERBB2|CXXC5|FOXC1,1809.6540732999856,49
CCNE1,ok,46,23,KIF2C|MELK|EXO1|UBE2C|FOXA1|BIRC5|MLPH|PTTG1|MKI67|NDC80|FOXC1|GPR160|UBE2T|EGFR|CCNB1|MIA|NUF2|RRM2|CDC6|FGFR4|GRB7|MYC|ERBB2,1650.8472609000164,49
CDC20,ok,44,22,KIF2C|UBE2C|CEP55|BIRC5|PTTG1|MELK|CENPF|NDC80|UBE2T|MLPH|SLC39A6|BCL2|GPR160|NUF2|RRM2|PGR|ORC6|CXXC5|GRB7|BAG1|MYBL2|ERBB2,1868.7982732999953,49
CDC6,ok,49,24,EXO1|CEP55|ERBB2|MELK|BIRC5|KIF2C|CCNE1|ANLN|RRM2|NDC80|BCL2|NUF2|MLPH|CDH3|FOXA1|SFRP1|MDM2|ACTR3B|BAG1|MYC|KRT5|CXXC5|FOXC1|ORC6,2223.1385258000228,49
NUF2,ok,48,24,NDC80|UBE2T|CCNB1|CEP55|ANLN|UBE2C|MELK|EXO1|PTTG1|KIF2C|TYMS|MLPH|CDC20|MKI67|CCNE1|RRM2|MIA|MYBL2|TMEM45B|GPR160|FOXC1|KRT14|ORC6|MDM2,1836.1151631000102,49
CDH3,ok,49,24,KRT17|EGFR|KRT5|MLPH|CCNE1|BCL2|MIA|KIF2C|ANLN|EXO1|ACTR3B|UBE2C|BIRC5|PTTG1|CENPF|NDC80|GRB7|RRM2|BAG1|NUF2|CDC6|MMP11|CCNB1|TMEM45B,1384.4377962000144,49
CENPF,ok,48,24,UBE2C|EXO1|CEP55|KIF2C|CDC20|MKI67|UBE2T|CCNB1|TYMS|MLPH|CDC6|BCL2|RRM2|FOXC1|GRB7|EGFR|BLVRA|ERBB2|MYBL2|KRT5|BAG1|KRT17|TMEM45B|MYC,1651.692098600004,49
