cohort,mechanism,missing_rate,metric,higher_is_better,wilcoxon_stat,p_value,n_pairs,n_boot,note,p_holm,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,rank_biserial_r,p_holm_primary_family
metabric,mcar,0.2,corr_rv,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.9965909314014978,0.9903330879887285,0.006257843412769237,0.0059454328392566525,0.006587925625873164,1.0,0.015625
metabric,mcar,0.2,corr_rv,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.9968489212066768,0.9903330879887285,0.006515833217948286,0.006220532829258651,0.006819834088316963,1.0,0.015625
metabric,mcar,0.2,corr_rv,True,0.0,0.001953125,10,5000,,0.029296875,MissForest,SimpleMean,0.9976544752451604,0.9903330879887285,0.007321387256431877,0.007008540486250043,0.007646147689808932,1.0,0.015625
metabric,mcar,0.2,corr_rv,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),"KNN(k=5,dist)",0.9962548502595416,0.9969743661175772,-0.0007195158580357242,-0.0007779104412900653,-0.0006619313587449382,-1.0,0.015625
metabric,mcar,0.2,corr_rv,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),"KNN(k=5,dist)",0.9965909314014978,0.9969743661175772,-0.0003834347160795448,-0.00046851343537047697,-0.0002980709830916292,-1.0,0.015625
metabric,mcar,0.2,corr_rv,True,5.0,0.01953125,10,5000,,0.029296875,RFECA_SVR(k=20),"KNN(k=5,dist)",0.9968489212066768,0.9969743661175772,-0.00012544491090049625,-0.0001971420061674977,-5.8763529130717025e-05,-0.8181818181818181,0.01953125
metabric,mcar,0.2,corr_rv,True,0.0,0.001953125,10,5000,,0.029296875,MissForest,"KNN(k=5,dist)",0.9976544752451604,0.9969743661175772,0.000680109127583095,0.0006007267488710209,0.00075517211436441,1.0,0.015625
metabric,mcar,0.3,corr_rv,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.9930525068504293,0.9795621827478052,0.013490324102624351,0.01325458412538854,0.013684253126683399,1.0,0.015625
metabric,mcar,0.3,corr_rv,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.9936388041852793,0.9795621827478052,0.014076621437474368,0.013807366335300103,0.014320873226104825,1.0,0.015625
metabric,mcar,0.3,corr_rv,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.9941441473759676,0.9795621827478052,0.01458196462816259,0.014279887711552171,0.014868284102776954,1.0,0.015625
metabric,mcar,0.3,corr_rv,True,0.0,0.001953125,10,5000,,0.029296875,MissForest,SimpleMean,0.9958367736412237,0.9795621827478052,0.016274590893418685,0.016004930472689822,0.016529500103275932,1.0,0.015625
metabric,mcar,0.3,corr_rv,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),"KNN(k=5,dist)",0.9930525068504293,0.9945285305584186,-0.0014760237079892492,-0.0016658356029485167,-0.0013124316012244413,-1.0,0.015625
metabric,mcar,0.3,corr_rv,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),"KNN(k=5,dist)",0.9936388041852793,0.9945285305584186,-0.0008897263731392324,-0.0010489577986946808,-0.0007323538504269034,-1.0,0.015625
metabric,mcar,0.3,corr_rv,True,2.0,0.005859375,10,5000,,0.029296875,RFECA_SVR(k=20),"KNN(k=5,dist)",0.9941441473759676,0.9945285305584186,-0.00038438318245100913,-0.0005717346130363826,-0.000202058589496526,-0.9272727272727272,0.015625
metabric,mcar,0.3,corr_rv,True,0.0,0.001953125,10,5000,,0.029296875,MissForest,"KNN(k=5,dist)",0.9958367736412237,0.9945285305584186,0.0013082430828050828,0.001190558472771185,0.0014447547637156217,1.0,0.015625
discovery,mar,0.05,f1_macro,True,18.0,0.65234375,10,5000,,1.0,RFECA_SVR(k=5),SimpleMean,0.9190361160578551,0.9220299644799645,-0.002993848422109313,-0.012757365189158633,0.006995405922579761,-0.19999999999999996,1.0
discovery,mar,0.05,f1_macro,True,16.0,0.49609375,10,5000,,1.0,RFECA_SVR(k=10),SimpleMean,0.9268685867272823,0.9220299644799645,0.00483862224731787,-0.005096107346759543,0.015198132724763138,0.288888888888889,1.0
discovery,mar,0.05,f1_macro,True,25.0,0.845703125,10,5000,,1.0,RFECA_SVR(k=20),SimpleMean,0.9232721252177776,0.9220299644799645,0.001242160737812925,-0.015314782138151663,0.018475573200953627,0.09090909090909083,1.0
discovery,mar,0.05,f1_macro,True,16.0,0.275390625,10,5000,,1.0,MissForest,SimpleMean,0.928858846467542,0.9220299644799645,0.006828881987577607,-0.003959973884810887,0.017216252587991684,0.4181818181818182,1.0
discovery,mar,0.05,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),"KNN(k=5,dist)",0.9190361160578551,0.9341653399740357,-0.015129223916180412,-0.020890103362820718,-0.010196726425748093,-1.0,0.015625
discovery,mar,0.05,f1_macro,True,6.0,0.0546875,10,5000,,0.7109375,RFECA_SVR(k=10),"KNN(k=5,dist)",0.9268685867272823,0.9341653399740357,-0.007296753246753229,-0.014326588085827197,-0.0015977246847354994,-0.7333333333333334,0.3828125
discovery,mar,0.05,f1_macro,True,6.0,0.0546875,10,5000,,0.7109375,RFECA_SVR(k=20),"KNN(k=5,dist)",0.9232721252177776,0.9341653399740357,-0.010893214756258174,-0.021457356484095504,-0.0019880971202709953,-0.7333333333333334,0.3828125
