gene,rmse,mae,r2,pearson,spearman,n_observed_train,n_masked,winning_prefix_len,n_predictors_selected,winning_predictors,best_oof_rmse,selection_seconds,final_fit_seconds,status,n_candidates,fallback_count,seed,mask_hash,mechanism,missing_rate,replicate,wall_seconds_slot,svr_ok
ACTR3B,0.3822119615711318,0.263478157811035,0.6770688594955937,0.8249001437175589,0.4688199294449456,1450,158,48,24,FOXA1|MLPH|FOXC1|MIA|CCNE1|CXXC5|MELK|KRT5|EXO1|KIF2C|CEP55|ANLN|BLVRA|NDC80|UBE2T|SLC39A6|PTTG1|TMEM45B|PGR|KRT14|ERBB2|BAG1|CDC6|GRB7,0.5398060993110881,1624.7534509000034,26.91500649999944,ok,49,0,100042,220e7064dfd56378,mcar,0.1,0,5214.806193000004,1
ANLN,0.3124340473389606,0.2356908846634025,0.730886684899763,0.8555685212190439,0.844536340511202,1444,164,48,24,MELK|CEP55|UBE2C|NDC80|UBE2T|CCNE1|MLPH|CENPF|NUF2|FOXA1|RRM2|BCL2|CDH3|EGFR|CXXC5|FOXC1|MIA|CDC6|GRB7|FGFR4|BLVRA|BAG1|ORC6|ERBB2,0.2976276417393241,1649.1699367000035,28.409737900001343,ok,49,0,100042,220e7064dfd56378,mcar,0.1,0,5214.806193000004,1
BAG1,0.3061793534310666,0.2257385664876877,0.1596861840264178,0.4019684365866415,0.4133829460005871,1450,158,43,21,SLC39A6|BCL2|PHGDH|MMP11|MLPH|CDC20|FOXA1|MDM2|SFRP1|KIF2C|KRT5|PTTG1|MIA|ORC6|CEP55|RRM2|MELK|ANLN|ACTR3B|NUF2|MKI67,0.3035479313182507,2167.695612999996,25.81418740000663,ok,49,0,100042,220e7064dfd56378,mcar,0.1,0,5214.806193000004,1
BCL2,0.6308656581163268,0.5032785853610797,0.6487716447735361,0.8078890944434741,0.8006380716058136,1453,155,43,21,ESR1|SLC39A6|EXO1|CDH3|PHGDH|ANLN|KIF2C|FOXA1|MLPH|UBE2C|CEP55|FGFR4|RRM2|UBE2T|BAG1|MKI67|MIA|GPR160|TYMS|CDC6|MMP11,0.6566099511297138,1293.814372599998,16.04919100000552,ok,49,0,100042,220e7064dfd56378,mcar,0.1,0,5214.806193000004,1
BIRC5,0.5239695234179926,0.3689275088205399,0.6849581488973502,0.8351301243921635,0.8480667154980305,1446,162,45,22,KIF2C|CDC20|UBE2C|CEP55|EXO1|CENPF|MKI67|CCNE1|ANLN|CCNB1|NDC80|MLPH|GPR160|PGR|CDC6|MIA|CXXC5|GRB7|KRT14|TMEM45B|BAG1|KRT17,0.492093019658663,1460.802391600002,21.04917209999985,ok,49,0,100042,220e7064dfd56378,mcar,0.1,0,5214.806193000004,1
BLVRA,0.5841249072452591,0.4443543848244048,0.370730017947095,0.6092515493017218,0.6138989426435492,1452,156,49,24,GPR160|ACTR3B|MLPH|MIA|SLC39A6|PGR|MYC|ESR1|MELK|MKI67|CENPF|TYMS|MAPT|UBE2C|CCNB1|MDM2|ANLN|BCL2|FGFR4|PTTG1|BAG1|MYBL2|CDC6|NUF2,0.6203890885306103,1521.6188793000038,22.9876648999998,ok,49,0,100042,220e7064dfd56378,mcar,0.1,0,5214.806193000004,1
CCNB1,0.3503908725630755,0.2741873112553938,0.6278945684609789,0.7925347868740025,0.7838357045253597,1464,144,48,24,NDC80|PTTG1|UBE2C|CEP55|CENPF|BIRC5|KIF2C|NUF2|MELK|MKI67|TYMS|CCNE1|MAPT|KRT14|PHGDH|MYBL2|FGFR4|KRT17|CDH3|BLVRA|TMEM45B|MDM2|ERBB2|CXXC5,0.3497466772601851,1676.0020613000015,27.59238069999992,ok,49,0,100042,220e7064dfd56378,mcar,0.1,0,5214.806193000004,1
CCNE1,0.4819824504050715,0.3341834803187745,0.6622822784871363,0.8154785930085333,0.7940349232391891,1448,160,48,24,KIF2C|MELK|EXO1|UBE2C|FOXA1|BIRC5|MLPH|PTTG1|MKI67|NDC80|FOXC1|GPR160|EGFR|UBE2T|CCNB1|NUF2|KRT5|CDC6|FGFR4|GRB7|ORC6|ERBB2|MYC|KRT14,0.4752136373522659,1497.1315356999985,24.91650970000046,ok,49,0,100042,220e7064dfd56378,mcar,0.1,0,5214.806193000004,1
CDC20,0.3863969966164951,0.2755350532276114,0.8760695795898623,0.9360394304268246,0.9326495629146616,1434,174,42,21,KIF2C|UBE2C|CEP55|BIRC5|PTTG1|MELK|CENPF|NDC80|UBE2T|FOXA1|MLPH|SLC39A6|BCL2|GPR160|NUF2|RRM2|PGR|CDC6|MIA|CXXC5|ORC6,0.371484375073369,1617.4029317000022,19.61403059999429,ok,49,0,100042,220e7064dfd56378,mcar,0.1,0,5214.806193000004,1
CDC6,0.2178139221849467,0.1406853853977178,0.1782266249396751,0.4240227058339192,0.358576656960436,1443,165,49,24,EXO1|UBE2C|CEP55|ERBB2|UBE2T|BIRC5|CCNB1|MKI67|ANLN|NDC80|RRM2|NAT1|TYMS|NUF2|MLPH|FOXA1|CDH3|MDM2|MYBL2|ACTR3B|MYC|ORC6|FOXC1|CXXC5,0.2013692695836363,2026.2811938000011,33.73588069999823,ok,49,0,100042,220e7064dfd56378,mcar,0.1,0,5214.806193000004,1
