cohort,missing_rate,best_cls_imputer,best_f1,best_f1_std,best_bal,best_imp_imputer,best_rmse,best_rmse_std
discovery,0.0,"KNN(k=5,dist)",0.9062598753903102,0.034908337047999,0.8916666666666667,,,
discovery,0.05,"KNN(k=5,dist)",0.9245413077260904,0.0511192175176957,0.92,"KNN(k=5,dist)",2.016992315275133,0.3385771612426172
discovery,0.1,"KNN(k=5,dist)",0.9250435506522464,0.0530590666687387,0.9157954545454544,"KNN(k=5,dist)",2.0850778545925936,0.2419882829451142
discovery,0.2,"KNN(k=5,dist)",0.9122281597629424,0.058788809014861,0.9040530303030304,"KNN(k=5,dist)",2.0782866261679245,0.1549816030743436
discovery,0.3,"KNN(k=5,dist)",0.9084213127452258,0.0548570091916244,0.9011363636363636,"KNN(k=5,dist)",2.154171445924004,0.1852347081771868
metabric,0.0,"KNN(k=5,dist)",0.8859360095573787,0.0138908544337349,0.8752464911354514,,,
metabric,0.05,RFECA_SVR(k=20),0.8822424970815849,0.0134359260360579,0.8722983442530939,RFECA_SVR(k=20),0.6734393084175555,0.0346150683540396
metabric,0.1,RFECA_SVR(k=20),0.8788408255873515,0.0143958424804992,0.8690059303839791,RFECA_SVR(k=20),0.685857470769276,0.0229788460276508
metabric,0.2,RFECA_SVR(k=20),0.8748686891553613,0.0160646088338839,0.865457767663801,RFECA_SVR(k=10),0.7059020033174649,0.0174718421004454
metabric,0.3,RFECA_SVR(k=10),0.8638629017899478,0.0166206433509134,0.8547941472306043,RFECA_SVR(k=10),0.7293349315575418,0.0179423184518344
