cohort,missing_rate,metric,method_a,method_b,mean_a,mean_b,delta_a_minus_b,p_value,n_pairs,note
discovery,0.3,f1_macro,SimpleMean,RFECA_SVR(k=20),0.8885768499616326,0.8827573771638988,0.00581947279773376,0.921875,10,
discovery,0.3,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=5),0.9084213127452259,0.8972075574184271,0.011213755326798802,0.16015625,10,
discovery,0.3,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=10),0.9084213127452259,0.8952167742885134,0.013204538456712434,0.16015625,10,
discovery,0.3,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=20),0.9084213127452259,0.8827573771638988,0.02566393558132707,0.009765625,10,
discovery,0.3,f1_macro,RFECA_SVR(k=5),RFECA_SVR(k=10),0.8972075574184271,0.8952167742885134,0.0019907831299136314,0.76953125,10,
discovery,0.3,f1_macro,RFECA_SVR(k=5),RFECA_SVR(k=20),0.8972075574184271,0.8827573771638988,0.014450180254528266,0.193359375,10,
discovery,0.3,f1_macro,RFECA_SVR(k=10),RFECA_SVR(k=20),0.8952167742885134,0.8827573771638988,0.012459397124614635,0.375,10,
metabric,0.0,f1_macro,SimpleMean,"KNN(k=5,dist)",0.8859360095573787,0.8859360095573787,0.0,1.0,10,identical vectors
metabric,0.0,f1_macro,SimpleMean,RFECA_SVR(k=5),0.8859360095573787,0.8859360095573787,0.0,1.0,10,identical vectors
metabric,0.0,f1_macro,SimpleMean,RFECA_SVR(k=10),0.8859360095573787,0.8859360095573787,0.0,1.0,10,identical vectors
metabric,0.0,f1_macro,SimpleMean,RFECA_SVR(k=20),0.8859360095573787,0.8859360095573787,0.0,1.0,10,identical vectors
metabric,0.0,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=5),0.8859360095573787,0.8859360095573787,0.0,1.0,10,identical vectors
metabric,0.0,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=10),0.8859360095573787,0.8859360095573787,0.0,1.0,10,identical vectors
metabric,0.0,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=20),0.8859360095573787,0.8859360095573787,0.0,1.0,10,identical vectors
metabric,0.0,f1_macro,RFECA_SVR(k=5),RFECA_SVR(k=10),0.8859360095573787,0.8859360095573787,0.0,1.0,10,identical vectors
metabric,0.0,f1_macro,RFECA_SVR(k=5),RFECA_SVR(k=20),0.8859360095573787,0.8859360095573787,0.0,1.0,10,identical vectors
metabric,0.0,f1_macro,RFECA_SVR(k=10),RFECA_SVR(k=20),0.8859360095573787,0.8859360095573787,0.0,1.0,10,identical vectors
metabric,0.05,f1_macro,SimpleMean,"KNN(k=5,dist)",0.878740165462206,0.8812234101019347,-0.00248324463972871,0.083984375,10,
