imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n_rows
"KNN(k=5,dist)",0.1,EnsembleSoft,0.9236026765632029,0.04089164780526075,0.9103070175438596,0.047725868678208126,6
MissForest,0.1,EnsembleSoft,0.9228571988440409,0.039647863793924674,0.9081140350877193,0.04291684035680099,6
RFECA_SVR(k=5),0.1,EnsembleSoft,0.9188438875938876,0.03777814185363841,0.8991959064327485,0.04151117493402718,6
SimpleMean,0.1,EnsembleSoft,0.8973038761148517,0.028448856430438756,0.8774488304093567,0.027399616957884676,6
