imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n,f1_pm_std,bal_pm_std
SimpleMean,0.0,RF,0.9152733860342556,0.0,0.9083333333333334,0.0,10,0.9153 ± 0.0000,0.9083 ± 0.0000
SimpleMean,0.0,LogReg,0.9149559257167952,0.0,0.9079545454545452,0.0,10,0.9150 ± 0.0000,0.9080 ± 0.0000
SimpleMean,0.0,GB,0.8042421210029905,0.0,0.7833333333333333,0.0,10,0.8042 ± 0.0000,0.7833 ± 0.0000
SimpleMean,0.05,EnsembleHard,0.9349280914737436,0.0132542027650349,0.9245833333333332,0.0148876968842906,10,0.9349 ± 0.0133,0.9246 ± 0.0149
SimpleMean,0.05,EnsembleSoft,0.9319202961289916,0.0139321822718884,0.9195454545454546,0.0139177844503985,10,0.9319 ± 0.0139,0.9195 ± 0.0139
SimpleMean,0.05,SVC,0.9318232448710708,0.010641223616046,0.9208333333333332,0.009212846639876,10,0.9318 ± 0.0106,0.9208 ± 0.0092
SimpleMean,0.05,LogReg,0.917556299980213,0.0091294086533884,0.9116666666666664,0.0093430930868611,10,0.9176 ± 0.0091,0.9117 ± 0.0093
SimpleMean,0.05,RF,0.8965016061233453,0.0135845277825784,0.8856439393939393,0.0137544573105804,10,0.8965 ± 0.0136,0.8856 ± 0.0138
SimpleMean,0.05,GB,0.8121124697363827,0.0224846215868381,0.7931439393939395,0.0237060896901859,10,0.8121 ± 0.0225,0.7931 ± 0.0237
SimpleMean,0.1,SVC,0.9295902032749858,0.0180633307423735,0.9154166666666668,0.0182204013317862,10,0.9296 ± 0.0181,0.9154 ± 0.0182
SimpleMean,0.1,EnsembleHard,0.9275251769969162,0.0250176062157276,0.9133333333333332,0.0262643258968284,10,0.9275 ± 0.0250,0.9133 ± 0.0263
SimpleMean,0.1,EnsembleSoft,0.9258779104953018,0.0194783299555234,0.9152651515151516,0.0221230353591152,10,0.9259 ± 0.0195,0.9153 ± 0.0221
SimpleMean,0.1,LogReg,0.9196691323169583,0.0119924408770999,0.9143181818181818,0.0125538326584711,10,0.9197 ± 0.0120,0.9143 ± 0.0126
