mechanism,imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n_rows
mar,OriginalRFECA,0.05,EnsembleSoft,0.882465236946783,0.013962487489697155,0.8719862979696099,0.013261248261481184,25
mar,OriginalRFECA,0.05,GB,0.8645976260792766,0.023027122544484347,0.8536751718542476,0.023687064169813424,25
mar,OriginalRFECA,0.05,LogReg,0.8686817853893778,0.013722939063996875,0.8652064455299372,0.011846150808713707,25
mar,OriginalRFECA,0.05,RF,0.8672022681471754,0.013389317497067031,0.8517702821354939,0.015667943940021377,25
mar,OriginalRFECA,0.05,SVC,0.8834351770673812,0.01770462068389704,0.8735951658525472,0.016441481586765786,25
mar,OriginalRFECA,0.1,EnsembleSoft,0.8789098886811282,0.013479296882346175,0.8696992953559064,0.013910974177888898,25
mar,OriginalRFECA,0.1,GB,0.8653294361696243,0.018860013874666594,0.8544752077903555,0.021268024107234627,25
mar,OriginalRFECA,0.1,LogReg,0.8662172399741006,0.014140265663984715,0.8633525684129022,0.010877722023888876,25
mar,OriginalRFECA,0.1,RF,0.8672168218858868,0.014949679740021971,0.8515058303556379,0.018545938329192307,25
mar,OriginalRFECA,0.1,SVC,0.8805246788705077,0.01751988553897419,0.870991497590984,0.016717960566416,25
mar,OriginalRFECA,0.2,EnsembleSoft,0.8765333637551836,0.015955684235247986,0.8674813752785512,0.0167413636133714,25
mar,OriginalRFECA,0.2,GB,0.8595660750459462,0.019664628926775125,0.8489442971804975,0.021844627974211436,25
mar,OriginalRFECA,0.2,LogReg,0.8639167614794804,0.017358135494501752,0.8597949298597566,0.015043570841783097,25
mar,OriginalRFECA,0.2,RF,0.8612522979057782,0.017580442700100132,0.8460725529640806,0.020345571264130835,25
mar,OriginalRFECA,0.2,SVC,0.8725633375465507,0.017114094814547714,0.8635791816940726,0.016324608566686615,25
mar,OriginalRFECA,0.3,EnsembleSoft,0.872464949088644,0.018624086137467914,0.8640593705253525,0.019292180553832257,25
mar,OriginalRFECA,0.3,GB,0.8525862940419913,0.018930027203303664,0.8426963287746344,0.02286084301141027,25
mar,OriginalRFECA,0.3,LogReg,0.8583104051756705,0.014686495405096985,0.8548864409730905,0.01600306861276198,25
mar,OriginalRFECA,0.3,RF,0.8574803961415056,0.016301176189534104,0.8431679318399472,0.01950088048200908,25
mar,OriginalRFECA,0.3,SVC,0.8738022453308758,0.017058435671103624,0.8652869035115505,0.017352867963187697,25
mcar,OriginalRFECA,0.05,EnsembleSoft,0.8820947897770414,0.014008635644129647,0.8724540962531977,0.015167241760223509,25
mcar,OriginalRFECA,0.05,GB,0.8708246885828737,0.019718761390648515,0.859829222909454,0.02209250993733145,25
mcar,OriginalRFECA,0.05,LogReg,0.8736075051348393,0.014113847176161135,0.8697704201375575,0.011619941291271163,25
mcar,OriginalRFECA,0.05,RF,0.8649948095471105,0.015226445360139299,0.8487442238263805,0.018319949932302383,25
mcar,OriginalRFECA,0.05,SVC,0.8810440063156497,0.018227003476407398,0.8717259825469068,0.016445179141981556,25
mcar,OriginalRFECA,0.1,EnsembleSoft,0.8771232344973182,0.015707979755862023,0.8674408517598505,0.014274937963821828,25
mcar,OriginalRFECA,0.1,GB,0.863225844045751,0.016187158739698695,0.8527972953447922,0.018207679395310598,25
mcar,OriginalRFECA,0.1,LogReg,0.8654365230949854,0.014207799907974631,0.8627860412302004,0.011753868677682106,25
mcar,OriginalRFECA,0.1,RF,0.8631279181143411,0.015716660030785166,0.8477569153852851,0.018359385980586805,25
mcar,OriginalRFECA,0.1,SVC,0.879381933761278,0.01581867283387681,0.8700342180284415,0.013812350358134717,25
mcar,OriginalRFECA,0.2,EnsembleSoft,0.8759837976830788,0.015846879767085657,0.8665680553934726,0.016852337400827984,25
mcar,OriginalRFECA,0.2,GB,0.8633577612465813,0.01535702933448558,0.8532027787502756,0.017947669702339124,25
mcar,OriginalRFECA,0.2,LogReg,0.857475257115124,0.019816242677954714,0.855455807849261,0.018279371618983145,25
mcar,OriginalRFECA,0.2,RF,0.8624336608606522,0.015121825276598399,0.8474542620409116,0.018800730136399386,25
mcar,OriginalRFECA,0.2,SVC,0.8765934775622118,0.019074809655305124,0.8673909052009181,0.018101868763989625,25
mcar,OriginalRFECA,0.3,EnsembleSoft,0.8723485530109701,0.019545875446428287,0.863688700687417,0.020942992843257797,25
mcar,OriginalRFECA,0.3,GB,0.8600959404232824,0.021573363115782684,0.8498713709625134,0.024251333021266752,25
mcar,OriginalRFECA,0.3,LogReg,0.8589359074728045,0.01600052022943242,0.855638846747319,0.015647859627791593,25
mcar,OriginalRFECA,0.3,RF,0.8614844793694819,0.01255646276549599,0.847162729440008,0.016026481244944858,25
mcar,OriginalRFECA,0.3,SVC,0.8696075126470578,0.018481550153265434,0.8607398077603469,0.019839165910005237,25
