imputer,source_imputer,mechanism,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n_rows,protocol
KNN,"KNN(k=5,dist)",mcar,0.3,EnsembleSoft,0.8582261234591262,0.017149947601378574,0.8484000517739285,0.01817899726156753,50,imputer_within_cv
KNN,"KNN(k=5,dist)",mcar,0.3,GB,0.8449872273117439,0.015808196644748404,0.8339665632114284,0.018081900720444785,50,imputer_within_cv
KNN,"KNN(k=5,dist)",mcar,0.3,LogReg,0.8492251119974046,0.018490236831383247,0.8456616485782082,0.017867758706939144,50,imputer_within_cv
KNN,"KNN(k=5,dist)",mcar,0.3,RF,0.8449981675457504,0.018279682888317366,0.8289083291191764,0.020601519071154796,50,imputer_within_cv
KNN,"KNN(k=5,dist)",mcar,0.3,SVC,0.8576606661458095,0.021773940937763952,0.846649506712087,0.022584942408838085,50,imputer_within_cv
Mean,SimpleMean,mcar,0.05,EnsembleSoft,0.878740165462206,0.01392848425443587,0.8694692667552103,0.015181964917662714,50,imputer_within_cv
Mean,SimpleMean,mcar,0.1,EnsembleSoft,0.8747997280647162,0.01535618125313024,0.8652653182290538,0.01590985956474834,50,imputer_within_cv
Mean,SimpleMean,mcar,0.2,EnsembleSoft,0.866073659815381,0.012845168970609722,0.8568806092281701,0.014268364238298418,50,imputer_within_cv
Mean,SimpleMean,mcar,0.2,GB,0.844209649027379,0.017373426206828028,0.8319824917986022,0.018351848558193603,50,imputer_within_cv
Mean,SimpleMean,mcar,0.2,LogReg,0.8503205553936407,0.01570159667428454,0.8470566104840817,0.016364261830062087,50,imputer_within_cv
Mean,SimpleMean,mcar,0.2,RF,0.8473118661735363,0.0123072037986909,0.829592520658631,0.015359742560828879,50,imputer_within_cv
Mean,SimpleMean,mcar,0.2,SVC,0.8613676542917994,0.01241187244107383,0.8511914227549657,0.012627047168595841,50,imputer_within_cv
Mean,SimpleMean,mcar,0.3,EnsembleSoft,0.8550846750816824,0.01687651236868528,0.8453412114914041,0.01847016289984097,50,imputer_within_cv
Mean,SimpleMean,mcar,0.3,GB,0.831997758069512,0.020472133751168197,0.8197268568687054,0.0232548698005493,50,imputer_within_cv
Mean,SimpleMean,mcar,0.3,LogReg,0.8379174856084611,0.020097645037534646,0.8348377327279767,0.020795882871658667,50,imputer_within_cv
Mean,SimpleMean,mcar,0.3,RF,0.8305739706072492,0.017067902988214492,0.8122216313140576,0.019727888983245647,50,imputer_within_cv
