mechanism,imputer_display,imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n_rows
mar,KNN,"KNN(k=5,dist)",0.05,EnsembleSoft,0.8803363082962822,0.013769226688709342,0.8702920596020725,0.014443011572191996,50
mar,KNN,"KNN(k=5,dist)",0.1,EnsembleSoft,0.8778545991857503,0.014086175062295935,0.8680423254181278,0.014730124975486739,50
mar,KNN,"KNN(k=5,dist)",0.2,EnsembleSoft,0.8721681465435438,0.01456273535547623,0.8621136891563721,0.016807878804321188,50
mar,KNN,"KNN(k=5,dist)",0.3,EnsembleSoft,0.8482454233955332,0.017576613076590128,0.8380687893977368,0.020109717138331745,50
mar,Mean,SimpleMean,0.05,EnsembleSoft,0.8807230463647767,0.014271484721750227,0.8709846637102734,0.015940029921229424,50
mar,Mean,SimpleMean,0.1,EnsembleSoft,0.8743290626841953,0.014117774064203326,0.8652054267227567,0.0165262040426851,50
mar,Mean,SimpleMean,0.2,EnsembleSoft,0.8635717320954565,0.01599457825274251,0.8540339809242248,0.01704657782661135,50
mar,Mean,SimpleMean,0.3,EnsembleSoft,0.84802008519513,0.020233082188741175,0.83789716438176,0.021524815649423244,50
mar,MissForest,MissForest,0.05,EnsembleSoft,0.8805805867748586,0.013069796459966459,0.8707137577869285,0.01426486403308678,50
mar,MissForest,MissForest,0.1,EnsembleSoft,0.8791786876085737,0.013167966817988229,0.8692159834175238,0.013891189328992934,50
mar,MissForest,MissForest,0.2,EnsembleSoft,0.8707923202001205,0.014647683150102033,0.8613616575622352,0.016861243771268585,50
mar,MissForest,MissForest,0.3,EnsembleSoft,0.8606189427022096,0.015877782079675894,0.8506416785681868,0.01855068606208644,50
mcar,KNN,"KNN(k=5,dist)",0.05,EnsembleSoft,0.8812234101019348,0.013095090085023199,0.8717219615002029,0.01453704275886543,50
mcar,KNN,"KNN(k=5,dist)",0.1,EnsembleSoft,0.8756739489033231,0.01296722406730911,0.8661451610363677,0.013457949782120181,50
mcar,KNN,"KNN(k=5,dist)",0.2,EnsembleSoft,0.8691416635535307,0.015847903373292622,0.8595983667594708,0.017488003698690364,50
mcar,KNN,"KNN(k=5,dist)",0.3,EnsembleSoft,0.8582261234591262,0.017149947601378574,0.8484000517739285,0.01817899726156753,50
mcar,Mean,SimpleMean,0.05,EnsembleSoft,0.878740165462206,0.01392848425443587,0.8694692667552103,0.015181964917662714,50
mcar,Mean,SimpleMean,0.1,EnsembleSoft,0.8747997280647162,0.01535618125313024,0.8652653182290538,0.01590985956474834,50
mcar,Mean,SimpleMean,0.2,EnsembleSoft,0.866073659815381,0.012845168970609722,0.8568806092281701,0.014268364238298418,50
mcar,Mean,SimpleMean,0.3,EnsembleSoft,0.8550846750816824,0.01687651236868528,0.8453412114914041,0.01847016289984097,50
mcar,MissForest,MissForest,0.05,EnsembleSoft,0.8812120143458076,0.012240245295965521,0.8716584870342894,0.013384414917864459,50
mcar,MissForest,MissForest,0.1,EnsembleSoft,0.8786664667109548,0.015455670887344454,0.869314236255828,0.015885850525976422,50
mcar,MissForest,MissForest,0.2,EnsembleSoft,0.8741775961522379,0.01466645590373077,0.8646195181227273,0.016385652592466493,50
mcar,MissForest,MissForest,0.3,EnsembleSoft,0.8662237147375467,0.01454037978089943,0.8574428629778437,0.016298052977546017,50
