imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n,f1_pm_std,bal_pm_std
RFECA_SVR(k=10),0.0,EnsembleSoft,0.9419927536231885,0.0,0.9333333333333332,0.0,10,0.9420 ± 0.0000,0.9333 ± 0.0000
RFECA_SVR(k=10),0.0,SVC,0.9319400527009222,0.0,0.925,0.0,10,0.9319 ± 0.0000,0.9250 ± 0.0000
RFECA_SVR(k=10),0.0,EnsembleHard,0.9274472990777338,0.0,0.925,0.0,10,0.9274 ± 0.0000,0.9250 ± 0.0000
RFECA_SVR(k=10),0.0,RF,0.9152733860342556,0.0,0.9083333333333334,0.0,10,0.9153 ± 0.0000,0.9083 ± 0.0000
RFECA_SVR(k=10),0.0,LogReg,0.9149559257167953,0.0,0.9079545454545453,0.0,10,0.9150 ± 0.0000,0.9080 ± 0.0000
RFECA_SVR(k=10),0.0,GB,0.8042421210029905,0.0,0.7833333333333333,0.0,10,0.8042 ± 0.0000,0.7833 ± 0.0000
RFECA_SVR(k=10),0.05,SVC,0.9325756258234519,0.00785322086898454,0.9212499999999999,0.007203501377716634,10,0.9326 ± 0.0079,0.9212 ± 0.0072
RFECA_SVR(k=10),0.05,EnsembleSoft,0.9321937417654809,0.016742191747157208,0.9199999999999999,0.017980613702980305,10,0.9322 ± 0.0167,0.9200 ± 0.0180
RFECA_SVR(k=10),0.05,EnsembleHard,0.9307532163488685,0.01587048420086338,0.9183333333333333,0.016689798761999806,10,0.9308 ± 0.0159,0.9183 ± 0.0167
RFECA_SVR(k=10),0.05,LogReg,0.9145447455925716,0.006434757293311121,0.907121212121212,0.007556372504853011,10,0.9145 ± 0.0064,0.9071 ± 0.0076
RFECA_SVR(k=10),0.05,RF,0.9064162504162503,0.015262482927286476,0.8996969696969697,0.012802806166228899,10,0.9064 ± 0.0153,0.8997 ± 0.0128
RFECA_SVR(k=10),0.05,GB,0.809432983441679,0.017956260011193746,0.7904772727272728,0.01927239407680553,10,0.8094 ± 0.0180,0.7905 ± 0.0193
RFECA_SVR(k=10),0.1,EnsembleHard,0.9352805057261578,0.013288952697708866,0.9241666666666666,0.015932922666333362,10,0.9353 ± 0.0133,0.9242 ± 0.0159
RFECA_SVR(k=10),0.1,SVC,0.9349928006775834,0.011080731087071919,0.9241666666666666,0.012234841969747346,10,0.9350 ± 0.0111,0.9242 ± 0.0122
RFECA_SVR(k=10),0.1,LogReg,0.9269205721814417,0.008923885727822186,0.9217803030303029,0.011771916368988989,10,0.9269 ± 0.0089,0.9218 ± 0.0118
RFECA_SVR(k=10),0.1,EnsembleSoft,0.9252565280130497,0.019854963680782576,0.9157196969696969,0.021007649976009672,10,0.9253 ± 0.0199,0.9157 ± 0.0210
RFECA_SVR(k=10),0.1,RF,0.895144883377492,0.019077599963146803,0.8879166666666667,0.020602447259446113,10,0.8951 ± 0.0191,0.8879 ± 0.0206
RFECA_SVR(k=10),0.1,GB,0.7864830658874137,0.03582743322716115,0.7743257575757576,0.033585962064092166,10,0.7865 ± 0.0358,0.7743 ± 0.0336
RFECA_SVR(k=10),0.2,SVC,0.9282065383891471,0.020153331084286165,0.9153787878787879,0.021527092764361364,10,0.9282 ± 0.0202,0.9154 ± 0.0215
RFECA_SVR(k=10),0.2,EnsembleHard,0.91630031128292,0.015011532236615496,0.9028787878787877,0.019192915976241134,10,0.9163 ± 0.0150,0.9029 ± 0.0192
RFECA_SVR(k=10),0.2,EnsembleSoft,0.9131917247004203,0.017957623499659188,0.9039772727272727,0.02160917621720092,10,0.9132 ± 0.0180,0.9040 ± 0.0216
RFECA_SVR(k=10),0.2,LogReg,0.8985795615013007,0.019994888573433428,0.8934090909090908,0.0209338712768579,10,0.8986 ± 0.0200,0.8934 ± 0.0209
RFECA_SVR(k=10),0.2,RF,0.8829075287031808,0.01632239187834998,0.8762121212121212,0.017379168754027324,10,0.8829 ± 0.0163,0.8762 ± 0.0174
RFECA_SVR(k=10),0.2,GB,0.7646918653809959,0.04286113519591389,0.7474318181818181,0.042332835781549234,10,0.7647 ± 0.0429,0.7474 ± 0.0423
RFECA_SVR(k=10),0.3,EnsembleHard,0.9026373797699885,0.025179902247485446,0.886969696969697,0.02268880020920387,10,0.9026 ± 0.0252,0.8870 ± 0.0227
RFECA_SVR(k=10),0.3,EnsembleSoft,0.8986317790904748,0.02173246394783047,0.8855151515151516,0.021935268507345392,10,0.8986 ± 0.0217,0.8855 ± 0.0219
RFECA_SVR(k=10),0.3,SVC,0.8925837876738176,0.027619208687654516,0.8735909090909091,0.028916318121939566,10,0.8926 ± 0.0276,0.8736 ± 0.0289
RFECA_SVR(k=10),0.3,LogReg,0.8893914286196895,0.025609806963767374,0.8821666666666668,0.023922505017271816,10,0.8894 ± 0.0256,0.8822 ± 0.0239
RFECA_SVR(k=10),0.3,RF,0.868261993320689,0.02710320736874948,0.8595454545454544,0.024987115341072327,10,0.8683 ± 0.0271,0.8595 ± 0.0250
RFECA_SVR(k=10),0.3,GB,0.7532180183745402,0.05358199366645244,0.7444621212121212,0.047116873927426285,10,0.7532 ± 0.0536,0.7445 ± 0.0471
