stage,imputer,model,missing_rate,replicate,fold,f1_macro,bal_acc,n_train,n_test,train_class_distribution,test_class_distribution,n_unique_predictions,degenerate_single_class_preds,f1_LumA,precision_LumA,recall_LumA,f1_LumB,precision_LumB,recall_LumB,f1_Her2,precision_Her2,recall_Her2,f1_Basal,precision_Basal,recall_Basal,seed,protocol,imputer_display,mechanism
classification,OriginalRFECA,EnsembleSoft,0.05,3,1,0.863367889420521,0.8588554720133668,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9163636363636364,0.9333333333333333,0.9,0.8686868686868687,0.8349514563106796,0.9052631578947369,0.8,0.76,0.8444444444444444,0.868421052631579,0.9705882352941176,0.7857142857142857,3067051,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,EnsembleSoft,0.05,3,2,0.8988112085709808,0.887562656641604,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9423728813559322,0.896774193548387,0.9928571428571429,0.9,0.9529411764705882,0.8526315789473684,0.8372093023255814,0.8780487804878049,0.8,0.9156626506024096,0.926829268292683,0.9047619047619048,3067051,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,EnsembleSoft,0.05,3,3,0.8839051110572429,0.8801796157059315,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8704663212435233,0.8571428571428571,0.8842105263157894,0.7727272727272727,0.7906976744186046,0.7555555555555555,0.963855421686747,0.975609756097561,0.9523809523809523,3067051,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,EnsembleSoft,0.05,3,4,0.8713181206491944,0.8653121625201216,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9219858156028369,0.9154929577464789,0.9285714285714286,0.8808290155440415,0.8673469387755102,0.8947368421052632,0.7441860465116279,0.7804878048780488,0.7111111111111111,0.9382716049382716,0.95,0.926829268292683,3067051,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,EnsembleSoft,0.05,3,5,0.8704522157858352,0.8489205969469128,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9220338983050848,0.8774193548387097,0.9714285714285714,0.8888888888888888,0.8936170212765957,0.8842105263157894,0.7341772151898734,0.8285714285714286,0.6590909090909091,0.9367088607594937,1.0,0.8809523809523809,3067051,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,SVC,0.05,3,1,0.8344670913259938,0.8324770258980785,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.8939393939393939,0.9516129032258065,0.8428571428571429,0.8571428571428571,0.782608695652174,0.9473684210526315,0.7446808510638298,0.7142857142857143,0.7777777777777778,0.8421052631578947,0.9411764705882353,0.7619047619047619,3067051,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,SVC,0.05,3,2,0.9104696613827417,0.897733918128655,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9351535836177475,0.8954248366013072,0.9785714285714285,0.8961748633879781,0.9318181818181818,0.8631578947368421,0.8837209302325582,0.926829268292683,0.8444444444444444,0.926829268292683,0.95,0.9047619047619048,3067051,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,SVC,0.05,3,3,0.884096045095309,0.8813178780284043,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9214285714285714,0.9214285714285714,0.9214285714285714,0.8645833333333334,0.8556701030927835,0.8736842105263158,0.7865168539325843,0.7954545454545454,0.7777777777777778,0.963855421686747,0.975609756097561,0.9523809523809523,3067051,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,SVC,0.05,3,4,0.8736039984716804,0.8696354707907981,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.927536231884058,0.9411764705882353,0.9142857142857143,0.8844221105527639,0.8461538461538461,0.9263157894736842,0.7441860465116279,0.7804878048780488,0.7111111111111111,0.9382716049382716,0.95,0.926829268292683,3067051,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,SVC,0.05,3,5,0.881240144743138,0.8611300979722033,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9278350515463918,0.8940397350993378,0.9642857142857143,0.8854166666666666,0.8762886597938144,0.8947368421052632,0.775,0.8611111111111112,0.7045454545454546,0.9367088607594937,1.0,0.8809523809523809,3067051,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,LogReg,0.05,3,1,0.8552396109142676,0.854187552213868,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.8945454545454545,0.9111111111111111,0.8785714285714286,0.8571428571428571,0.8316831683168316,0.8842105263157894,0.8085106382978723,0.7755102040816326,0.8444444444444444,0.8607594936708861,0.918918918918919,0.8095238095238095,3067051,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,LogReg,0.05,3,2,0.868219551862044,0.870749791144528,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9257950530035336,0.916083916083916,0.9357142857142857,0.8864864864864865,0.9111111111111111,0.8631578947368421,0.7640449438202247,0.7727272727272727,0.7555555555555555,0.896551724137931,0.8666666666666667,0.9285714285714286,3067051,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,LogReg,0.05,3,3,0.8719120089916953,0.8655806182121971,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9273356401384083,0.8993288590604027,0.9571428571428572,0.8478260869565217,0.8764044943820225,0.8210526315789474,0.7727272727272727,0.7906976744186046,0.7555555555555555,0.9397590361445783,0.9512195121951219,0.9285714285714286,3067051,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,LogReg,0.05,3,4,0.8620410618809154,0.8647075004584632,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9175627240143369,0.920863309352518,0.9142857142857143,0.851063829787234,0.8602150537634409,0.8421052631578947,0.7659574468085106,0.7346938775510204,0.8,0.9135802469135802,0.925,0.9024390243902439,3067051,post_target_wise_impute,RFECA,mar
