cohort,mechanism,missing_rate,metric,higher_is_better,method_a,method_b,mean_a,mean_b,delta_a_minus_b,wilcoxon_stat,p_value,rank_biserial_r,n_pairs,note,p_holm
discovery,mcar,0.2,f1_macro,True,SimpleMean,RFECA_SVR(k=10),0.8913581700907788,0.8916600081078343,-0.0003018380170555224,27.0,1.0,-0.018181818181818077,10,,1.0
discovery,mcar,0.2,f1_macro,True,SimpleMean,RFECA_SVR(k=20),0.8913581700907788,0.8938904054882315,-0.002532235397452731,26.0,0.921875,-0.05454545454545445,10,,1.0
discovery,mcar,0.2,f1_macro,True,SimpleMean,MissForest,0.8913581700907788,0.9083100667448493,-0.016951896654070486,16.0,0.275390625,-0.4181818181818182,10,,1.0
discovery,mcar,0.2,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=5),0.9122281597629425,0.8989780446606535,0.013250115102289017,15.0,0.232421875,0.4545454545454546,10,,1.0
discovery,mcar,0.2,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=10),0.9122281597629425,0.8916600081078343,0.02056815165510817,10.0,0.083984375,0.6363636363636364,10,,1.0
discovery,mcar,0.2,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=20),0.9122281597629425,0.8938904054882315,0.01833775427471096,12.0,0.130859375,0.5636363636363637,10,,1.0
discovery,mcar,0.2,f1_macro,True,"KNN(k=5,dist)",MissForest,0.9122281597629425,0.9083100667448493,0.003918093018093205,22.0,0.625,0.19999999999999996,10,,1.0
discovery,mcar,0.2,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.8989780446606535,0.8916600081078343,0.0073180365528191516,12.0,0.25,0.4666666666666667,10,,1.0
discovery,mcar,0.2,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.8989780446606535,0.8938904054882315,0.005087639172421943,23.0,0.6953125,0.1636363636363637,10,,1.0
discovery,mcar,0.2,f1_macro,True,RFECA_SVR(k=5),MissForest,0.8989780446606535,0.9083100667448493,-0.009332022084195812,17.0,0.322265625,-0.38181818181818183,10,,1.0
discovery,mcar,0.2,f1_macro,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.8916600081078343,0.8938904054882315,-0.002230397380397209,21.0,0.556640625,-0.23636363636363633,10,,1.0
discovery,mcar,0.2,f1_macro,True,RFECA_SVR(k=10),MissForest,0.8916600081078343,0.9083100667448493,-0.016650058637014964,8.0,0.048828125,-0.709090909090909,10,,0.732421875
discovery,mcar,0.2,f1_macro,True,RFECA_SVR(k=20),MissForest,0.8938904054882315,0.9083100667448493,-0.014419661256617755,9.0,0.064453125,-0.6727272727272726,10,,0.90234375
