imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n_rows
RFECA_SVR(k=10),0.0,EnsembleSoft,0.8859360095573787,0.013890854433734988,0.8752464911354514,0.013119020735135928,50
RFECA_SVR(k=10),0.05,EnsembleSoft,0.8816948274532999,0.013847280053130484,0.8716637695495205,0.014233900020404583,50
RFECA_SVR(k=10),0.1,EnsembleSoft,0.8780880379289714,0.012243276558417573,0.8686707974666896,0.013963256192146386,50
RFECA_SVR(k=10),0.2,EnsembleSoft,0.8707125530472841,0.01635432759296269,0.8620546590052366,0.01764675483621538,50
RFECA_SVR(k=10),0.3,EnsembleSoft,0.8609453169449739,0.014436285879807187,0.8527290912980899,0.01778190897210431,50
RFECA_SVR(k=20),0.0,EnsembleSoft,0.8859360095573787,0.013890854433734988,0.8752464911354514,0.013119020735135928,50
RFECA_SVR(k=20),0.05,EnsembleSoft,0.8814222432822792,0.014774712883047563,0.8714495028220959,0.014697727630034662,50
RFECA_SVR(k=20),0.1,EnsembleSoft,0.877720977042099,0.011726451229223932,0.8683371645114264,0.013471826594987793,50
RFECA_SVR(k=20),0.2,EnsembleSoft,0.871576670869955,0.016686289970071197,0.8626959388493407,0.01799779665523303,50
RFECA_SVR(k=20),0.3,EnsembleSoft,0.8592702044848255,0.01563957931273526,0.8513058158144807,0.018980366870279746,50
RFECA_SVR(k=5),0.0,EnsembleSoft,0.8859360095573787,0.013890854433734988,0.8752464911354514,0.013119020735135928,50
RFECA_SVR(k=5),0.05,EnsembleSoft,0.8798430025036634,0.014937027157563173,0.8701718375762022,0.015314786605695605,50
RFECA_SVR(k=5),0.1,EnsembleSoft,0.8783179642057267,0.01240272812941912,0.8688859755634466,0.01350585132396656,50
RFECA_SVR(k=5),0.2,EnsembleSoft,0.8691843780086139,0.014383217731529101,0.8604622541201489,0.016199320546044053,50
RFECA_SVR(k=5),0.3,EnsembleSoft,0.8592191703292614,0.014745878267206261,0.8503050943137593,0.017707511558589125,50
