mechanism,missing_rate,rate_pct,metric,method_a,method_b,mean_a,mean_b,n_a,n_b,delta_abs_a_minus_b,delta_pct_vs_b,boot_ci95_low,boot_ci95_high,comparison_type,p_value
MAR,0.05,5,rmse,OriginalRFECA,KNN,0.6414245784651376,0.699695891558898,5,10,-0.058271313093760435,-8.328091360367143,-0.07096416100318606,-0.04489985228076798,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.05,5,rmse,OriginalRFECA,MissForest,0.6414245784651376,0.6290763935180603,5,10,0.012348184947077234,1.9629070609407198,-0.00021666303843160794,0.02497432195775487,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.05,5,mae,OriginalRFECA,Mean,0.42075778551592996,0.8278765175265456,5,10,-0.4071187320106156,-49.176262811145804,-0.41355945157594287,-0.4009403439814315,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.05,5,mae,OriginalRFECA,KNN,0.42075778551592996,0.47767433921768443,5,10,-0.05691655370175447,-11.915346718220217,-0.062405933257581744,-0.051472968345513556,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.05,5,mae,OriginalRFECA,MissForest,0.42075778551592996,0.4260548307267255,5,10,-0.005297045210795548,-1.2432778198431247,-0.010329309092248487,-0.0002653571923073816,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.1,10,rmse,OriginalRFECA,Mean,0.6388336206778935,1.1602141435329831,5,10,-0.5213805228550896,-44.93830089568009,-0.5319583082870721,-0.5107782098904015,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.1,10,rmse,OriginalRFECA,KNN,0.6388336206778935,0.7098662056262381,5,10,-0.07103258494834463,-10.00647507732535,-0.08082678680470759,-0.06097336029871343,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.1,10,rmse,OriginalRFECA,MissForest,0.6388336206778935,0.6427895028879883,5,10,-0.003955882210094797,-0.6154242084417088,-0.013757645671297392,0.005450955908575083,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.1,10,mae,OriginalRFECA,Mean,0.4184835943168618,0.8191159791076407,5,10,-0.4006323847907789,-48.91033687649884,-0.4071662748834858,-0.39353274507509356,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.1,10,mae,OriginalRFECA,KNN,0.4184835943168618,0.48310158594163377,5,10,-0.064617991624772,-13.375652969307135,-0.06928461557505725,-0.05912125610432122,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.1,10,mae,OriginalRFECA,MissForest,0.4184835943168618,0.4306833769894324,5,10,-0.012199782672570603,-2.8326569643457464,-0.01724398525686717,-0.006639351256522511,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.2,20,rmse,OriginalRFECA,Mean,0.6397229901203969,1.1491114075405715,5,10,-0.5093884174201746,-44.32889744871754,-0.5161091390252907,-0.5031534045934135,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.2,20,rmse,OriginalRFECA,KNN,0.6397229901203969,0.7507455341014431,5,10,-0.11102254398104616,-14.788305615953814,-0.11939847186103979,-0.10238881450359578,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.2,20,rmse,OriginalRFECA,MissForest,0.6397229901203969,0.6721495670652327,5,10,-0.03242657694483575,-4.824309727136776,-0.039308434379212026,-0.025973964630024743,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.2,20,mae,OriginalRFECA,Mean,0.4192777664355106,0.811289192301281,5,10,-0.3920114258657704,-48.31956712671118,-0.39524673479218314,-0.3886748287838806,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.2,20,mae,OriginalRFECA,KNN,0.4192777664355106,0.5089724819832424,5,10,-0.08969471554773178,-17.622704315610708,-0.09354107238186622,-0.08545610553885397,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.2,20,mae,OriginalRFECA,MissForest,0.4192777664355106,0.44529760713839767,5,10,-0.026019840702887043,-5.843247366653854,-0.029056158792572107,-0.022884938923766467,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.3,30,rmse,OriginalRFECA,Mean,0.6394937412851157,1.143003217234177,5,10,-0.5035094759490614,-44.05144870610657,-0.5082958168782451,-0.498590337955809,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.3,30,rmse,OriginalRFECA,KNN,0.6394937412851157,0.856710260394444,5,10,-0.21721651910932827,-25.35472366227038,-0.23046913245024472,-0.2037393415617245,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.3,30,rmse,OriginalRFECA,MissForest,0.6394937412851157,0.7052613170597014,5,10,-0.0657675757745857,-9.325277621744052,-0.07225237739090651,-0.05892244059374841,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.3,30,mae,OriginalRFECA,Mean,0.4185684976745369,0.8029062803284972,5,10,-0.3843377826539603,-47.868324369902076,-0.3875451321588039,-0.3810462620993001,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.3,30,mae,OriginalRFECA,KNN,0.4185684976745369,0.575010695042496,5,10,-0.1564421973679591,-27.20683262359099,-0.1632607410440026,-0.1492963426796385,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MAR,0.3,30,mae,OriginalRFECA,MissForest,0.4185684976745369,0.4650253873684155,5,10,-0.04645688969387857,-9.99018353745775,-0.04971974532222192,-0.04291178550388952,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
