mechanism,missing_rate,gene,rmse_mean,mae_mean,n
mcar,0.1,KRT17,0.786555261200855,0.5321954024835034,5
mcar,0.1,KRT5,0.5689264206221087,0.31508175326805166,5
mcar,0.1,MAPT,1.0335874398990361,0.7944233295618159,5
mcar,0.1,MDM2,0.22903446073667463,0.15492150297848822,5
mcar,0.1,MELK,0.3747952064803015,0.2796588662537866,5
mcar,0.1,MIA,0.48582241487631156,0.29434167738062045,5
mcar,0.1,MKI67,0.1933982290145138,0.14710877768428166,5
mcar,0.1,MLPH,0.6327344829655448,0.47694236830571085,5
mcar,0.1,MMP11,1.2694192454092295,0.9916178481679054,5
mcar,0.1,MYBL2,0.15833418818969788,0.12370245456278947,5
mcar,0.1,MYC,0.7907448962572642,0.640255113040725,5
mcar,0.1,NAT1,1.2899998033083258,0.9977271660012779,5
mcar,0.1,NDC80,0.21674311881264713,0.16471160092429316,5
mcar,0.1,NUF2,0.28074129240091295,0.1923637656032974,5
mcar,0.1,ORC6,0.37524348923755346,0.31094240159807995,5
mcar,0.1,PGR,0.8237718311115977,0.6409348261501007,5
mcar,0.1,PHGDH,0.9462847786286639,0.7371406470211888,5
mcar,0.1,PTTG1,0.37734460506474804,0.2920324380697425,5
mcar,0.1,RRM2,0.3309465031176255,0.2526048498081755,5
mcar,0.1,SFRP1,0.8855942757353841,0.6478435818846612,5
mcar,0.1,SLC39A6,0.9400110179473711,0.7574023480949446,5
mcar,0.1,TMEM45B,0.5197602400035519,0.39191708703915307,5
mcar,0.1,TYMS,0.46482516898489745,0.3631186757329781,5
mcar,0.1,UBE2C,0.4049697084760221,0.31158823202078667,5
mcar,0.1,UBE2T,0.3821700777741116,0.29486815781989006,5
mcar,0.2,ACTR3B,0.5105968495568962,0.31934887162162146,5
mcar,0.2,ANLN,0.29048091177899704,0.21905449562875173,5
mcar,0.2,BAG1,0.2912331007628707,0.20629693577104513,5
mcar,0.2,BCL2,0.6596265942658119,0.5056737906168188,5
mcar,0.2,BIRC5,0.49205866076413474,0.3575136078428575,5
mcar,0.2,BLVRA,0.5993943772134023,0.45033708242420756,5
mcar,0.2,CCNB1,0.3603325870821559,0.2765384395764118,5
mcar,0.2,CCNE1,0.4585360215883453,0.31410971272488164,5
mcar,0.2,CDC20,0.37226799696185014,0.2820066288110774,5
mcar,0.2,CDC6,0.20983269227215023,0.13416436509516405,5
mcar,0.2,CDH3,0.8193578358817479,0.6197308545288681,5
mcar,0.2,CENPF,0.41896443068871125,0.31287538286534633,5
mcar,0.2,CEP55,0.2760104118423748,0.21070564111608756,5
mcar,0.2,CXXC5,0.5614031490529843,0.42802643779766913,5
