cohort,mechanism,imputer,missing_rate,f1_mean,f1_std,bal_mean,bal_std,n_cls_rows,artifact_dir,rmse_mean,rmse_std,corr_rv_mean
cptac_2c,mcar,RFECA_SVR(k=5),0.0,0.9062598753903103,0.034908337047999095,0.8916666666666666,0.05552011341124293,50,<repo-root>\artifacts\discovery_full_rfeca_20260727_161656,,,
cptac_2c,mcar,RFECA_SVR(k=10),0.0,0.9062598753903103,0.034908337047999095,0.8916666666666666,0.05552011341124293,50,<repo-root>\artifacts\discovery_full_rfeca_20260727_161656,,,
cptac_2c,mcar,RFECA_SVR(k=20),0.0,0.9062598753903103,0.034908337047999095,0.8916666666666666,0.05552011341124293,50,<repo-root>\artifacts\discovery_full_rfeca_20260727_161656,,,
cptac_2c,mcar,RFECA_SVR(k=5),0.05,0.9209817839165666,0.05290850217106302,0.9145833333333333,0.06483041937735703,50,<repo-root>\artifacts\discovery_full_rfeca_20260727_161656,1.8019355319789043,0.39564306953779715,0.9964640270061654
cptac_2c,mcar,RFECA_SVR(k=10),0.05,0.9192493038362606,0.04479510952884194,0.9116666666666667,0.05718004742153726,50,<repo-root>\artifacts\discovery_full_rfeca_20260727_161656,1.8215748562860548,0.3983654180783961,0.9964399020015052
cptac_2c,mcar,RFECA_SVR(k=20),0.05,0.9203550350615569,0.051346521904731636,0.9120833333333335,0.0613254140295497,50,<repo-root>\artifacts\discovery_full_rfeca_20260727_161656,1.8814198921442296,0.39722499980188475,0.995829310821684
cptac_2c,mcar,RFECA_SVR(k=5),0.1,0.9302896608222697,0.048615867246810426,0.9216666666666667,0.05794941691367497,50,<repo-root>\artifacts\discovery_full_rfeca_20260727_161656,1.8083404649737782,0.29090858319678886,0.9923106075707547
cptac_2c,mcar,RFECA_SVR(k=10),0.1,0.9216713974431368,0.04707315267638811,0.9133333333333333,0.05714905720332596,50,<repo-root>\artifacts\discovery_full_rfeca_20260727_161656,1.8152711388624223,0.2770264437451206,0.9921872151301165
cptac_2c,mcar,RFECA_SVR(k=20),0.1,0.9271625982712941,0.05125123575529879,0.9191666666666667,0.06079593016573191,50,<repo-root>\artifacts\discovery_full_rfeca_20260727_161656,1.9105050502087844,0.29135743719369356,0.9912275151437403
cptac_2c,mcar,RFECA_SVR(k=5),0.2,0.9027418086744176,0.06487921111734114,0.8974999999999999,0.07420687971968924,50,<repo-root>\artifacts\discovery_full_rfeca_20260727_161656,1.9807884246272696,0.2001550093785419,0.9822589099878201
cptac_2c,mcar,RFECA_SVR(k=10),0.2,0.9023079220296613,0.06105937772896447,0.8962121212121211,0.07104939202603602,50,<repo-root>\artifacts\discovery_full_rfeca_20260727_161656,2.008597245048073,0.20036487608855122,0.981326429442028
cptac_2c,mcar,RFECA_SVR(k=20),0.2,0.9067789763376721,0.05560090447229525,0.9007575757575758,0.06692040737432878,50,<repo-root>\artifacts\discovery_full_rfeca_20260727_161656,2.0881086390152626,0.18793023357233296,0.9793761396346063
cptac_2c,mcar,RFECA_SVR(k=5),0.3,0.9016843123060516,0.06163868027028841,0.8928409090909091,0.06857481607370694,50,<repo-root>\artifacts\discovery_full_rfeca_20260727_161656,2.072919783458199,0.16739988453042431,0.9709677144098171
cptac_2c,mcar,RFECA_SVR(k=10),0.3,0.8985973454082152,0.06123259756764545,0.8903787878787881,0.06666684235654592,50,<repo-root>\artifacts\discovery_full_rfeca_20260727_161656,2.1225456653142145,0.19393291845145008,0.9692896451989162
cptac_2c,mcar,RFECA_SVR(k=20),0.3,0.9003397339375602,0.05988654568574973,0.8924621212121211,0.06886690489524169,50,<repo-root>\artifacts\discovery_full_rfeca_20260727_161656,2.251180482562588,0.19450468636269194,0.9672499872244525
metabric,mcar,RFECA_SVR(k=5),0.0,0.8859360095573787,0.01389085443373495,0.8752464911354513,0.013119020735135928,50,<repo-root>\artifacts\metabric_full_rfeca_20260727_163213,,,
metabric,mcar,RFECA_SVR(k=10),0.0,0.8859360095573787,0.01389085443373495,0.8752464911354513,0.013119020735135928,50,<repo-root>\artifacts\metabric_full_rfeca_20260727_163213,,,
metabric,mcar,RFECA_SVR(k=20),0.0,0.8859360095573787,0.01389085443373495,0.8752464911354513,0.013119020735135928,50,<repo-root>\artifacts\metabric_full_rfeca_20260727_163213,,,
metabric,mcar,RFECA_SVR(k=5),0.05,0.8835451074301797,0.013287908703581298,0.8735760664595709,0.013413218132839081,50,<repo-root>\artifacts\metabric_full_rfeca_20260727_163213,0.6841588820133786,0.02673935176233303,0.9993899673782736
metabric,mcar,RFECA_SVR(k=10),0.05,0.8822808921451191,0.013606078007981961,0.8721386851274527,0.014214830084518284,50,<repo-root>\artifacts\metabric_full_rfeca_20260727_163213,0.6634448401127584,0.026889057658834148,0.9994370881544306
metabric,mcar,RFECA_SVR(k=20),0.05,0.882858904217792,0.012309974462637334,0.8724961331636557,0.01257600764360768,50,<repo-root>\artifacts\metabric_full_rfeca_20260727_163213,0.6487709661318126,0.026273275215305446,0.9994750279772986
metabric,mcar,RFECA_SVR(k=5),0.1,0.8770155334895996,0.01551623936704079,0.8679148911636075,0.014849861838594923,50,<repo-root>\artifacts\metabric_full_rfeca_20260727_163213,0.6929634655436017,0.027536467432361683,0.9985696807472939
metabric,mcar,RFECA_SVR(k=10),0.1,0.8778479141048244,0.01598154195684231,0.8687572404773947,0.016199185513257972,50,<repo-root>\artifacts\metabric_full_rfeca_20260727_163213,0.6737971025302022,0.025724563168971006,0.9986794251162676
metabric,mcar,RFECA_SVR(k=20),0.1,0.8776612416259578,0.015180282769652964,0.8683693213077038,0.014545463415428549,50,<repo-root>\artifacts\metabric_full_rfeca_20260727_163213,0.6588264502410854,0.025805850954505424,0.9988209313684699
metabric,mcar,RFECA_SVR(k=5),0.2,0.8707824031518786,0.016136028298371116,0.8620164518835892,0.018445478538805724,50,<repo-root>\artifacts\metabric_full_rfeca_20260727_163213,0.7166232312087638,0.01750926941935599,0.9960662495709623
metabric,mcar,RFECA_SVR(k=10),0.2,0.8705005445032152,0.014907059093442716,0.8617288768854878,0.016910315288756125,50,<repo-root>\artifacts\metabric_full_rfeca_20260727_163213,0.6954332128668084,0.0178165547798656,0.9963023298243479
