gene,Mean_rmse,KNN_rmse,MissForest_rmse,OriginalRFECA_rmse,Mean_mae,KNN_mae,MissForest_mae,OriginalRFECA_mae,data_availability,note,rmse_global_available,best_method_rmse,worst_method_rmse,delta_best_worst,cv_across_methods,ranking_rmse
MIA,,,,0.49466095409622496,,,,0.30112370226222474,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.49466095409622496,,,,,OriginalRFECA (only available)
TYMS,,,,0.4899987779805855,,,,0.38346450984351294,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.4899987779805855,,,,,OriginalRFECA (only available)
CCNE1,,,,0.4897355353437966,,,,0.3258772015112631,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.4897355353437966,,,,,OriginalRFECA (only available)
UBE2C,,,,0.4095151346455775,,,,0.31475082626565254,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.4095151346455775,,,,,OriginalRFECA (only available)
CENPF,,,,0.4034957556973137,,,,0.3054199900426945,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.4034957556973137,,,,,OriginalRFECA (only available)
ORC6,,,,0.3846938361230282,,,,0.316088740070506,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.3846938361230282,,,,,OriginalRFECA (only available)
MELK,,,,0.3806058992840402,,,,0.28451870883939623,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.3806058992840402,,,,,OriginalRFECA (only available)
PTTG1,,,,0.37804167665943667,,,,0.2951808160108838,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.37804167665943667,,,,,OriginalRFECA (only available)
UBE2T,,,,0.37655411973890496,,,,0.2864480081952666,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.37655411973890496,,,,,OriginalRFECA (only available)
CDC20,,,,0.37063861949840604,,,,0.2851895011092295,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.37063861949840604,,,,,OriginalRFECA (only available)
CCNB1,,,,0.352578917258659,,,,0.27189513367461426,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.352578917258659,,,,,OriginalRFECA (only available)
RRM2,,,,0.340952505339553,,,,0.25716380908468317,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.340952505339553,,,,,OriginalRFECA (only available)
BAG1,,,,0.31099308188316865,,,,0.2203002528105323,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.31099308188316865,,,,,OriginalRFECA (only available)
ANLN,,,,0.30580023814807783,,,,0.22844782692792948,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.30580023814807783,,,,,OriginalRFECA (only available)
EXO1,,,,0.30358172278667306,,,,0.2343538653505294,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.30358172278667306,,,,,OriginalRFECA (only available)
NUF2,,,,0.28238476758423986,,,,0.196062974698555,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.28238476758423986,,,,,OriginalRFECA (only available)
CEP55,,,,0.2796722722730212,,,,0.212378054404536,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.2796722722730212,,,,,OriginalRFECA (only available)
KIF2C,,,,0.2578647591021027,,,,0.19920639096509277,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.2578647591021027,,,,,OriginalRFECA (only available)
NDC80,,,,0.231067959275364,,,,0.17753176338344925,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.231067959275364,,,,,OriginalRFECA (only available)
MDM2,,,,0.21975918462707011,,,,0.15304476528789407,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.21975918462707011,,,,,OriginalRFECA (only available)
CDC6,,,,0.21267879663178468,,,,0.13839564546699573,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.21267879663178468,,,,,OriginalRFECA (only available)
MKI67,,,,0.21232433765851266,,,,0.16029513826766334,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.21232433765851266,,,,,OriginalRFECA (only available)
MYBL2,,,,0.16553030224594267,,,,0.12886667214602293,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.16553030224594267,,,,,OriginalRFECA (only available)
