mechanism,missing_rate,rate_pct,Mean_rmse_mean,Mean_rmse_std,Mean_rmse_ci_low,Mean_rmse_ci_high,Mean_rmse_n,Mean_mae_mean,Mean_mae_std,Mean_mae_ci_low,Mean_mae_ci_high,Mean_mae_n,Mean_rv_mean,Mean_rv_std,Mean_rv_ci_low,Mean_rv_ci_high,Mean_rv_n,KNN_rmse_mean,KNN_rmse_std,KNN_rmse_ci_low,KNN_rmse_ci_high,KNN_rmse_n,KNN_mae_mean,KNN_mae_std,KNN_mae_ci_low,KNN_mae_ci_high,KNN_mae_n,KNN_rv_mean,KNN_rv_std,KNN_rv_ci_low,KNN_rv_ci_high,KNN_rv_n,MissForest_rmse_mean,MissForest_rmse_std,MissForest_rmse_ci_low,MissForest_rmse_ci_high,MissForest_rmse_n,MissForest_mae_mean,MissForest_mae_std,MissForest_mae_ci_low,MissForest_mae_ci_high,MissForest_mae_n,MissForest_rv_mean,MissForest_rv_std,MissForest_rv_ci_low,MissForest_rv_ci_high,MissForest_rv_n,OriginalRFECA_rmse_mean,OriginalRFECA_rmse_std,OriginalRFECA_rmse_ci_low,OriginalRFECA_rmse_ci_high,OriginalRFECA_rmse_n,OriginalRFECA_mae_mean,OriginalRFECA_mae_std,OriginalRFECA_mae_ci_low,OriginalRFECA_mae_ci_high,OriginalRFECA_mae_n,OriginalRFECA_rv_mean,OriginalRFECA_rv_std,OriginalRFECA_rv_ci_low,OriginalRFECA_rv_ci_high,OriginalRFECA_rv_n,rmse_rank_1,rmse_rank_2,rmse_best,rmse_second,rmse_abs_gap_1_vs_2,rmse_pct_gap_1_vs_2,OriginalRFECA_minus_MissForest,OriginalRFECA_minus_Mean,OriginalRFECA_pct_vs_MissForest,OriginalRFECA_pct_vs_Mean,ranking_rmse
MCAR,0.05,5,1.0667378370555554,0.0164695201126553,1.0549562521049447,1.078519422006166,10,0.7510738994345802,0.0089485718027308,0.7446724767969224,0.7574753220722381,10,0.9985714920820682,6.85819222551377e-05,0.9985224315303582,0.998620552633778,10,0.6795133633865713,0.0162343663491611,0.6678999973046411,0.6911267294685015,10,0.4634372099649645,0.0072867039033116,0.4582246160059672,0.4686498039239619,10,0.9994371221355808,4.794530322921138e-05,0.9994028241318068,0.9994714201393546,10,0.6172462402652915,0.01704227414004,0.6050549317657686,0.6294375487648144,10,0.41481543327683,0.007716666110769,0.4092952628834216,0.4203356036702385,10,0.9995316108810928,3.786161458452649e-05,0.9995045263136284,0.999558695448557,10,0.6126294477322902,0.01195094663336397,0.5977903875531877,0.6274685079113927,5,0.40532440028215044,0.007974038388733302,0.3954233238945655,0.41522547666973536,5,,,,,0,OriginalRFECA,MissForest,0.6126294477322902,0.6172462402652915,0.0046167925330012904,0.7479660841703952,-0.0046167925330012904,-0.45410838932326514,0.7479660841703952,42.56982114525064,OriginalRFECA(0.613) < MissForest(0.617) < KNN(0.680) < Mean(1.067)
MCAR,0.1,10,1.0632839529894025,0.0189482951957815,1.049729159164729,1.0768387468140754,10,0.7468316593070492,0.0115441370211732,0.7385734811654813,0.7550898374486171,10,0.996612494297328,0.0001566426297372,0.996500438910376,0.9967245496842798,10,0.6914800654508626,0.0103637924975604,0.6840662549156857,0.6988938759860395,10,0.468996341510552,0.0062145577825949,0.4645507146832189,0.4734419683378851,10,0.9987166407340518,6.830181012165321e-05,0.998667780562491,0.9987655009056126,10,0.6236001728353093,0.0080310636272177,0.6178550960072893,0.6293452496633294,10,0.4167330030561189,0.0051192596144812,0.4130709053374429,0.4203951007747948,10,0.9989516647384128,6.050940845562126e-05,0.998908378915198,0.9989949505616278,10,0.6146483301148795,0.007802960381589046,0.6049596751296501,0.6243369851001089,5,0.4068570536465068,0.0030565786477224125,0.40306180998195157,0.41065229731106206,5,,,,,0,OriginalRFECA,MissForest,0.6146483301148795,0.6236001728353093,0.008951842720429815,1.435509980654538,-0.008951842720429815,-0.44863562287452297,1.435509980654538,42.19339731528841,OriginalRFECA(0.615) < MissForest(0.624) < KNN(0.691) < Mean(1.063)
MCAR,0.2,20,1.0675325388276042,0.008749597363729,1.061273453928998,1.0737916237262106,10,0.7506195095902716,0.0060874037471188,0.7462648432803384,0.7549741759002048,10,0.9903330879887284,0.0004898418411273,0.9899826762448448,0.9906834997326124,10,0.7095707550674925,0.0092240975475948,0.7029722331854734,0.7161692769495115,10,0.481820413678923,0.0047768700940189,0.4784032466682418,0.4852375806896042,10,0.9969743661175772,0.0001631316744862,0.9968576687476508,0.9970910634875034,10,0.6371393598958995,0.0096680265450802,0.6302232703397687,0.6440554494520304,10,0.4259799108337049,0.0042537088509788,0.4229369908311687,0.4290228308362412,10,0.9976544752451604,0.0001169126960694,0.9975708409406314,0.9977381095496892,10,0.6142628969911292,0.0047068809486148985,0.6084185323734029,0.6201072616088555,5,0.4055136691507458,0.0023262797757009467,0.4026252113035084,0.40840212699798323,5,,,,,0,OriginalRFECA,MissForest,0.6142628969911292,0.6371393598958995,0.0228764629047703,3.590495948721175,-0.0228764629047703,-0.453269641836475,3.590495948721175,42.45956215388704,OriginalRFECA(0.614) < MissForest(0.637) < KNN(0.710) < Mean(1.068)
MCAR,0.3,30,1.068808469877248,0.0076304938010607,1.0633499434406928,1.0742669963138032,10,0.7538805993199806,0.0039173622643869,0.7510782871709626,0.7566829114689987,10,0.9795621827478052,0.0004570468563186,0.9792352311227854,0.9798891343728248,10,0.7335889223533446,0.0068566647650171,0.7286839598617638,0.7384938848449254,10,0.4992099225485283,0.0028687272704885,0.497157758684238,0.5012620864128187,10,0.9945285305584186,0.0002255437714966,0.9943671862638798,0.9946898748529576,10,0.6532032377531888,0.0041665588846812,0.6502226610808985,0.656183814425479,10,0.4367002987725761,0.0026427261474583,0.4348098063724024,0.4385907911727497,10,0.9958367736412236,0.0001208100768061,0.9957503513184696,0.9959231959639778,10,0.621264192718725,0.004157016009394264,0.6161025755999034,0.6264258098375466,5,0.4094874433077754,0.002449502730072561,0.4064459839543425,0.41252890266120834,5,,,,,0,OriginalRFECA,MissForest,0.621264192718725,0.6532032377531888,0.031939045034463764,4.889602988546706,-0.031939045034463764,-0.44754427715852296,4.889602988546706,41.873197094884844,OriginalRFECA(0.621) < MissForest(0.653) < KNN(0.734) < Mean(1.069)
MAR,0.05,5,1.1688933346254948,0.0135932810470963,1.1591692871536543,1.1786173820973354,10,0.8278765175265456,0.0081412512414582,0.8220526172277262,0.833700417825365,10,0.997764744198776,0.0001430072589325,0.9976624429684948,0.9978670454290576,10,0.699695891558898,0.0094473519852428,0.6929376630731189,0.7064541200446771,10,0.4776743392176844,0.0053713692586287,0.4738318931240058,0.481516785311363,10,0.9993058780812966,4.5788949755465086e-05,0.999273122639872,0.9993386335227212,10,0.6290763935180603,0.0089534777094613,0.6226714614061427,0.6354813256299779,10,0.4260548307267256,0.0041134973218632,0.4231122120098389,0.4289974494436123,10,0.9994367754978134,3.891124137315224e-05,0.9994089400725772,0.9994646109230496,10,0.6414245784651376,0.014923752031649173,0.6228942928493185,0.6599548640809566,5,0.42075778551592996,0.005661247661414128,0.4137284181098368,0.42778715292202313,5,,,,,0,MissForest,OriginalRFECA,0.6290763935180603,0.6414245784651376,0.012348184947077234,1.925118768698443,0.012348184947077234,-0.5274687561603573,-1.9629070609407198,45.125482414471506,MissForest(0.629) < OriginalRFECA(0.641) < KNN(0.700) < Mean(1.169)
MAR,0.1,10,1.1602141435329831,0.0105336394548158,1.1526788318039756,1.1677494552619907,10,0.8191159791076407,0.0086292289342679,0.8129430005963102,0.8252889576189711,10,0.9942925728728254,0.0002598746503197,0.9941066697470324,0.9944784759986184,10,0.7098662056262381,0.0074867900623187,0.7045104786516059,0.7152219326008704,10,0.4831015859416337,0.0045693723049712,0.4798328539073215,0.486370317975946,10,0.9984620111159136,8.981997458639289e-05,0.9983977577767992,0.9985262644550282,10,0.6427895028879883,0.0073955992662234,0.6374990098791038,0.6480799958968728,10,0.4306833769894324,0.0051900840075087,0.4269706145520931,0.4343961394267716,10,0.998757066163964,7.141456147274658e-05,0.9987059792642276,0.9988081530637004,10,0.6388336206778935,0.011371817639613528,0.6247136441206469,0.6529535972351401,5,0.41848359431686183,0.005504985287477346,0.4116482522747598,0.42531893635896384,5,,,,,0,OriginalRFECA,MissForest,0.6388336206778935,0.6427895028879883,0.003955882210094797,0.6154242084417088,-0.003955882210094797,-0.5213805228550896,0.6154242084417088,44.93830089568009,OriginalRFECA(0.639) < MissForest(0.643) < KNN(0.710) < Mean(1.160)
MAR,0.2,20,1.1491114075405715,0.0085308416258411,1.143008811069784,1.155214004011359,10,0.811289192301281,0.0049306168471537,0.8077620414889743,0.8148163431135877,10,0.9830501684053312,0.0005705152703977,0.9826420463666904,0.983458290443972,10,0.7507455341014431,0.0127468980543362,0.7416269525485696,0.7598641156543166,10,0.5089724819832424,0.0061903890805883,0.5045441444037981,0.5134008195626867,10,0.9961800963159358,0.0002790256851431,0.9959804933651256,0.9963796992667462,10,0.6721495670652327,0.0092166956372126,0.6655563401909229,0.6787427939395424,10,0.4452976071383976,0.0042721855108538,0.4422414697296206,0.4483537445471747,10,0.9971128483385948,0.0001772260532975,0.9969860684574504,0.9972396282197392,10,0.6397229901203969,0.005241512670961932,0.6332147925407347,0.6462311877000592,5,0.4192777664355106,0.0022342368501890443,0.4165035949751707,0.42205193789585055,5,,,,,0,OriginalRFECA,MissForest,0.6397229901203969,0.6721495670652327,0.03242657694483575,4.824309727136776,-0.03242657694483575,-0.5093884174201746,4.824309727136776,44.32889744871754,OriginalRFECA(0.640) < MissForest(0.672) < KNN(0.751) < Mean(1.149)
MAR,0.3,30,1.143003217234177,0.0079236549915709,1.137334975915428,1.1486714585529263,10,0.8029062803284972,0.0045499475350507,0.7996514439374944,0.8061611167195,10,0.966421453522794,0.0010114281626663,0.9656979214017374,0.9671449856438504,10,0.856710260394444,0.0224566870704252,0.8406457142133932,0.8727748065754948,10,0.575010695042496,0.011255025036475,0.5669593351557809,0.5830620549292111,10,0.9924434633760824,0.0007322973225379,0.9919196094291812,0.9929673173229838,10,0.7052613170597014,0.0109290420958672,0.6974431513207786,0.7130794827986242,10,0.4650253873684155,0.0048173696828935,0.4615792486971438,0.4684715260396871,10,0.9950398714454506,0.000369987342359,0.9947751984449724,0.9953045444459288,10,0.6394937412851157,0.0021561704032664855,0.6368165021213872,0.6421709804488442,5,0.4185684976745369,0.0023505010255108674,0.415649965173419,0.4214870301756548,5,,,,,0,OriginalRFECA,MissForest,0.6394937412851157,0.7052613170597014,0.0657675757745857,9.325277621744052,-0.0657675757745857,-0.5035094759490614,9.325277621744052,44.05144870610657,OriginalRFECA(0.639) < MissForest(0.705) < KNN(0.857) < Mean(1.143)
