rank,gene,difficulty,Mean,KNN,MissForest,OriginalRFECA,best
1,NAT1,1.4405727419922052,1.9715971160572765,1.3421316567788009,1.2380035985209927,1.2105585966117511,OriginalRFECA
2,MMP11,1.305863864363845,1.3894554035317277,1.3279711581791929,1.2293498101212985,1.2766790856231605,MissForest
3,ESR1,1.2651932136171942,2.1734083442519037,1.0226450931823772,0.9065727463311358,0.9581466707033595,MissForest
4,MAPT,1.219918936983789,1.5645409734397737,1.1707075095883652,1.0801328754156991,1.0642943894913182,OriginalRFECA
5,SLC39A6,1.1953771813172043,1.6557799564383273,1.146891782062653,1.0175717290316058,0.9612652577362308,OriginalRFECA
6,SFRP1,1.180202650894019,1.679998804360385,1.0865425248358984,0.9551903793949671,0.9990788949848255,MissForest
7,PHGDH,1.0767329162072168,1.355943718971857,1.0506056329368687,0.9630952609773908,0.9372870519427502,OriginalRFECA
8,KRT17,1.055390449400962,1.659143436871301,1.0115458424775374,0.7615169785353816,0.7893555397196279,MissForest
9,CDH3,0.960380340778036,1.2943383704698657,0.8931613230020553,0.8100666611465807,0.8439550084936424,MissForest
10,MLPH,0.9602952284736364,1.7224853397502455,0.7694288994030594,0.686331916768935,0.6629347579723058,OriginalRFECA
