imputer,missing_rate,model,subtype,metric,mean,std,n_rows,mechanism
OriginalRFECA,0.1,EnsembleSoft,LumA,f1,0.9208868831243221,0.015740875784193805,5,mar
OriginalRFECA,0.1,EnsembleSoft,LumA,precision,0.9094998383322649,0.024676822524313666,5,mar
OriginalRFECA,0.1,EnsembleSoft,LumA,recall,0.9342857142857142,0.042678197846541865,5,mar
OriginalRFECA,0.1,EnsembleSoft,LumB,f1,0.8749005172533355,0.02071560092382492,5,mar
OriginalRFECA,0.1,EnsembleSoft,LumB,precision,0.8697647171804477,0.04285768947800129,5,mar
OriginalRFECA,0.1,EnsembleSoft,LumB,recall,0.8821052631578947,0.0344324783869392,5,mar
OriginalRFECA,0.1,EnsembleSoft,Her2,f1,0.7814850789343895,0.031384190886888964,5,mar
OriginalRFECA,0.1,EnsembleSoft,Her2,precision,0.8153347716113674,0.07583471417905265,5,mar
OriginalRFECA,0.1,EnsembleSoft,Her2,recall,0.7584848484848485,0.06827378757913598,5,mar
OriginalRFECA,0.1,EnsembleSoft,Basal,f1,0.9171406110608622,0.04689148279507324,5,mar
OriginalRFECA,0.1,EnsembleSoft,Basal,precision,0.9543096262895402,0.036011578504872334,5,mar
OriginalRFECA,0.1,EnsembleSoft,Basal,recall,0.8853658536585364,0.07390630035163563,5,mar
OriginalRFECA,0.1,SVC,LumA,f1,0.920704122803001,0.012996546559536302,5,mar
OriginalRFECA,0.1,SVC,LumA,precision,0.9123216890686973,0.03017776066037666,5,mar
OriginalRFECA,0.1,SVC,LumA,recall,0.9314285714285713,0.043330716823151705,5,mar
OriginalRFECA,0.1,SVC,LumB,f1,0.8770299923158114,0.018515562743563158,5,mar
OriginalRFECA,0.1,SVC,LumB,precision,0.8645248069817967,0.043675684335218665,5,mar
OriginalRFECA,0.1,SVC,LumB,recall,0.8926315789473683,0.04170865843401882,5,mar
OriginalRFECA,0.1,SVC,Her2,f1,0.7972158047537568,0.03630364884403891,5,mar
OriginalRFECA,0.1,SVC,Her2,precision,0.8327922754752024,0.07377826834041705,5,mar
OriginalRFECA,0.1,SVC,Her2,recall,0.7676767676767676,0.031685630588602284,5,mar
OriginalRFECA,0.1,SVC,Basal,f1,0.9221497872811989,0.04001743008566818,5,mar
OriginalRFECA,0.1,SVC,Basal,precision,0.9639372822299652,0.0339730188393202,5,mar
OriginalRFECA,0.1,SVC,Basal,recall,0.8853658536585366,0.05897469158494339,5,mar
OriginalRFECA,0.1,LogReg,LumA,f1,0.9194832648516555,0.0230021392517092,5,mar
OriginalRFECA,0.1,LogReg,LumA,precision,0.9129381627853022,0.010493449643436539,5,mar
OriginalRFECA,0.1,LogReg,LumA,recall,0.927142857142857,0.04584801867394635,5,mar
OriginalRFECA,0.1,LogReg,LumB,f1,0.8651648351648353,0.019483304212451362,5,mar
OriginalRFECA,0.1,LogReg,LumB,precision,0.873012442232492,0.02985988131556368,5,mar
OriginalRFECA,0.1,LogReg,LumB,recall,0.8589473684210527,0.03838859479749571,5,mar
OriginalRFECA,0.1,LogReg,Her2,f1,0.7698688742332973,0.022585713834469934,5,mar
OriginalRFECA,0.1,LogReg,Her2,precision,0.7728357994662342,0.07207693049717856,5,mar
