imputer,missing_rate,replicate,rmse_mean,rmse_std,mae_mean,mae_std,folds,total_masked_test_values
SimpleMean,0.05,5,2.2526396080616395,0.46276497615593,1.763545315840556,0.31860458891817345,5,279
"KNN(k=5,dist)",0.05,5,1.845181784429632,0.24463368706136931,1.3173934579989173,0.17326292685889302,5,279
RFECA_SVR(k=5),0.05,5,1.819811595094994,0.21363409500660457,1.297321174529673,0.2691962086940132,5,279
RFECA_SVR(k=10),0.05,5,1.9366498768744442,0.3524531948108176,1.3467866347092945,0.2119115189648206,5,279
RFECA_SVR(k=20),0.05,5,2.1088384619537655,0.42077631905788,1.509535760271542,0.3340635171090154,5,279
SimpleMean,0.05,6,2.621831704632705,0.47416816194188943,1.9458397028716063,0.37423970255566313,5,280
"KNN(k=5,dist)",0.05,6,1.8619042009397906,0.37004576621682983,1.2976837053203467,0.2890475198566119,5,280
RFECA_SVR(k=5),0.05,6,1.8133283089466068,0.4527235852955271,1.2560786088567397,0.31263506391614465,5,280
RFECA_SVR(k=10),0.05,6,2.065855738542974,0.4784234652046996,1.3521329979234153,0.2687609001349908,5,280
RFECA_SVR(k=20),0.05,6,2.2694825639152283,0.6484674053476335,1.5854217225151113,0.3421239936289669,5,280
SimpleMean,0.05,7,2.4292847859482953,0.1960815588051867,1.8199243162634513,0.12822459670953018,5,279
"KNN(k=5,dist)",0.05,7,1.7446404493703334,0.11953843820190113,1.2374056492708032,0.05296257595545983,5,279
RFECA_SVR(k=5),0.05,7,1.6624896502408866,0.16627462499860382,1.1821324842884537,0.12782242174655092,5,279
RFECA_SVR(k=10),0.05,7,1.8196595510557323,0.19182323704753704,1.307238107877645,0.13305429719052989,5,279
RFECA_SVR(k=20),0.05,7,2.032827762359218,0.3089610169248003,1.4816715764251829,0.16699561059954365,5,279
SimpleMean,0.05,8,3.079892248558163,0.28827659846949505,2.196335079037034,0.16159464327376633,5,294
"KNN(k=5,dist)",0.05,8,2.207415634875834,0.22612372938688874,1.5104215189903183,0.07630509935199539,5,294
RFECA_SVR(k=5),0.05,8,1.9222772587663477,0.2599001869425721,1.320821986761963,0.14109307913701466,5,294
RFECA_SVR(k=10),0.05,8,1.9906937024540923,0.4120923575116677,1.3319045406682055,0.18024289895490325,5,294
RFECA_SVR(k=20),0.05,8,2.258834682991342,0.45337436493900185,1.6188133771412374,0.17817990140759174,5,294
SimpleMean,0.05,9,2.6064450044796184,0.3736709044760757,1.9736933517900652,0.314966224926676,5,291
