imputer,missing_rate,replicate,fold,rmse,mae,n_masked_test_values
SimpleMean,0.05,8,3,3.4594026082744813,2.4057105969599353,52
SimpleMean,0.05,8,4,2.659339609290302,2.0360648382013236,52
SimpleMean,0.05,8,5,3.1783433518827153,2.072962538593793,67
"KNN(k=5,dist)",0.05,8,1,1.9740758283124469,1.4387498854999283,69
"KNN(k=5,dist)",0.05,8,2,2.094923013390183,1.6051417058424613,54
"KNN(k=5,dist)",0.05,8,3,2.504791339745263,1.56646271137641,52
"KNN(k=5,dist)",0.05,8,4,2.077016424709589,1.432713006885437,52
"KNN(k=5,dist)",0.05,8,5,2.3862715682216873,1.509040285347355,67
RFECA_SVR(k=5),0.05,8,1,2.167248018379952,1.550698567092344,69
RFECA_SVR(k=5),0.05,8,2,1.8049333727699277,1.300802510089872,54
RFECA_SVR(k=5),0.05,8,3,1.877127654560618,1.3151079933274024,52
RFECA_SVR(k=5),0.05,8,4,1.5720301846127558,1.1662378053400293,52
RFECA_SVR(k=5),0.05,8,5,2.190047063508486,1.2712630579601674,67
RFECA_SVR(k=10),0.05,8,1,2.2277535790721283,1.4871217323745285,69
RFECA_SVR(k=10),0.05,8,2,1.6423669645926469,1.1905509285810425,54
RFECA_SVR(k=10),0.05,8,3,2.3085352012733606,1.487885750502347,52
RFECA_SVR(k=10),0.05,8,4,1.4518654646641336,1.0934845463351706,52
RFECA_SVR(k=10),0.05,8,5,2.322947302668192,1.4004797455479385,67
RFECA_SVR(k=20),0.05,8,1,2.0295881778769704,1.524513456985442,69
RFECA_SVR(k=20),0.05,8,2,2.0834614664031657,1.4869008773042847,54
RFECA_SVR(k=20),0.05,8,3,2.316699618599769,1.8373718548659062,52
RFECA_SVR(k=20),0.05,8,4,1.8510856946379444,1.4600029803268144,52
RFECA_SVR(k=20),0.05,8,5,3.013338457438859,1.7852777162237388,67
SimpleMean,0.05,9,1,2.3504555778309375,1.686986510566901,64
SimpleMean,0.05,9,2,2.691764463410834,1.9392465364934859,49
SimpleMean,0.05,9,3,2.175736936185842,1.7396574491312657,62
SimpleMean,0.05,9,4,3.151441791076327,2.4799111490812438,54
SimpleMean,0.05,9,5,2.6628262538941505,2.022665113677429,62
"KNN(k=5,dist)",0.05,9,1,1.9786462589274616,1.2445849433973721,64
"KNN(k=5,dist)",0.05,9,2,2.120412581286589,1.3911547073707857,49
"KNN(k=5,dist)",0.05,9,3,1.756557269645081,1.3009340547559507,62
"KNN(k=5,dist)",0.05,9,4,1.7816768630143631,1.257889323807515,54
"KNN(k=5,dist)",0.05,9,5,1.6010927906199308,1.1404726602993012,62
RFECA_SVR(k=5),0.05,9,1,1.776372700620762,1.22125616970983,64
RFECA_SVR(k=5),0.05,9,2,2.1856812480554995,1.587987913471077,49
RFECA_SVR(k=5),0.05,9,3,2.012047139190324,1.2911194348144461,62
RFECA_SVR(k=5),0.05,9,4,2.034753091717482,1.3653187213888973,54
RFECA_SVR(k=5),0.05,9,5,1.8121603950558953,1.2734920203409619,62
RFECA_SVR(k=10),0.05,9,1,2.2058597751196443,1.415244050550924,64
RFECA_SVR(k=10),0.05,9,2,1.7546454163775032,1.3339325696147974,49
RFECA_SVR(k=10),0.05,9,3,1.9266110217539676,1.303631391296597,62
RFECA_SVR(k=10),0.05,9,4,1.9259541033175511,1.2898270361795245,54
RFECA_SVR(k=10),0.05,9,5,1.9886369009498286,1.2651622593490919,62
RFECA_SVR(k=20),0.05,9,1,2.240167812920532,1.5398441960152471,64
RFECA_SVR(k=20),0.05,9,2,2.430362450639529,1.7615413679637546,49
RFECA_SVR(k=20),0.05,9,3,2.0150716282352144,1.4767997853912174,62
RFECA_SVR(k=20),0.05,9,4,2.0919521966588386,1.3621354412444209,54
RFECA_SVR(k=20),0.05,9,5,2.1791243527295188,1.5543453118423551,62
SimpleMean,0.1,0,1,2.601511092243525,1.947904250437934,120
SimpleMean,0.1,0,2,2.6248058615707914,1.9735934467898701,112
SimpleMean,0.1,0,3,2.2140056980268983,1.6312901862584854,112
SimpleMean,0.1,0,4,2.8626766753358273,2.217106395256637,97
SimpleMean,0.1,0,5,2.1342778631134243,1.6612848679016308,121
"KNN(k=5,dist)",0.1,0,1,1.689297797665144,1.2456385813884276,120
"KNN(k=5,dist)",0.1,0,2,2.032384925445863,1.3876103426630022,112
"KNN(k=5,dist)",0.1,0,3,1.8672447027713508,1.2284602726114435,112
"KNN(k=5,dist)",0.1,0,4,1.8816094379869417,1.4371358733800645,97
"KNN(k=5,dist)",0.1,0,5,1.8750281972692282,1.2249149209139145,121
RFECA_SVR(k=5),0.1,0,1,1.6518807246137954,1.1741701672899743,120
RFECA_SVR(k=5),0.1,0,2,1.7784584285374139,1.2425741733490738,112
RFECA_SVR(k=5),0.1,0,3,1.920160813343857,1.327895099138043,112
RFECA_SVR(k=5),0.1,0,4,1.808777215957066,1.3092984545298183,97
RFECA_SVR(k=5),0.1,0,5,1.791796590808557,1.197944310565545,121
RFECA_SVR(k=10),0.1,0,1,1.8098317702545592,1.277142270589149,120
RFECA_SVR(k=10),0.1,0,2,2.133544608547432,1.4589967015287049,112
RFECA_SVR(k=10),0.1,0,3,2.087702916017775,1.4132782878121708,112
RFECA_SVR(k=10),0.1,0,4,2.0962353705778978,1.4543796008635008,97
RFECA_SVR(k=10),0.1,0,5,2.188820626856909,1.431217108374527,121
RFECA_SVR(k=20),0.1,0,1,1.7606022583787095,1.2997188401312059,120
RFECA_SVR(k=20),0.1,0,2,2.3850968935952803,1.665765254287113,112
RFECA_SVR(k=20),0.1,0,3,2.1213040618203944,1.5257880170642022,112
RFECA_SVR(k=20),0.1,0,4,2.4946047359176307,1.803351185619274,97
RFECA_SVR(k=20),0.1,0,5,2.144953866568509,1.5253374945734957,121
SimpleMean,0.1,1,1,2.8475492365950927,2.086251475336724,118
SimpleMean,0.1,1,2,3.0629004616720654,2.341488020280224,129
SimpleMean,0.1,1,3,2.8744367323781064,2.0049709422320423,108
SimpleMean,0.1,1,4,2.554840165678724,2.0072603361354533,117
SimpleMean,0.1,1,5,2.3580474907772064,1.7633364101657625,109
"KNN(k=5,dist)",0.1,1,1,2.0602669949244268,1.4375379063186593,118
"KNN(k=5,dist)",0.1,1,2,2.372057146434941,1.7020730691341626,129
"KNN(k=5,dist)",0.1,1,3,1.9942942475440102,1.3519643268579629,108
"KNN(k=5,dist)",0.1,1,4,1.992281929062477,1.404408515053716,117
"KNN(k=5,dist)",0.1,1,5,1.7079031897140462,1.2353711095318527,109
RFECA_SVR(k=5),0.1,1,1,1.8659256208344974,1.3139129249943295,118
RFECA_SVR(k=5),0.1,1,2,2.3035166262251265,1.6155797556207419,129
RFECA_SVR(k=5),0.1,1,3,1.7206903525569437,1.2181560842737351,108
RFECA_SVR(k=5),0.1,1,4,1.820043965339474,1.3210643702589362,117
RFECA_SVR(k=5),0.1,1,5,1.690302528643222,1.1621375447511726,109
RFECA_SVR(k=10),0.1,1,1,2.1958928951375745,1.444715533609449,118
RFECA_SVR(k=10),0.1,1,2,2.5271725054634175,1.6783376346238819,129
RFECA_SVR(k=10),0.1,1,3,2.0463493805975546,1.3504189529469328,108
RFECA_SVR(k=10),0.1,1,4,2.0257672488206047,1.467170966404496,117
RFECA_SVR(k=10),0.1,1,5,1.780764244363833,1.2515268762430227,109
RFECA_SVR(k=20),0.1,1,1,2.4447186414139654,1.780876447748826,118
RFECA_SVR(k=20),0.1,1,2,3.021975121199085,1.9874389896360198,129
RFECA_SVR(k=20),0.1,1,3,2.176536507602006,1.5332345551156832,108
RFECA_SVR(k=20),0.1,1,4,2.321123427054904,1.733485758963939,117
RFECA_SVR(k=20),0.1,1,5,1.887958338095452,1.4231985221845467,109
SimpleMean,0.1,2,1,2.13310974236601,1.599040805617826,129
SimpleMean,0.1,2,2,2.809491266987853,1.960009391461847,103
SimpleMean,0.1,2,3,2.574728750715378,1.9102833145609857,110
SimpleMean,0.1,2,4,2.703089685843729,2.0985972921127334,100
SimpleMean,0.1,2,5,2.8111597548057317,2.0825685284881374,122
"KNN(k=5,dist)",0.1,2,1,1.9050803763110455,1.3127194733564982,129
"KNN(k=5,dist)",0.1,2,2,2.1977022177125023,1.4555615158489466,103
"KNN(k=5,dist)",0.1,2,3,1.6994163768679436,1.1944554133309113,110
"KNN(k=5,dist)",0.1,2,4,1.9025642407524264,1.3555391328633815,100
"KNN(k=5,dist)",0.1,2,5,1.7638008537783074,1.346074311482798,122
RFECA_SVR(k=5),0.1,2,1,1.780332319641194,1.2524333124822224,129
RFECA_SVR(k=5),0.1,2,2,2.0875875137666466,1.4384529773265453,103
RFECA_SVR(k=5),0.1,2,3,1.615654690450869,1.1051386190046422,110
RFECA_SVR(k=5),0.1,2,4,1.9401000351630635,1.3972977271353952,100
RFECA_SVR(k=5),0.1,2,5,2.0127405735719512,1.4398138938642953,122
RFECA_SVR(k=10),0.1,2,1,1.852738858343494,1.3459963398659336,129
RFECA_SVR(k=10),0.1,2,2,2.2471812322434794,1.5334076388192548,103
RFECA_SVR(k=10),0.1,2,3,1.7817687402929299,1.2890580263639133,110
RFECA_SVR(k=10),0.1,2,4,2.103875627169279,1.5391830608040278,100
RFECA_SVR(k=10),0.1,2,5,2.115528910987383,1.4365892735161014,122
RFECA_SVR(k=20),0.1,2,1,1.8777954091826499,1.3917908562209875,129
RFECA_SVR(k=20),0.1,2,2,2.7851487150076526,1.9593846029864392,103
RFECA_SVR(k=20),0.1,2,3,2.1293920642371686,1.5310536810197988,110
RFECA_SVR(k=20),0.1,2,4,2.0676174761034978,1.5246263177445472,100
RFECA_SVR(k=20),0.1,2,5,2.5520684943500673,1.7514077183546715,122
SimpleMean,0.1,3,1,3.083816147731845,2.192441138663616,113
SimpleMean,0.1,3,2,3.1122908779879728,2.299009034957803,122
SimpleMean,0.1,3,3,3.037030275547894,2.0630813838294126,110
SimpleMean,0.1,3,4,2.735439768496728,2.0957822945965696,118
SimpleMean,0.1,3,5,3.0160176627692814,2.0320270812980326,127
"KNN(k=5,dist)",0.1,3,1,2.3373940371250574,1.6354507877715003,113
"KNN(k=5,dist)",0.1,3,2,2.155471520128902,1.5745476812769892,122
"KNN(k=5,dist)",0.1,3,3,2.2355454749181574,1.4412737846066264,110
"KNN(k=5,dist)",0.1,3,4,2.0651216428341113,1.4463719751895399,118
"KNN(k=5,dist)",0.1,3,5,2.1372943768763233,1.3877626292047271,127
RFECA_SVR(k=5),0.1,3,1,2.0729302238013085,1.5815483668301507,113
RFECA_SVR(k=5),0.1,3,2,1.9858736805366342,1.4168147937998028,122
RFECA_SVR(k=5),0.1,3,3,1.7158129571225154,1.216715301263913,110
RFECA_SVR(k=5),0.1,3,4,1.6618998314348483,1.2292649101868574,118
RFECA_SVR(k=5),0.1,3,5,2.2087113365232276,1.357269414505397,127
RFECA_SVR(k=10),0.1,3,1,2.1308807913306143,1.5720613012265985,113
RFECA_SVR(k=10),0.1,3,2,2.153192553412758,1.4771723545176199,122
RFECA_SVR(k=10),0.1,3,3,1.8686614897396963,1.2866387999689015,110
RFECA_SVR(k=10),0.1,3,4,1.880548303662889,1.4265447769537654,118
RFECA_SVR(k=10),0.1,3,5,2.183605252429229,1.3744504861164277,127
RFECA_SVR(k=20),0.1,3,1,2.2533150444991583,1.7421914199435689,113
RFECA_SVR(k=20),0.1,3,2,2.4892328663137855,1.7882868430587386,122
RFECA_SVR(k=20),0.1,3,3,2.122047220210328,1.6375630131052161,110
RFECA_SVR(k=20),0.1,3,4,2.1276558584600855,1.68923391038206,118
RFECA_SVR(k=20),0.1,3,5,3.2733429072302673,1.8757829554598462,127
SimpleMean,0.1,4,1,2.4543101656684807,1.7649765165312976,128
SimpleMean,0.1,4,2,2.9774673568921814,2.1307693653393796,112
SimpleMean,0.1,4,3,2.1318016191032485,1.73353097619398,117
SimpleMean,0.1,4,4,3.1216455418366684,2.380753828656954,109
SimpleMean,0.1,4,5,2.6953180228468057,2.102883119086038,124
"KNN(k=5,dist)",0.1,4,1,2.042211059719152,1.402211174259861,128
"KNN(k=5,dist)",0.1,4,2,2.0483898142306463,1.3554260194957581,112
"KNN(k=5,dist)",0.1,4,3,1.646394290629793,1.2972243614734311,117
"KNN(k=5,dist)",0.1,4,4,1.948674197685635,1.476064378953228,109
"KNN(k=5,dist)",0.1,4,5,1.9540532420863346,1.3539988464304071,124
RFECA_SVR(k=5),0.1,4,1,1.989787743015686,1.38707696529806,128
RFECA_SVR(k=5),0.1,4,2,2.298290546400951,1.4986119289149376,112
RFECA_SVR(k=5),0.1,4,3,1.8147420667000962,1.2739800287700542,117
RFECA_SVR(k=5),0.1,4,4,1.960837553288163,1.3580353476582985,109
RFECA_SVR(k=5),0.1,4,5,1.9887901074680125,1.3477376265180245,124
RFECA_SVR(k=10),0.1,4,1,2.136481692634639,1.442599001791447,128
RFECA_SVR(k=10),0.1,4,2,1.970195478385889,1.3977090802512824,112
RFECA_SVR(k=10),0.1,4,3,2.033468494831313,1.4671020264939023,117
RFECA_SVR(k=10),0.1,4,4,2.0257367492530336,1.4017649448026026,109
RFECA_SVR(k=10),0.1,4,5,2.046180682311303,1.3828478325759255,124
RFECA_SVR(k=20),0.1,4,1,2.3603314266583033,1.6781525047568713,128
RFECA_SVR(k=20),0.1,4,2,3.060877271036661,1.9733008651160682,112
RFECA_SVR(k=20),0.1,4,3,2.1073838834975405,1.5639424065079515,117
RFECA_SVR(k=20),0.1,4,4,2.45947498346493,1.7116436573761018,109
RFECA_SVR(k=20),0.1,4,5,2.1689577369874944,1.5766077774622334,124
SimpleMean,0.1,5,1,2.7110610985781176,1.958548899739664,125
SimpleMean,0.1,5,2,2.7484155057066877,2.199156602045423,132
SimpleMean,0.1,5,3,2.7432804974106766,2.0675843212584213,128
SimpleMean,0.1,5,4,2.6433446278777124,2.0439212973683976,86
SimpleMean,0.1,5,5,3.075508261724348,2.168179241023183,109
"KNN(k=5,dist)",0.1,5,1,1.9659395614584612,1.4801226899638429,125
"KNN(k=5,dist)",0.1,5,2,1.8827970223917525,1.328527397314384,132
"KNN(k=5,dist)",0.1,5,3,1.8172757014419465,1.283357001561603,128
"KNN(k=5,dist)",0.1,5,4,1.7313701079183859,1.2292368722921558,86
"KNN(k=5,dist)",0.1,5,5,1.9120292231669624,1.3000988224741379,109
RFECA_SVR(k=5),0.1,5,1,2.0838768067927718,1.3995379262853826,125
RFECA_SVR(k=5),0.1,5,2,2.064189257199167,1.4254397882316352,132
RFECA_SVR(k=5),0.1,5,3,1.8306411984442843,1.2224341657069384,128
RFECA_SVR(k=5),0.1,5,4,1.581005332060601,1.1173120218876922,86
RFECA_SVR(k=5),0.1,5,5,1.9940052527807468,1.4076575245775436,109
RFECA_SVR(k=10),0.1,5,1,2.0716333929976916,1.4789795424281433,125
RFECA_SVR(k=10),0.1,5,2,2.0739733122542785,1.4308836577524864,132
RFECA_SVR(k=10),0.1,5,3,2.0612635514200486,1.2891673260463097,128
RFECA_SVR(k=10),0.1,5,4,1.744591116614474,1.2651534259674846,86
RFECA_SVR(k=10),0.1,5,5,1.9997081489463493,1.398314524958052,109
RFECA_SVR(k=20),0.1,5,1,2.174356189021515,1.5076656582082768,125
RFECA_SVR(k=20),0.1,5,2,2.287063455294163,1.542997640680136,132
RFECA_SVR(k=20),0.1,5,3,2.4252294089835638,1.6568178083780989,128
RFECA_SVR(k=20),0.1,5,4,1.8503461133587396,1.350480894178745,86
RFECA_SVR(k=20),0.1,5,5,2.501767241182333,1.6352583328661103,109
SimpleMean,0.1,6,1,2.9817351493277067,2.1413628849709228,128
SimpleMean,0.1,6,2,2.9785074603102135,2.129373660850598,133
SimpleMean,0.1,6,3,2.889370673070773,2.031486890215183,106
SimpleMean,0.1,6,4,2.987470904357945,2.371837859211503,97
SimpleMean,0.1,6,5,3.0768855414743563,2.2971178842454334,101
"KNN(k=5,dist)",0.1,6,1,2.2691729919715504,1.5517589642150178,128
"KNN(k=5,dist)",0.1,6,2,2.2756105440075247,1.512470282434013,133
"KNN(k=5,dist)",0.1,6,3,2.483940159439161,1.4965092151559427,106
"KNN(k=5,dist)",0.1,6,4,2.0865631588988935,1.4653607548795409,97
"KNN(k=5,dist)",0.1,6,5,2.059999059457763,1.4099859058650464,101
RFECA_SVR(k=5),0.1,6,1,2.2653232870572526,1.5059919056913922,128
RFECA_SVR(k=5),0.1,6,2,2.182287400341268,1.469541404074932,133
RFECA_SVR(k=5),0.1,6,3,2.210722259747814,1.412340171764974,106
RFECA_SVR(k=5),0.1,6,4,2.1587455617231672,1.4977505007559466,97
RFECA_SVR(k=5),0.1,6,5,1.9197234318031995,1.4277413574398758,101
RFECA_SVR(k=10),0.1,6,1,2.2520377823613744,1.5150955635455805,128
RFECA_SVR(k=10),0.1,6,2,2.2657807677391664,1.4988663611165596,133
RFECA_SVR(k=10),0.1,6,3,2.131449775429758,1.3703498623909007,106
RFECA_SVR(k=10),0.1,6,4,1.8287701064657298,1.3787200853519035,97
RFECA_SVR(k=10),0.1,6,5,2.019599132412964,1.4198255441429535,101
RFECA_SVR(k=20),0.1,6,1,2.447842794094585,1.7200615323350386,128
RFECA_SVR(k=20),0.1,6,2,2.738651742453915,1.7779023062021986,133
RFECA_SVR(k=20),0.1,6,3,2.3187079821312473,1.519470412491171,106
RFECA_SVR(k=20),0.1,6,4,2.277505290556628,1.6014886450433004,97
RFECA_SVR(k=20),0.1,6,5,2.4591978426741856,1.8132612021323236,101
SimpleMean,0.1,7,1,2.785241419112032,2.0913464680462903,123
SimpleMean,0.1,7,2,3.7105885386200788,2.66612388234867,130
SimpleMean,0.1,7,3,3.0476301606064253,2.158513223908424,104
SimpleMean,0.1,7,4,3.167930656333659,2.3551247213492115,106
SimpleMean,0.1,7,5,2.5434008739035185,1.9513616979581478,114
"KNN(k=5,dist)",0.1,7,1,1.9675169284432887,1.4505656032628296,123
"KNN(k=5,dist)",0.1,7,2,2.6938629965735674,1.805101148198036,130
"KNN(k=5,dist)",0.1,7,3,2.145195897231376,1.4135936842400756,104
"KNN(k=5,dist)",0.1,7,4,2.025773257460232,1.4165452242941332,106
"KNN(k=5,dist)",0.1,7,5,1.8006438501882478,1.28974205127193,114
RFECA_SVR(k=5),0.1,7,1,1.9376095172217305,1.3219610480075947,123
RFECA_SVR(k=5),0.1,7,2,2.738226683360872,1.799024160298052,130
RFECA_SVR(k=5),0.1,7,3,2.220106502712683,1.455483344355857,104
RFECA_SVR(k=5),0.1,7,4,1.614218404869179,1.1435784736703547,106
RFECA_SVR(k=5),0.1,7,5,2.398352562661854,1.6540485258841182,114
RFECA_SVR(k=10),0.1,7,1,1.9105384569747192,1.3974937258185187,123
RFECA_SVR(k=10),0.1,7,2,2.6180457938037796,1.7470638073347031,130
RFECA_SVR(k=10),0.1,7,3,2.3505227994297395,1.6380245327357519,104
RFECA_SVR(k=10),0.1,7,4,1.999934994340541,1.3511977564484934,106
RFECA_SVR(k=10),0.1,7,5,2.4364221508109667,1.6547511519660965,114
RFECA_SVR(k=20),0.1,7,1,2.305395932115935,1.6260976120380202,123
RFECA_SVR(k=20),0.1,7,2,3.253847080636021,2.2457832801094813,130
RFECA_SVR(k=20),0.1,7,3,2.7140880944679244,1.79454797192575,104
RFECA_SVR(k=20),0.1,7,4,2.448070100074776,1.7364129480742865,106
RFECA_SVR(k=20),0.1,7,5,2.684544686122294,1.9333699683663763,114
SimpleMean,0.1,8,1,3.0698210765514147,2.288015147916206,113
SimpleMean,0.1,8,2,2.8084202915605263,2.100581999919799,110
SimpleMean,0.1,8,3,2.9827677410645035,2.235742625529786,129
SimpleMean,0.1,8,4,2.561484981472685,1.996092485288749,114
SimpleMean,0.1,8,5,3.1318803672810387,2.2488439601590424,96
"KNN(k=5,dist)",0.1,8,1,2.2543391647853572,1.578890768126986,113
"KNN(k=5,dist)",0.1,8,2,2.147400131761622,1.3957487514907332,110
"KNN(k=5,dist)",0.1,8,3,1.9594631970442375,1.3717093360391257,129
"KNN(k=5,dist)",0.1,8,4,1.81814332252342,1.4151345777814448,114
"KNN(k=5,dist)",0.1,8,5,2.623367331100092,1.6656183365791029,96
RFECA_SVR(k=5),0.1,8,1,1.9355390276886324,1.4245213896454156,113
RFECA_SVR(k=5),0.1,8,2,1.9288278289382823,1.3684476721451373,110
RFECA_SVR(k=5),0.1,8,3,2.139589377544066,1.4629539917976622,129
RFECA_SVR(k=5),0.1,8,4,1.9031395503771724,1.414678881397827,114
RFECA_SVR(k=5),0.1,8,5,2.542144705261915,1.5175048921365135,96
RFECA_SVR(k=10),0.1,8,1,2.3809561833876605,1.6374533874811454,113
RFECA_SVR(k=10),0.1,8,2,2.1544014054004017,1.5261403708478725,110
RFECA_SVR(k=10),0.1,8,3,2.0878030498530977,1.4233422297635845,129
RFECA_SVR(k=10),0.1,8,4,2.2741637197819045,1.7007234172349486,114
RFECA_SVR(k=10),0.1,8,5,2.751109495312073,1.7453083161395322,96
RFECA_SVR(k=20),0.1,8,1,2.172890763051879,1.6163729766165944,113
RFECA_SVR(k=20),0.1,8,2,2.391240342272166,1.7802427557016325,110
RFECA_SVR(k=20),0.1,8,3,2.3379580010270407,1.7005694778061295,129
RFECA_SVR(k=20),0.1,8,4,2.51436491122021,1.8671051960861722,114
RFECA_SVR(k=20),0.1,8,5,2.7388817173537032,1.7513344932284227,96
SimpleMean,0.1,9,1,2.9029218899934306,2.281842496904075,110
SimpleMean,0.1,9,2,3.3953926511983354,2.354046297410203,118
SimpleMean,0.1,9,3,2.939075847736274,2.029363304606169,107
SimpleMean,0.1,9,4,2.9891753952077122,2.2546165721379987,117
SimpleMean,0.1,9,5,3.0476302221775793,2.18452573881068,95
"KNN(k=5,dist)",0.1,9,1,2.0520633796428984,1.2946205747593105,110
"KNN(k=5,dist)",0.1,9,2,2.340628038412615,1.584455300978526,118
"KNN(k=5,dist)",0.1,9,3,1.9692242824283752,1.3809492494732885,107
"KNN(k=5,dist)",0.1,9,4,2.0955342471591707,1.3104570795126322,117
"KNN(k=5,dist)",0.1,9,5,2.2774333818605665,1.3334068901194733,95
RFECA_SVR(k=5),0.1,9,1,3.592074709988676,1.8723282352426485,110
RFECA_SVR(k=5),0.1,9,2,2.3189628600605294,1.599111260205115,118
RFECA_SVR(k=5),0.1,9,3,2.2696428098717076,1.4435498690988313,107
RFECA_SVR(k=5),0.1,9,4,1.8974217630638726,1.2464358672238747,117
RFECA_SVR(k=5),0.1,9,5,2.2214469575996705,1.4327545353889386,95
RFECA_SVR(k=10),0.1,9,1,3.1055169000623,1.8937912229797955,110
RFECA_SVR(k=10),0.1,9,2,2.3136548806337975,1.538734403177296,118
RFECA_SVR(k=10),0.1,9,3,2.4276331558766038,1.631556159911699,107
RFECA_SVR(k=10),0.1,9,4,2.098636944462871,1.3517011721455312,117
RFECA_SVR(k=10),0.1,9,5,2.5699220456709977,1.7035707844765386,95
RFECA_SVR(k=20),0.1,9,1,3.3157626727048,1.9642651380769005,110
RFECA_SVR(k=20),0.1,9,2,2.5618262060531825,1.8400402406401206,118
RFECA_SVR(k=20),0.1,9,3,2.5426852943797336,1.793882613137248,107
RFECA_SVR(k=20),0.1,9,4,2.2679212065203225,1.6457082215990222,117
RFECA_SVR(k=20),0.1,9,5,2.5404928577928265,1.798431629834502,95
SimpleMean,0.2,0,1,3.1802157348575304,2.304842394865608,242
SimpleMean,0.2,0,2,2.9905937825760014,2.152033458565612,235
SimpleMean,0.2,0,3,2.730590725379018,1.99300220652768,209
SimpleMean,0.2,0,4,2.8995839605101024,2.1314889098512473,234
SimpleMean,0.2,0,5,2.8183013260078718,2.01406490829764,217
"KNN(k=5,dist)",0.2,0,1,2.402687338038748,1.6469827064176195,242
"KNN(k=5,dist)",0.2,0,2,2.167945839724355,1.4785650518075795,235
"KNN(k=5,dist)",0.2,0,3,2.0850360165961823,1.3519346621071457,209
"KNN(k=5,dist)",0.2,0,4,2.1942256771816244,1.4568133310411657,234
"KNN(k=5,dist)",0.2,0,5,2.332548915699361,1.568864168877912,217
RFECA_SVR(k=5),0.2,0,1,2.781903561772896,1.7015169415438458,242
RFECA_SVR(k=5),0.2,0,2,2.602479612447806,1.5097539280389118,235
RFECA_SVR(k=5),0.2,0,3,2.101294839383713,1.3738969043017455,209
RFECA_SVR(k=5),0.2,0,4,2.150207728847381,1.46556012171463,234
RFECA_SVR(k=5),0.2,0,5,2.1976432545587805,1.4814805360870706,217
RFECA_SVR(k=10),0.2,0,1,2.929792189420322,1.9311786130279491,242
RFECA_SVR(k=10),0.2,0,2,2.8071850673550385,1.8133394191501144,235
RFECA_SVR(k=10),0.2,0,3,2.305326974893342,1.504302785182168,209
RFECA_SVR(k=10),0.2,0,4,2.210487042792339,1.5417048482290598,234
RFECA_SVR(k=10),0.2,0,5,2.399649323719395,1.6748507972436035,217
RFECA_SVR(k=20),0.2,0,1,3.199334841549343,2.1029682205178366,242
RFECA_SVR(k=20),0.2,0,2,2.6645836989288156,1.7887371012766629,235
RFECA_SVR(k=20),0.2,0,3,2.6816915821332663,1.858663194964224,209
RFECA_SVR(k=20),0.2,0,4,2.5182835664718612,1.8278643514666053,234
RFECA_SVR(k=20),0.2,0,5,3.005809114471361,1.951618842502362,217
SimpleMean,0.2,1,1,2.6460685093718146,1.9972244955199672,210
SimpleMean,0.2,1,2,3.415895092576855,2.467132296700723,220
SimpleMean,0.2,1,3,3.2812016171841396,2.3415036096416886,230
SimpleMean,0.2,1,4,2.9099585515215476,2.1766252305501808,228
SimpleMean,0.2,1,5,2.416914267047149,1.8259988566866305,231
"KNN(k=5,dist)",0.2,1,1,2.049249806801537,1.4175541119547017,210
"KNN(k=5,dist)",0.2,1,2,2.341070552670995,1.5539299537352038,220
"KNN(k=5,dist)",0.2,1,3,2.6154907789432853,1.6900107419094856,230
"KNN(k=5,dist)",0.2,1,4,2.3224763760059757,1.529613012362905,228
"KNN(k=5,dist)",0.2,1,5,1.8077192876642154,1.2979568755769377,231
RFECA_SVR(k=5),0.2,1,1,2.1770412862535884,1.4686254331936837,210
RFECA_SVR(k=5),0.2,1,2,2.0723819500739067,1.4783994820101907,220
RFECA_SVR(k=5),0.2,1,3,2.6257056683205304,1.6043477654698002,230
RFECA_SVR(k=5),0.2,1,4,2.08549143870225,1.4623887129571485,228
RFECA_SVR(k=5),0.2,1,5,1.8200729841077592,1.2681984031888656,231
RFECA_SVR(k=10),0.2,1,1,2.4206442792961376,1.567360492631987,210
RFECA_SVR(k=10),0.2,1,2,2.386195457840919,1.6618054307730126,220
RFECA_SVR(k=10),0.2,1,3,2.9565555517530804,1.8710420836043997,230
RFECA_SVR(k=10),0.2,1,4,1.9461894134428146,1.4262481432492353,228
RFECA_SVR(k=10),0.2,1,5,2.024288401065603,1.4401122727604454,231
RFECA_SVR(k=20),0.2,1,1,3.022285903693528,1.9655634931203627,210
RFECA_SVR(k=20),0.2,1,2,3.076783923875424,2.0514817910359917,220
RFECA_SVR(k=20),0.2,1,3,3.333642528411811,2.063756963261132,230
RFECA_SVR(k=20),0.2,1,4,2.118713716395121,1.5373931441798643,228
RFECA_SVR(k=20),0.2,1,5,2.6033378899073125,1.8206965666870238,231
SimpleMean,0.2,2,1,2.5459988510653564,1.9186292921504051,236
SimpleMean,0.2,2,2,2.810133008684774,2.07662434972026,205
SimpleMean,0.2,2,3,2.849583519893554,2.0692749790298977,243
SimpleMean,0.2,2,4,2.9778587473120033,2.215829525537857,239
SimpleMean,0.2,2,5,2.675613889991554,1.973026483569497,245
"KNN(k=5,dist)",0.2,2,1,2.0897447619357004,1.4255406348861013,236
"KNN(k=5,dist)",0.2,2,2,2.229262620543876,1.5049980220619523,205
"KNN(k=5,dist)",0.2,2,3,2.071971766293778,1.3841810955855443,243
"KNN(k=5,dist)",0.2,2,4,2.0962293116084223,1.5104007433046247,239
