imputer,missing_rate,replicate,fold,rmse,mae,n_masked_test_values
RFECA_SVR(k=10),0.0,4,2,,,0
RFECA_SVR(k=10),0.0,4,3,,,0
RFECA_SVR(k=10),0.0,4,4,,,0
RFECA_SVR(k=10),0.0,4,5,,,0
RFECA_SVR(k=20),0.0,4,1,,,0
RFECA_SVR(k=20),0.0,4,2,,,0
RFECA_SVR(k=20),0.0,4,3,,,0
RFECA_SVR(k=20),0.0,4,4,,,0
RFECA_SVR(k=20),0.0,4,5,,,0
SimpleMean,0.0,5,1,,,0
SimpleMean,0.0,5,2,,,0
SimpleMean,0.0,5,3,,,0
SimpleMean,0.0,5,4,,,0
SimpleMean,0.0,5,5,,,0
"KNN(k=5,dist)",0.0,5,1,,,0
"KNN(k=5,dist)",0.0,5,2,,,0
"KNN(k=5,dist)",0.0,5,3,,,0
"KNN(k=5,dist)",0.0,5,4,,,0
"KNN(k=5,dist)",0.0,5,5,,,0
RFECA_SVR(k=5),0.0,5,1,,,0
RFECA_SVR(k=5),0.0,5,2,,,0
RFECA_SVR(k=5),0.0,5,3,,,0
RFECA_SVR(k=5),0.0,5,4,,,0
RFECA_SVR(k=5),0.0,5,5,,,0
RFECA_SVR(k=10),0.0,5,1,,,0
RFECA_SVR(k=10),0.0,5,2,,,0
RFECA_SVR(k=10),0.0,5,3,,,0
RFECA_SVR(k=10),0.0,5,4,,,0
RFECA_SVR(k=10),0.0,5,5,,,0
RFECA_SVR(k=20),0.0,5,1,,,0
RFECA_SVR(k=20),0.0,5,2,,,0
RFECA_SVR(k=20),0.0,5,3,,,0
RFECA_SVR(k=20),0.0,5,4,,,0
RFECA_SVR(k=20),0.0,5,5,,,0
SimpleMean,0.0,6,1,,,0
SimpleMean,0.0,6,2,,,0
SimpleMean,0.0,6,3,,,0
SimpleMean,0.0,6,4,,,0
SimpleMean,0.0,6,5,,,0
"KNN(k=5,dist)",0.0,6,1,,,0
"KNN(k=5,dist)",0.0,6,2,,,0
"KNN(k=5,dist)",0.0,6,3,,,0
"KNN(k=5,dist)",0.0,6,4,,,0
"KNN(k=5,dist)",0.0,6,5,,,0
RFECA_SVR(k=5),0.0,6,1,,,0
RFECA_SVR(k=5),0.0,6,2,,,0
RFECA_SVR(k=5),0.0,6,3,,,0
RFECA_SVR(k=5),0.0,6,4,,,0
RFECA_SVR(k=5),0.0,6,5,,,0
RFECA_SVR(k=10),0.0,6,1,,,0
RFECA_SVR(k=10),0.0,6,2,,,0
RFECA_SVR(k=10),0.0,6,3,,,0
RFECA_SVR(k=10),0.0,6,4,,,0
RFECA_SVR(k=10),0.0,6,5,,,0
RFECA_SVR(k=20),0.0,6,1,,,0
RFECA_SVR(k=20),0.0,6,2,,,0
RFECA_SVR(k=20),0.0,6,3,,,0
RFECA_SVR(k=20),0.0,6,4,,,0
RFECA_SVR(k=20),0.0,6,5,,,0
SimpleMean,0.0,7,1,,,0
SimpleMean,0.0,7,2,,,0
SimpleMean,0.0,7,3,,,0
SimpleMean,0.0,7,4,,,0
SimpleMean,0.0,7,5,,,0
"KNN(k=5,dist)",0.0,7,1,,,0
"KNN(k=5,dist)",0.0,7,2,,,0
"KNN(k=5,dist)",0.0,7,3,,,0
"KNN(k=5,dist)",0.0,7,4,,,0
"KNN(k=5,dist)",0.0,7,5,,,0
RFECA_SVR(k=5),0.0,7,1,,,0
RFECA_SVR(k=5),0.0,7,2,,,0
RFECA_SVR(k=5),0.0,7,3,,,0
RFECA_SVR(k=5),0.0,7,4,,,0
RFECA_SVR(k=5),0.0,7,5,,,0
RFECA_SVR(k=10),0.0,7,1,,,0
RFECA_SVR(k=10),0.0,7,2,,,0
RFECA_SVR(k=10),0.0,7,3,,,0
RFECA_SVR(k=10),0.0,7,4,,,0
RFECA_SVR(k=10),0.0,7,5,,,0
RFECA_SVR(k=20),0.0,7,1,,,0
