gene,status,winning_prefix_len,n_predictors_selected,winning_predictors,selection_seconds,n_candidates
ACTR3B,ok,46,23,FOXA1|FOXC1|MIA|CCNE1|CXXC5|MELK|EXO1|KIF2C|ANLN|BLVRA|CEP55|NDC80|MKI67|MYC|UBE2T|SLC39A6|CENPF|PTTG1|ERBB2|KRT14|MYBL2|BAG1|FGFR4,1300.9017303,49
ANLN,ok,49,24,MELK|CEP55|EXO1|UBE2T|UBE2C|NDC80|TYMS|CENPF|MLPH|NUF2|BCL2|RRM2|EGFR|CDH3|GPR160|FOXC1|GRB7|FGFR4|MYBL2|BLVRA|BAG1|MDM2|ORC6|ERBB2,1315.3545236000064,49
BAG1,ok,47,23,SLC39A6|BCL2|PHGDH|MMP11|CDC20|CCNE1|MLPH|KIF2C|FOXA1|PTTG1|ORC6|BIRC5|MIA|CDC6|MDM2|KRT5|MKI67|RRM2|GRB7|ANLN|TYMS|MELK|CCNB1,1738.6678753000015,49
BCL2,ok,48,24,ESR1|SLC39A6|EXO1|CDH3|MELK|ANLN|CDC20|KIF2C|FOXA1|MLPH|RRM2|UBE2C|FGFR4|CEP55|PTTG1|UBE2T|BAG1|MKI67|CDC6|TYMS|KRT5|MYBL2|BLVRA|ORC6,1039.0462085000036,49
BIRC5,ok,43,21,KIF2C|CDC20|UBE2C|CEP55|EXO1|MELK|MKI67|CCNE1|ANLN|CCNB1|MLPH|GPR160|PGR|FOXC1|EGFR|MIA|GRB7|KRT14|ORC6|TMEM45B|BAG1,1104.476914400002,49
BLVRA,ok,40,20,ACTR3B|GPR160|MLPH|SLC39A6|CCNE1|PGR|ESR1|MYC|CENPF|MKI67|MAPT|TYMS|CCNB1|BIRC5|FGFR4|MDM2|UBE2C|BCL2|ANLN|MYBL2,1191.7419225999984,49
CCNB1,ok,47,23,NDC80|PTTG1|UBE2C|CEP55|BIRC5|CENPF|KIF2C|NUF2|UBE2T|MELK|MKI67|TYMS|CCNE1|KRT14|MYBL2|GPR160|PHGDH|FGFR4|KRT17|BLVRA|MDM2|CXXC5|FOXC1,1277.0748091999994,49
CCNE1,ok,44,22,MELK|EXO1|KIF2C|UBE2C|FOXA1|BIRC5|MLPH|MKI67|PTTG1|NDC80|GPR160|EGFR|UBE2T|TYMS|CCNB1|CXXC5|MIA|RRM2|FGFR4|CDC6|GRB7|ERBB2,1242.6647802000007,49
CDC20,ok,38,19,KIF2C|UBE2C|CEP55|BIRC5|PTTG1|EXO1|MELK|CENPF|MKI67|UBE2T|SLC39A6|BCL2|GPR160|NUF2|PGR|RRM2|CXXC5|MIA|ORC6,1410.7629181000011,49
CDC6,ok,17,8,EXO1|UBE2C|CEP55|BIRC5|ERBB2|CDC20|CCNB1|ANLN,1666.2258699999948,49
NUF2,ok,46,23,NDC80|CCNB1|UBE2T|ANLN|CEP55|UBE2C|EXO1|PTTG1|KIF2C|TYMS|MLPH|CDC20|MKI67|CCNE1|RRM2|ACTR3B|MIA|MYBL2|EGFR|CDH3|ORC6|KRT5|BLVRA,1384.3814292000025,49
CDH3,ok,49,24,KRT17|EGFR|KRT5|MLPH|CCNE1|BCL2|MIA|GPR160|CXXC5|KIF2C|EXO1|ANLN|UBE2C|ACTR3B|BIRC5|GRB7|PTTG1|CENPF|UBE2T|BAG1|CDC6|NUF2|TMEM45B|CCNB1,1022.5364604999995,49
CENPF,ok,38,19,UBE2C|EXO1|CEP55|CDC20|PTTG1|MELK|MKI67|UBE2T|CCNB1|CCNE1|NUF2|TYMS|NAT1|MLPH|FOXC1|RRM2|ORC6|BLVRA|EGFR,1241.2800720000014,49
CEP55,ok,49,24,UBE2C|MELK|KIF2C|PTTG1|EXO1|ANLN|BIRC5|CENPF|MKI67|NDC80|CCNB1|MLPH|NUF2|BCL2|GPR160|CDC6|CXXC5|FOXC1|KRT14|MYBL2|KRT5|TMEM45B|ORC6|MDM2,1342.089420700002,49
CXXC5,ok,48,24,ESR1|MLPH|FOXC1|MAPT|ACTR3B|PHGDH|ANLN|CCNE1|MIA|NDC80|GPR160|KIF2C|MYC|CEP55|CDC20|UBE2T|TYMS|PTTG1|MKI67|CENPF|UBE2C|CCNB1|TMEM45B|CDC6,1242.4228296000001,49
EGFR,ok,44,22,ESR1|CDH3|FOXC1|FOXA1|SFRP1|CXXC5|KRT5|BCL2|CCNE1|PHGDH|MIA|ANLN|CDC20|KIF2C|EXO1|CEP55|PTTG1|KRT14|BLVRA|NUF2|CDC6|MYBL2,1534.4779667999974,49
ERBB2,ok,49,24,GRB7|FGFR4|CDC6|MYC|PGR|NAT1|MAPT|MIA|FOXA1|CCNE1|TYMS|EXO1|ACTR3B|CENPF|CDC20|NDC80|BLVRA|RRM2|GPR160|KIF2C|UBE2T|ANLN|MKI67|PTTG1,1254.271256699998,49
ESR1,ok,43,21,BCL2|SLC39A6|FOXA1|MLPH|MAPT|EGFR|CCNE1|CXXC5|MELK|KIF2C|PHGDH|SFRP1|UBE2C|GRB7|FGFR4|MKI67|RRM2|UBE2T|NUF2|MDM2|BLVRA,959.5262834000023,49
