imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n_rows,mechanism
OriginalRFECA,0.2,EnsembleSoft,0.8682213549242155,0.02071893495186585,0.858644773426545,0.018200342383802783,5,mar
OriginalRFECA,0.2,GB,0.8550739777568234,0.026278479810562163,0.8449353242678018,0.02538234669719285,5,mar
OriginalRFECA,0.2,LogReg,0.8524254964372915,0.01862652332512408,0.8499962581990823,0.015094444996703394,5,mar
OriginalRFECA,0.2,RF,0.8604814155365453,0.02190950279927756,0.8459900305086441,0.023980926371111853,5,mar
OriginalRFECA,0.2,SVC,0.8694719296472007,0.016267293531195888,0.8603406659664683,0.01513389584130059,5,mar
