stage,imputer,model,missing_rate,replicate,fold,f1_macro,bal_acc,n_train,n_test,train_class_distribution,test_class_distribution,n_unique_predictions,degenerate_single_class_preds,f1_LumA,precision_LumA,recall_LumA,f1_LumB,precision_LumB,recall_LumB,f1_Her2,precision_Her2,recall_Her2,f1_Basal,precision_Basal,recall_Basal,seed,protocol,imputer_display,mechanism
classification,OriginalRFECA,EnsembleSoft,0.2,1,1,0.8527009938937999,0.8550856307435255,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.8962962962962963,0.9307692307692308,0.8642857142857143,0.864321608040201,0.8269230769230769,0.9052631578947369,0.8080808080808081,0.7407407407407407,0.8888888888888888,0.8421052631578947,0.9411764705882353,0.7619047619047619,1200045,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,EnsembleSoft,0.2,1,2,0.8935256442810655,0.8863721804511279,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9278350515463918,0.8940397350993378,0.9642857142857143,0.8901098901098901,0.9310344827586207,0.8526315789473684,0.8275862068965517,0.8571428571428571,0.8,0.9285714285714286,0.9285714285714286,0.9285714285714286,1200045,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,EnsembleSoft,0.2,1,3,0.8704542111971763,0.8659356725146199,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9219858156028369,0.9154929577464789,0.9285714285714286,0.8571428571428571,0.8617021276595744,0.8526315789473684,0.7526881720430108,0.7291666666666666,0.7777777777777778,0.95,1.0,0.9047619047619048,1200045,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,EnsembleSoft,0.2,1,4,0.870421127426352,0.8615423212502803,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9290780141843972,0.9225352112676056,0.9357142857142857,0.8673469387755102,0.8415841584158416,0.8947368421052632,0.7469879518072289,0.8157894736842105,0.6888888888888889,0.9382716049382716,0.95,0.926829268292683,1200045,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,EnsembleSoft,0.2,1,5,0.8746589832274121,0.8565561631351105,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9215017064846417,0.8823529411764706,0.9642857142857143,0.8617021276595744,0.8709677419354839,0.8526315789473684,0.7654320987654321,0.8378378378378378,0.7045454545454546,0.95,1.0,0.9047619047619048,1200045,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,SVC,0.2,1,1,0.8297854037097583,0.8311821219715956,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.8669201520912547,0.926829268292683,0.8142857142857143,0.8421052631578947,0.7719298245614035,0.9263157894736842,0.7789473684210526,0.74,0.8222222222222222,0.8311688311688312,0.9142857142857143,0.7619047619047619,1200045,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,SVC,0.2,1,2,0.9029114934358894,0.8899958228905598,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9283276450511946,0.8888888888888888,0.9714285714285714,0.8961748633879781,0.9318181818181818,0.8631578947368421,0.8735632183908046,0.9047619047619048,0.8444444444444444,0.9135802469135802,0.9487179487179487,0.8809523809523809,1200045,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,SVC,0.2,1,3,0.8814802299131098,0.8736737677527152,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9192982456140351,0.903448275862069,0.9357142857142857,0.8571428571428571,0.8617021276595744,0.8526315789473684,0.7865168539325843,0.7954545454545454,0.7777777777777778,0.9629629629629629,1.0,0.9285714285714286,1200045,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,SVC,0.2,1,4,0.8624149446417043,0.854703323349023,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9130434782608695,0.9264705882352942,0.9,0.8557213930348259,0.8113207547169812,0.9052631578947369,0.7441860465116279,0.7804878048780488,0.7111111111111111,0.9367088607594937,0.9736842105263158,0.9024390243902439,1200045,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,SVC,0.2,1,5,0.881069492419881,0.8634085213032581,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9097222222222222,0.8851351351351351,0.9357142857142857,0.8497409326424871,0.8367346938775511,0.8631578947368421,0.8148148148148148,0.8918918918918919,0.75,0.95,1.0,0.9047619047619048,1200045,post_target_wise_impute,RFECA,mcar
