gene,status,winning_prefix_len,n_predictors_selected,winning_predictors,selection_seconds,n_candidates
GPR160,ok,47,23,FOXA1|CCNE1|CDC20|NAT1|MIA|BIRC5|EGFR|ACTR3B|BLVRA|MKI67|MELK|CEP55|ANLN|MYC|CXXC5|NDC80|TYMS|PGR|BCL2|ORC6|MMP11|UBE2T|CDC6,1093.0238417,49
GRB7,ok,32,16,ERBB2|CDC6|NAT1|MAPT|TMEM45B|CDC20|MELK|KIF2C|CCNE1|CENPF|ANLN|UBE2T|BIRC5|MKI67|MYC|MDM2,1154.664411400001,49
KIF2C,ok,40,20,CDC20|UBE2C|CEP55|BIRC5|PTTG1|EXO1|MKI67|CCNE1|NDC80|CCNB1|FOXA1|PHGDH|NUF2|BCL2|PGR|RRM2|CDC6|CXXC5|ORC6|MYBL2,1359.7872074000043,49
NDC80,ok,28,14,ANLN|CEP55|CCNB1|PTTG1|NUF2|UBE2T|KIF2C|TYMS|UBE2C|EXO1|MLPH|MKI67|RRM2|CXXC5,1502.2957838000002,49
KRT14,ok,48,24,KRT17|KRT5|SFRP1|MIA|FOXC1|FOXA1|CCNB1|EGFR|MLPH|UBE2C|ACTR3B|BIRC5|CEP55|UBE2T|MDM2|MYBL2|CDC6|NUF2|NDC80|MELK|TYMS|BAG1|ORC6|CCNE1,1264.5311442999955,49
KRT17,ok,8,4,KRT5|KRT14|FOXC1|CDH3,1232.8938901000001,49
KRT5,ok,47,23,KRT17|KRT14|SFRP1|FOXC1|CDH3|MIA|EGFR|MLPH|ACTR3B|PHGDH|SLC39A6|BCL2|MDM2|ANLN|NDC80|CEP55|MKI67|ERBB2|ORC6|CENPF|CDC6|GRB7|UBE2T,1448.1531497999968,49
MAPT,ok,46,23,ESR1|MLPH|FOXA1|EXO1|PGR|BCL2|CEP55|KIF2C|CDC20|CXXC5|UBE2C|PTTG1|NDC80|MKI67|GRB7|TYMS|CCNB1|BAG1|ERBB2|BLVRA|MMP11|MYBL2|MYC,874.501658000001,49
MDM2,ok,49,24,SLC39A6|SFRP1|KRT17|RRM2|EGFR|TYMS|MLPH|GRB7|FOXA1|FOXC1|MIA|ACTR3B|NDC80|MMP11|MYBL2|PTTG1|CDC6|CCNB1|CENPF|NUF2|UBE2T|CEP55|MKI67|EXO1,1851.512916199994,49
MELK,ok,46,23,CEP55|UBE2C|EXO1|ANLN|CDC20|UBE2T|CCNE1|TYMS|MKI67|CCNB1|RRM2|FOXA1|BCL2|SLC39A6|EGFR|CXXC5|GPR160|FOXC1|CDC6|MYC|FGFR4|SFRP1|BAG1,1372.1939855000019,49
MIA,ok,44,22,FOXA1|SFRP1|KRT5|ACTR3B|KRT14|EGFR|CXXC5|CCNE1|ANLN|MELK|NDC80|KIF2C|TYMS|CEP55|CDC20|NUF2|ERBB2|MMP11|MKI67|UBE2T|MYBL2|GRB7,1451.010863100004,49
MKI67,ok,49,24,CEP55|KIF2C|EXO1|CENPF|MELK|PTTG1|UBE2T|CCNB1|NDC80|TYMS|MLPH|GPR160|ACTR3B|RRM2|BCL2|FOXC1|ORC6|GRB7|MIA|KRT5|MMP11|ERBB2|KRT17|MYC,1432.1469208999988,49
MLPH,ok,49,24,FOXA1|CCNE1|ANLN|NDC80|KIF2C|CXXC5|CEP55|EXO1|CDC20|SLC39A6|KRT5|TYMS|UBE2T|CENPF|MYC|BLVRA|CCNB1|TMEM45B|BAG1|MDM2|MYBL2|FGFR4|ORC6|MMP11,1030.5415032999954,49
MMP11,ok,38,19,BAG1|NUF2|NDC80|ACTR3B|SFRP1|CDH3|BCL2|MIA|GPR160|MDM2|MKI67|KRT5|CENPF|KIF2C|RRM2|TYMS|KRT17|MYBL2|CEP55,711.7442478000012,49
MYBL2,ok,49,24,NUF2|CEP55|UBE2C|CCNB1|KIF2C|NDC80|MLPH|MIA|RRM2|FOXA1|CDC20|PTTG1|KRT14|CCNE1|CENPF|EXO1|UBE2T|EGFR|SFRP1|MDM2|TMEM45B|CDC6|CXXC5|GPR160,1458.0501084999996,49
MYC,ok,49,24,TYMS|MLPH|SFRP1|TMEM45B|ACTR3B|FOXA1|FOXC1|MIA|MELK|GPR160|ERBB2|UBE2T|NDC80|NAT1|ORC6|CCNE1|GRB7|SLC39A6|MAPT|MKI67|CDC6|BCL2|PHGDH|CENPF,927.3268967999975,49
NAT1,ok,44,22,ESR1|SLC39A6|CCNE1|MAPT|UBE2C|PGR|CEP55|BIRC5|MELK|EXO1|GPR160|GRB7|FGFR4|TYMS|UBE2T|CDC6|BLVRA|MYC|ERBB2|NUF2|ORC6|BAG1,773.4551038000063,49
ORC6,ok,49,24,CDC20|SLC39A6|MKI67|TMEM45B|GPR160|UBE2C|RRM2|CCNE1|EXO1|FOXC1|CCNB1|PGR|BAG1|CEP55|UBE2T|MLPH|PTTG1|NDC80|NUF2|MAPT|ANLN|MYBL2|BCL2|CDC6,1137.2958591999995,49
PGR,ok,38,19,MAPT|NAT1|UBE2C|KIF2C|CDC20|EXO1|PTTG1|FGFR4|ANLN|MKI67|FOXC1|BLVRA|ERBB2|NDC80|UBE2T|RRM2|CDC6|CCNB1|MIA,919.097946899994,49
PHGDH,ok,49,24,EXO1|MLPH|KIF2C|BCL2|FOXC1|EGFR|CXXC5|ACTR3B|ANLN|MKI67|PTTG1|KRT5|CENPF|UBE2T|GPR160|BAG1|RRM2|TYMS|CCNB1|MMP11|TMEM45B|MDM2|MYBL2|MYC,772.688519700001,49
PTTG1,ok,49,24,UBE2C|CEP55|KIF2C|CDC20|EXO1|UBE2T|NDC80|CCNB1|TYMS|CCNE1|RRM2|NUF2|MLPH|FOXA1|PHGDH|PGR|ACTR3B|CDH3|MYC|GRB7|CXXC5|MYBL2|ERBB2|ORC6,1193.9862969999958,49
RRM2,ok,45,22,TYMS|MELK|UBE2T|PTTG1|UBE2C|BCL2|BIRC5|CDC20|NDC80|NUF2|ESR1|MKI67|CENPF|ACTR3B|TMEM45B|FOXA1|MDM2|ORC6|MYBL2|BAG1|MIA|SLC39A6,1107.7163594000012,49
SFRP1,ok,41,20,KRT5|KRT14|KRT17|FOXC1|MIA|FOXA1|EGFR|PHGDH|MYC|GPR160|TMEM45B|CCNE1|MMP11|MDM2|ERBB2|MELK|BAG1|UBE2C|NUF2|CDC20,885.0153399999981,49
SLC39A6,ok,47,23,ESR1|BCL2|NAT1|CCNE1|CDC20|EGFR|MLPH|FGFR4|EXO1|GPR160|BAG1|BLVRA|ACTR3B|MDM2|NDC80|TMEM45B|ERBB2|ORC6|CCNB1|NUF2|UBE2T|MYC|RRM2,752.528253299999,49
TMEM45B,ok,34,17,MYC|GRB7|MLPH|SLC39A6|UBE2T|ORC6|RRM2|SFRP1|NDC80|MELK|KRT5|ANLN|UBE2C|EXO1|CDH3|CEP55|CXXC5,981.7708973999979,49
TYMS,ok,46,23,MELK|PTTG1|NDC80|UBE2T|CEP55|ANLN|UBE2C|EXO1|RRM2|CCNB1|MKI67|MYC|NUF2|CCNE1|CENPF|MIA|EGFR|BCL2|MDM2|BLVRA|MYBL2|SLC39A6|MMP11,832.9993940999993,49
UBE2C,ok,47,23,PTTG1|CEP55|KIF2C|CDC20|MELK|BIRC5|EXO1|CENPF|UBE2T|CCNE1|CCNB1|NDC80|TYMS|NAT1|NUF2|RRM2|BCL2|PGR|ESR1|MYBL2|ORC6|CXXC5|TMEM45B,838.9828529999941,49
UBE2T,ok,41,20,EXO1|MELK|PTTG1|CEP55|ANLN|UBE2C|NDC80|CENPF|KIF2C|NUF2|CDC20|RRM2|MKI67|CCNE1|MLPH|CDC6|FOXA1|ESR1|CXXC5|TMEM45B,775.3075790000003,49
