imputer,missing_rate,model,subtype,metric,mean,std,n_rows,mechanism
OriginalRFECA,0.2,EnsembleSoft,LumA,f1,0.9265643894367969,0.010691545121460456,5,mcar
OriginalRFECA,0.2,EnsembleSoft,LumA,precision,0.915251807016513,0.025702911549321385,5,mcar
OriginalRFECA,0.2,EnsembleSoft,LumA,recall,0.9400000000000001,0.04059506353823665,5,mcar
OriginalRFECA,0.2,EnsembleSoft,LumB,f1,0.8851752538633205,0.016294495940645207,5,mcar
OriginalRFECA,0.2,EnsembleSoft,LumB,precision,0.8742761313813571,0.04523400520284402,5,mcar
OriginalRFECA,0.2,EnsembleSoft,LumB,recall,0.8989473684210527,0.036159082183826644,5,mcar
OriginalRFECA,0.2,EnsembleSoft,Her2,f1,0.8117787929942828,0.045448244402680374,5,mcar
OriginalRFECA,0.2,EnsembleSoft,Her2,precision,0.8514034701061963,0.027942896200094356,5,mcar
OriginalRFECA,0.2,EnsembleSoft,Her2,recall,0.7808080808080808,0.0885784293672475,5,mcar
OriginalRFECA,0.2,EnsembleSoft,Basal,f1,0.9222978722572218,0.02869072824155079,5,mcar
OriginalRFECA,0.2,EnsembleSoft,Basal,precision,0.9641319997931037,0.027659016948840962,5,mcar
OriginalRFECA,0.2,EnsembleSoft,Basal,recall,0.8853658536585366,0.04841722213703126,5,mcar
OriginalRFECA,0.2,SVC,LumA,f1,0.925994784814454,0.010758221171168252,5,mcar
OriginalRFECA,0.2,SVC,LumA,precision,0.9225254357020554,0.029867758010707214,5,mcar
OriginalRFECA,0.2,SVC,LumA,recall,0.9314285714285715,0.03931816841292251,5,mcar
OriginalRFECA,0.2,SVC,LumB,f1,0.8773473555045121,0.010263001805160975,5,mcar
OriginalRFECA,0.2,SVC,LumB,precision,0.8558548113594538,0.041807814120272256,5,mcar
OriginalRFECA,0.2,SVC,LumB,recall,0.9031578947368422,0.043655666007005725,5,mcar
OriginalRFECA,0.2,SVC,Her2,f1,0.8106229040290142,0.038135435587925544,5,mcar
OriginalRFECA,0.2,SVC,Her2,precision,0.841726527440813,0.0542656060650355,5,mcar
OriginalRFECA,0.2,SVC,Her2,recall,0.7853535353535354,0.06012222696547621,5,mcar
OriginalRFECA,0.2,SVC,Basal,f1,0.9281527457270998,0.041893886912999716,5,mcar
OriginalRFECA,0.2,SVC,Basal,precision,0.9846153846153847,0.0229340305384594,5,mcar
OriginalRFECA,0.2,SVC,Basal,recall,0.8806039488966316,0.0731068707181154,5,mcar
OriginalRFECA,0.2,LogReg,LumA,f1,0.9200512904843123,0.01842200536663059,5,mcar
OriginalRFECA,0.2,LogReg,LumA,precision,0.9167126948038279,0.012459584947433261,5,mcar
OriginalRFECA,0.2,LogReg,LumA,recall,0.9242857142857144,0.0383325938999964,5,mcar
OriginalRFECA,0.2,LogReg,LumB,f1,0.858776797129388,0.018610130894683264,5,mcar
OriginalRFECA,0.2,LogReg,LumB,precision,0.8602645285875836,0.029035223035385336,5,mcar
OriginalRFECA,0.2,LogReg,LumB,recall,0.8589473684210527,0.03910352762317203,5,mcar
OriginalRFECA,0.2,LogReg,Her2,f1,0.7561060315287234,0.051429271190875016,5,mcar
OriginalRFECA,0.2,LogReg,Her2,precision,0.7626711525189785,0.04197276916206452,5,mcar
OriginalRFECA,0.2,LogReg,Her2,recall,0.7540404040404041,0.08665259710147273,5,mcar
OriginalRFECA,0.2,LogReg,Basal,f1,0.8986571139377487,0.02710617442159371,5,mcar
OriginalRFECA,0.2,LogReg,Basal,precision,0.9081539957490042,0.037153931786608675,5,mcar
OriginalRFECA,0.2,LogReg,Basal,recall,0.8901277584204413,0.03142978177530407,5,mcar
OriginalRFECA,0.2,RF,LumA,f1,0.9055199453265452,0.0159642455001286,5,mcar
OriginalRFECA,0.2,RF,LumA,precision,0.8776199627362672,0.034959228269825435,5,mcar
OriginalRFECA,0.2,RF,LumA,recall,0.937142857142857,0.03549935325654052,5,mcar
OriginalRFECA,0.2,RF,LumB,f1,0.8626805264786699,0.019080498140184938,5,mcar
OriginalRFECA,0.2,RF,LumB,precision,0.8626542016178951,0.04675044777534525,5,mcar
OriginalRFECA,0.2,RF,LumB,recall,0.865263157894737,0.03751269406569572,5,mcar
OriginalRFECA,0.2,RF,Her2,f1,0.7866074027588371,0.05724036015057202,5,mcar
OriginalRFECA,0.2,RF,Her2,precision,0.8476008944481462,0.06279813566805675,5,mcar
OriginalRFECA,0.2,RF,Her2,recall,0.7406060606060605,0.09461147655959103,5,mcar
OriginalRFECA,0.2,RF,Basal,f1,0.9049552280796492,0.03707025886146541,5,mcar
OriginalRFECA,0.2,RF,Basal,precision,0.9687593984962405,0.0329071942040105,5,mcar
OriginalRFECA,0.2,RF,Basal,recall,0.851800232288037,0.06576690305597599,5,mcar
OriginalRFECA,0.2,GB,LumA,f1,0.9218780093973123,0.003124279089700259,5,mcar
OriginalRFECA,0.2,GB,LumA,precision,0.9098685491513901,0.027872772647656318,5,mcar
OriginalRFECA,0.2,GB,LumA,recall,0.9357142857142856,0.03072259023943796,5,mcar
OriginalRFECA,0.2,GB,LumB,f1,0.8779866478845466,0.016122144736881144,5,mcar
OriginalRFECA,0.2,GB,LumB,precision,0.8714367724689305,0.03472981431645963,5,mcar
OriginalRFECA,0.2,GB,LumB,recall,0.8863157894736842,0.03443247838693923,5,mcar
