stage,imputer,missing_rate,replicate,fold,rmse,mae,n_masked_test_values,n_eligible_cells,n_artificially_masked_cells,n_legacy_imputed_cells_in_cohort,n_legacy_imputed_cells_in_metric_target,target_cell_policy,n_train,n_test,degenerate_constant_preds,seed
imputation,"KNN(k=5,dist)",0.0,5,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1047
imputation,"KNN(k=5,dist)",0.0,5,3,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1047
imputation,"KNN(k=5,dist)",0.0,5,4,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1047
imputation,"KNN(k=5,dist)",0.0,5,5,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1047
imputation,RFECA_SVR(k=5),0.0,5,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1047
imputation,RFECA_SVR(k=5),0.0,5,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1047
imputation,RFECA_SVR(k=5),0.0,5,3,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1047
imputation,RFECA_SVR(k=5),0.0,5,4,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1047
imputation,RFECA_SVR(k=5),0.0,5,5,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1047
imputation,RFECA_SVR(k=10),0.0,5,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1047
imputation,RFECA_SVR(k=10),0.0,5,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1047
imputation,RFECA_SVR(k=10),0.0,5,3,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1047
imputation,RFECA_SVR(k=10),0.0,5,4,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1047
imputation,RFECA_SVR(k=10),0.0,5,5,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1047
imputation,RFECA_SVR(k=20),0.0,5,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1047
imputation,RFECA_SVR(k=20),0.0,5,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1047
imputation,RFECA_SVR(k=20),0.0,5,3,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1047
imputation,RFECA_SVR(k=20),0.0,5,4,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1047
imputation,RFECA_SVR(k=20),0.0,5,5,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1047
imputation,SimpleMean,0.0,6,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1048
imputation,SimpleMean,0.0,6,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1048
imputation,SimpleMean,0.0,6,3,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1048
imputation,SimpleMean,0.0,6,4,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1048
imputation,SimpleMean,0.0,6,5,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1048
imputation,"KNN(k=5,dist)",0.0,6,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1048
imputation,"KNN(k=5,dist)",0.0,6,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1048
imputation,"KNN(k=5,dist)",0.0,6,3,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1048
imputation,"KNN(k=5,dist)",0.0,6,4,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1048
imputation,"KNN(k=5,dist)",0.0,6,5,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1048
imputation,RFECA_SVR(k=5),0.0,6,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1048
imputation,RFECA_SVR(k=5),0.0,6,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1048
imputation,RFECA_SVR(k=5),0.0,6,3,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1048
imputation,RFECA_SVR(k=5),0.0,6,4,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1048
imputation,RFECA_SVR(k=5),0.0,6,5,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1048
imputation,RFECA_SVR(k=10),0.0,6,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1048
imputation,RFECA_SVR(k=10),0.0,6,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1048
imputation,RFECA_SVR(k=10),0.0,6,3,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1048
imputation,RFECA_SVR(k=10),0.0,6,4,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1048
imputation,RFECA_SVR(k=10),0.0,6,5,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1048
imputation,RFECA_SVR(k=20),0.0,6,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1048
imputation,RFECA_SVR(k=20),0.0,6,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1048
imputation,RFECA_SVR(k=20),0.0,6,3,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1048
imputation,RFECA_SVR(k=20),0.0,6,4,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1048
imputation,RFECA_SVR(k=20),0.0,6,5,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1048
imputation,SimpleMean,0.0,7,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1049
imputation,SimpleMean,0.0,7,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1049
imputation,SimpleMean,0.0,7,3,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1049
imputation,SimpleMean,0.0,7,4,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1049
imputation,SimpleMean,0.0,7,5,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1049
imputation,"KNN(k=5,dist)",0.0,7,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1049
imputation,"KNN(k=5,dist)",0.0,7,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1049
imputation,"KNN(k=5,dist)",0.0,7,3,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1049
imputation,"KNN(k=5,dist)",0.0,7,4,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1049
imputation,"KNN(k=5,dist)",0.0,7,5,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1049
imputation,RFECA_SVR(k=5),0.0,7,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1049
imputation,RFECA_SVR(k=5),0.0,7,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1049
imputation,RFECA_SVR(k=5),0.0,7,3,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1049
imputation,RFECA_SVR(k=5),0.0,7,4,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1049
imputation,RFECA_SVR(k=5),0.0,7,5,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1049
imputation,RFECA_SVR(k=10),0.0,7,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1049
imputation,RFECA_SVR(k=10),0.0,7,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1049
imputation,RFECA_SVR(k=10),0.0,7,3,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1049
imputation,RFECA_SVR(k=10),0.0,7,4,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1049
imputation,RFECA_SVR(k=10),0.0,7,5,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1049
imputation,RFECA_SVR(k=20),0.0,7,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1049
imputation,RFECA_SVR(k=20),0.0,7,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1049
imputation,RFECA_SVR(k=20),0.0,7,3,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1049
imputation,RFECA_SVR(k=20),0.0,7,4,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1049
imputation,RFECA_SVR(k=20),0.0,7,5,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1049
imputation,SimpleMean,0.0,8,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1050
imputation,SimpleMean,0.0,8,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1050
imputation,SimpleMean,0.0,8,3,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1050
imputation,SimpleMean,0.0,8,4,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1050
imputation,SimpleMean,0.0,8,5,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1050
imputation,"KNN(k=5,dist)",0.0,8,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1050
