stage,imputer,missing_rate,replicate,fold,n_train,n_test,train_test_overlap,imputer_object_id,correlation_source,has_corr_csv_path
imputation,RFECA_SVR(k=10),0.0,1,3,1286,322,0,2482517997872,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,1,4,1287,321,0,2482517997648,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,1,5,1287,321,0,2482517997424,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,1,1,1286,322,0,2482517997200,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,1,2,1286,322,0,2482517996976,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,1,3,1286,322,0,2482517996752,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,1,4,1287,321,0,2482517996528,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,1,5,1287,321,0,2482517996304,training_fold_X.corr(),False
classification,SimpleMean,0.0,1,1,1286,322,0,2482517690704,n/a,False
classification,SimpleMean,0.0,1,2,1286,322,0,2482517740368,n/a,False
classification,SimpleMean,0.0,1,3,1286,322,0,2482517741600,n/a,False
classification,SimpleMean,0.0,1,4,1287,321,0,2482517743888,n/a,False
classification,SimpleMean,0.0,1,5,1287,321,0,2482517745824,n/a,False
classification,"KNN(k=5,dist)",0.0,1,1,1286,322,0,2482517690896,n/a,False
classification,"KNN(k=5,dist)",0.0,1,2,1286,322,0,2482705746448,n/a,False
classification,"KNN(k=5,dist)",0.0,1,3,1286,322,0,2482706064080,n/a,False
classification,"KNN(k=5,dist)",0.0,1,4,1287,321,0,2482705873808,n/a,False
classification,"KNN(k=5,dist)",0.0,1,5,1287,321,0,2482773709968,n/a,False
classification,RFECA_SVR(k=5),0.0,1,1,1286,322,0,2482807924656,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,1,2,1286,322,0,2482808648688,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,1,3,1286,322,0,2482687815568,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,1,4,1287,321,0,2482688054608,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,1,5,1287,321,0,2482619234832,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,1,1,1286,322,0,2482619389936,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,1,2,1286,322,0,2482620105232,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,1,3,1286,322,0,2482739880560,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,1,4,1287,321,0,2482740180624,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,1,5,1287,321,0,2482653670640,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,1,1,1286,322,0,2482653844144,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,1,2,1286,322,0,2482842109776,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,1,3,1286,322,0,2482842639664,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,1,4,1287,321,0,2482842960624,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,1,5,1287,321,0,2482975942576,training_fold_X.corr(),False
imputation,SimpleMean,0.0,2,1,1286,322,0,2482517740896,n/a,False
imputation,SimpleMean,0.0,2,2,1286,322,0,2482517740368,n/a,False
imputation,SimpleMean,0.0,2,3,1286,322,0,2482517743536,n/a,False
imputation,SimpleMean,0.0,2,4,1287,321,0,2482517741600,n/a,False
imputation,SimpleMean,0.0,2,5,1287,321,0,2482517742128,n/a,False
imputation,"KNN(k=5,dist)",0.0,2,1,1286,322,0,2482774229072,n/a,False
imputation,"KNN(k=5,dist)",0.0,2,2,1286,322,0,2482774229264,n/a,False
imputation,"KNN(k=5,dist)",0.0,2,3,1286,322,0,2482774229456,n/a,False
imputation,"KNN(k=5,dist)",0.0,2,4,1287,321,0,2482774229648,n/a,False
imputation,"KNN(k=5,dist)",0.0,2,5,1287,321,0,2482774229840,n/a,False
imputation,RFECA_SVR(k=5),0.0,2,1,1286,322,0,2482842180240,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,2,2,1286,322,0,2482842180464,training_fold_X.corr(),False
