imputer,missing_rate,model,subtype,metric,mean,std,n_rows,mechanism
OriginalRFECA,0.1,EnsembleSoft,LumA,f1,0.921075528229182,0.013663439790449237,5,mar
OriginalRFECA,0.1,EnsembleSoft,LumA,precision,0.9069638936212314,0.01924225585046334,5,mar
OriginalRFECA,0.1,EnsembleSoft,LumA,recall,0.9371428571428572,0.04115674368825123,5,mar
OriginalRFECA,0.1,EnsembleSoft,LumB,f1,0.8772685786066683,0.018510422649723832,5,mar
OriginalRFECA,0.1,EnsembleSoft,LumB,precision,0.8762500133817216,0.03598376795069116,5,mar
OriginalRFECA,0.1,EnsembleSoft,LumB,recall,0.8800000000000001,0.03538470802941394,5,mar
OriginalRFECA,0.1,EnsembleSoft,Her2,f1,0.7853054422813334,0.04361941895665465,5,mar
OriginalRFECA,0.1,EnsembleSoft,Her2,precision,0.8124231655225902,0.046304162337103154,5,mar
OriginalRFECA,0.1,EnsembleSoft,Her2,recall,0.763030303030303,0.06799112877788223,5,mar
OriginalRFECA,0.1,EnsembleSoft,Basal,f1,0.920163031789048,0.036417191515583966,5,mar
OriginalRFECA,0.1,EnsembleSoft,Basal,precision,0.9542857142857143,0.027010957715984336,5,mar
OriginalRFECA,0.1,EnsembleSoft,Basal,recall,0.8901277584204413,0.05948824749987598,5,mar
OriginalRFECA,0.1,SVC,LumA,f1,0.9186562461623138,0.01352372158739602,5,mar
OriginalRFECA,0.1,SVC,LumA,precision,0.9151749721285771,0.023065570671230533,5,mar
OriginalRFECA,0.1,SVC,LumA,recall,0.9242857142857142,0.04700195393246316,5,mar
OriginalRFECA,0.1,SVC,LumB,f1,0.8705979967237731,0.01423412837567976,5,mar
OriginalRFECA,0.1,SVC,LumB,precision,0.854064913589559,0.04452626953511409,5,mar
OriginalRFECA,0.1,SVC,LumB,recall,0.8905263157894737,0.036159082183826644,5,mar
OriginalRFECA,0.1,SVC,Her2,f1,0.789965559571711,0.039520207997971325,5,mar
OriginalRFECA,0.1,SVC,Her2,precision,0.8218251717400896,0.060118548786885766,5,mar
OriginalRFECA,0.1,SVC,Her2,recall,0.7631313131313131,0.048032931770143505,5,mar
OriginalRFECA,0.1,SVC,Basal,f1,0.9226072017902756,0.04531207751111144,5,mar
OriginalRFECA,0.1,SVC,Basal,precision,0.9585709818636647,0.03535196211049818,5,mar
OriginalRFECA,0.1,SVC,Basal,recall,0.8901277584204413,0.05948824749987598,5,mar
OriginalRFECA,0.1,LogReg,LumA,f1,0.9153303154301862,0.024578231612318282,5,mar
OriginalRFECA,0.1,LogReg,LumA,precision,0.907618230662394,0.013284707753553785,5,mar
OriginalRFECA,0.1,LogReg,LumA,recall,0.9242857142857144,0.047272548879355135,5,mar
OriginalRFECA,0.1,LogReg,LumB,f1,0.8578039955365995,0.025268430563720114,5,mar
OriginalRFECA,0.1,LogReg,LumB,precision,0.8632413704841305,0.05052994691932412,5,mar
OriginalRFECA,0.1,LogReg,LumB,recall,0.8547368421052631,0.033618356679308035,5,mar
OriginalRFECA,0.1,LogReg,Her2,f1,0.7783641397447651,0.02666392678813818,5,mar
OriginalRFECA,0.1,LogReg,Her2,precision,0.7883869639060139,0.029422993026848965,5,mar
OriginalRFECA,0.1,LogReg,Her2,recall,0.772020202020202,0.06336683340645671,5,mar
OriginalRFECA,0.1,LogReg,Basal,f1,0.9168514790182402,0.030558914015847385,5,mar
OriginalRFECA,0.1,LogReg,Basal,precision,0.931909161299405,0.02921581663459724,5,mar
OriginalRFECA,0.1,LogReg,Basal,recall,0.9042973286875726,0.05584794523385579,5,mar
OriginalRFECA,0.1,RF,LumA,f1,0.9081738131979205,0.014880788683273057,5,mar
OriginalRFECA,0.1,RF,LumA,precision,0.8898029954265837,0.015509372174539642,5,mar
OriginalRFECA,0.1,RF,LumA,recall,0.9285714285714286,0.040089186286863636,5,mar
OriginalRFECA,0.1,RF,LumB,f1,0.8607542312977425,0.02385267159157612,5,mar
OriginalRFECA,0.1,RF,LumB,precision,0.8478710237989275,0.04633576231979924,5,mar
OriginalRFECA,0.1,RF,LumB,recall,0.8757894736842106,0.02724669285377852,5,mar
OriginalRFECA,0.1,RF,Her2,f1,0.7783855672011766,0.027607196191894206,5,mar
OriginalRFECA,0.1,RF,Her2,precision,0.8279624765478424,0.05232092217706212,5,mar
OriginalRFECA,0.1,RF,Her2,recall,0.7406060606060606,0.06894781093398479,5,mar
OriginalRFECA,0.1,RF,Basal,f1,0.9120640729049379,0.03982705196546718,5,mar
OriginalRFECA,0.1,RF,Basal,precision,0.9792105263157895,0.021946484899545628,5,mar
