gene,status,winning_prefix_len,n_predictors_selected,winning_predictors,selection_seconds,n_candidates
ACTR3B,ok,49,24,FOXA1|MLPH|FOXC1|MIA|CCNE1|MELK|EXO1|CEP55|KRT5|NDC80|BLVRA|CDH3|MKI67|NAT1|MYC|UBE2T|PTTG1|TMEM45B|MMP11|ERBB2|KRT14|BAG1|CDC6|GRB7,1616.3600169000129,49
ANLN,ok,49,24,MELK|CEP55|NDC80|UBE2C|UBE2T|MLPH|CENPF|NUF2|MKI67|BCL2|RRM2|CDH3|EGFR|GPR160|MIA|FOXC1|CDC6|GRB7|FGFR4|TMEM45B|BLVRA|BAG1|ERBB2|MDM2,1650.426478399997,49
BAG1,ok,47,23,SLC39A6|BCL2|PHGDH|MMP11|CCNE1|MLPH|CDC20|FOXA1|SFRP1|KIF2C|ORC6|PTTG1|KRT5|ERBB2|CDC6|GRB7|CCNB1|RRM2|MKI67|MELK|TYMS|ANLN|BLVRA,2078.6898733999988,49
BCL2,ok,49,24,ESR1|SLC39A6|EXO1|CDH3|PHGDH|ANLN|CDC20|KIF2C|FOXA1|UBE2C|CEP55|FGFR4|RRM2|PTTG1|UBE2T|BAG1|MKI67|GPR160|MIA|TYMS|CDC6|MYBL2|BLVRA|ORC6,1263.4976557999908,49
BIRC5,ok,40,20,KIF2C|CDC20|UBE2C|CEP55|EXO1|CCNE1|MKI67|ANLN|CCNB1|UBE2T|MLPH|GPR160|PGR|FOXC1|CDC6|MIA|GRB7|ORC6|KRT14|BLVRA,1441.7964901000087,49
BLVRA,ok,38,19,GPR160|ACTR3B|MLPH|MIA|SLC39A6|PGR|MYC|ESR1|MKI67|MELK|CENPF|TYMS|MAPT|UBE2C|CCNB1|FGFR4|ANLN|MDM2|PTTG1,1475.5607238000084,49
CCNB1,ok,49,24,NDC80|PTTG1|UBE2C|CEP55|BIRC5|CENPF|NUF2|EXO1|MKI67|TYMS|CCNE1|CDC6|MLPH|KRT14|MAPT|FGFR4|MYBL2|ORC6|KRT17|BLVRA|MDM2|FOXC1|CXXC5|EGFR,1631.062105799996,49
CCNE1,ok,49,24,KIF2C|MELK|EXO1|FOXA1|BIRC5|UBE2C|MLPH|MKI67|NDC80|CDH3|FOXC1|GPR160|UBE2T|MIA|CCNB1|NUF2|KRT5|CDC6|FGFR4|GRB7|MYC|ERBB2|KRT14|MDM2,1518.6637467999972,49
CDC20,ok,48,24,KIF2C|UBE2C|CEP55|EXO1|BIRC5|PTTG1|MELK|CENPF|NDC80|UBE2T|BCL2|GPR160|NUF2|RRM2|PGR|CDC6|CXXC5|ORC6|GRB7|KRT5|KRT17|MYBL2|ERBB2|MDM2,1702.665033600002,49
CDC6,ok,48,24,EXO1|GRB7|CEP55|ERBB2|BIRC5|KIF2C|ANLN|CCNE1|RRM2|NDC80|BCL2|NUF2|MLPH|CDH3|MDM2|FOXA1|MYC|TMEM45B|MYBL2|BAG1|KRT5|ORC6|MIA|CXXC5,2082.6634401000047,49
