cohort,mechanism,missing_rate,metric,higher_is_better,wilcoxon_stat,p_value,n_pairs,note,p_holm,method_a,method_b,mean_a,mean_b,delta_a_minus_b,rank_biserial_r,p_holm_primary_family
discovery,mcar,0.3,f1_macro,True,3.0,0.009765625,10,,0.126953125,MissForest,SimpleMean,0.9158477886847454,0.8885768499616326,0.027270938723112814,0.8909090909090909,0.078125
discovery,mcar,0.3,f1_macro,True,13.0,0.16015625,10,,1.0,RFECA_SVR(k=5),"KNN(k=5,dist)",0.8972075574184271,0.9084213127452259,-0.011213755326798802,-0.5272727272727273,0.9609375
discovery,mcar,0.3,f1_macro,True,13.0,0.16015625,10,,1.0,RFECA_SVR(k=10),"KNN(k=5,dist)",0.8952167742885134,0.9084213127452259,-0.013204538456712434,-0.5272727272727273,0.9609375
discovery,mcar,0.3,f1_macro,True,3.0,0.009765625,10,,0.126953125,RFECA_SVR(k=20),"KNN(k=5,dist)",0.8827573771638988,0.9084213127452259,-0.02566393558132707,-0.8909090909090909,0.078125
discovery,mcar,0.3,f1_macro,True,15.0,0.232421875,10,,1.0,MissForest,"KNN(k=5,dist)",0.9158477886847454,0.9084213127452259,0.007426475939519506,0.4545454545454546,0.9609375
discovery,mcar,0.05,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=5),SimpleMean,2.0406309920844974,2.8081285785899355,-0.7674975865054381,-1.0,0.015625
discovery,mcar,0.05,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=10),SimpleMean,2.1476662234311603,2.8081285785899355,-0.6604623551587752,-1.0,0.015625
discovery,mcar,0.05,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=20),SimpleMean,2.388047481929054,2.8081285785899355,-0.42008109666088167,-1.0,0.015625
discovery,mcar,0.05,rmse,False,0.0,0.001953125,10,,0.029296875,MissForest,SimpleMean,1.7610788481651167,2.8081285785899355,-1.0470497304248187,-1.0,0.015625
discovery,mcar,0.05,rmse,False,23.0,0.6953125,10,,0.6953125,RFECA_SVR(k=5),"KNN(k=5,dist)",2.0406309920844974,2.016992315275133,0.0236386768093646,0.16363636363636358,0.6953125
discovery,mcar,0.05,rmse,False,12.0,0.130859375,10,,0.26171875,RFECA_SVR(k=10),"KNN(k=5,dist)",2.1476662234311603,2.016992315275133,0.13067390815602753,0.5636363636363637,0.26171875
discovery,mcar,0.05,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=20),"KNN(k=5,dist)",2.388047481929054,2.016992315275133,0.371055166653921,1.0,0.015625
discovery,mcar,0.05,rmse,False,0.0,0.001953125,10,,0.029296875,MissForest,"KNN(k=5,dist)",1.7610788481651167,2.016992315275133,-0.25591346711001606,-1.0,0.015625
discovery,mcar,0.1,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=5),SimpleMean,2.0960004545578665,2.8483087786082413,-0.7523083240503747,-1.0,0.015625
discovery,mcar,0.1,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=10),SimpleMean,2.250653198847436,2.8483087786082413,-0.5976555797608052,-1.0,0.015625
discovery,mcar,0.1,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=20),SimpleMean,2.4792008052240244,2.8483087786082413,-0.36910797338421686,-1.0,0.015625
discovery,mcar,0.1,rmse,False,0.0,0.001953125,10,,0.029296875,MissForest,SimpleMean,1.8333837943905078,2.8483087786082413,-1.0149249842177335,-1.0,0.015625
discovery,mcar,0.1,rmse,False,22.0,0.625,10,,0.625,RFECA_SVR(k=5),"KNN(k=5,dist)",2.0960004545578665,2.0850778545925936,0.010922599965272894,0.19999999999999996,0.625
discovery,mcar,0.1,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=10),"KNN(k=5,dist)",2.250653198847436,2.0850778545925936,0.16557534425484244,1.0,0.015625
discovery,mcar,0.1,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=20),"KNN(k=5,dist)",2.4792008052240244,2.0850778545925936,0.39412295063143077,1.0,0.015625
discovery,mcar,0.1,rmse,False,0.0,0.001953125,10,,0.029296875,MissForest,"KNN(k=5,dist)",1.8333837943905078,2.0850778545925936,-0.25169406020208585,-1.0,0.015625
discovery,mcar,0.2,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=5),SimpleMean,2.1743004675557405,2.7960689101501353,-0.6217684425943948,-1.0,0.015625
discovery,mcar,0.2,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=10),SimpleMean,2.3227051231032236,2.7960689101501353,-0.4733637870469116,-1.0,0.015625
discovery,mcar,0.2,rmse,False,1.0,0.00390625,10,,0.029296875,RFECA_SVR(k=20),SimpleMean,2.6260577692841762,2.7960689101501353,-0.17001114086595903,-0.9636363636363636,0.015625
discovery,mcar,0.2,rmse,False,0.0,0.001953125,10,,0.029296875,MissForest,SimpleMean,1.8573458378272778,2.7960689101501353,-0.9387230723228575,-1.0,0.015625
discovery,mcar,0.2,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=5),"KNN(k=5,dist)",2.1743004675557405,2.0782866261679245,0.09601384138781599,1.0,0.015625
discovery,mcar,0.2,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=10),"KNN(k=5,dist)",2.3227051231032236,2.0782866261679245,0.24441849693529916,1.0,0.015625
discovery,mcar,0.2,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=20),"KNN(k=5,dist)",2.6260577692841762,2.0782866261679245,0.5477711431162517,1.0,0.015625
discovery,mcar,0.2,rmse,False,0.0,0.001953125,10,,0.029296875,MissForest,"KNN(k=5,dist)",1.8573458378272778,2.0782866261679245,-0.22094078834064668,-1.0,0.015625
discovery,mcar,0.3,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=5),SimpleMean,2.320350083104958,2.785821428510163,-0.46547134540520485,-1.0,0.015625
discovery,mcar,0.3,rmse,False,1.0,0.00390625,10,,0.029296875,RFECA_SVR(k=10),SimpleMean,2.5591873431285808,2.785821428510163,-0.22663408538158203,-0.9636363636363636,0.015625
discovery,mcar,0.3,rmse,False,19.0,0.431640625,10,,0.431640625,RFECA_SVR(k=20),SimpleMean,2.825793539666974,2.785821428510163,0.03997211115681143,0.3090909090909091,0.431640625
discovery,mcar,0.3,rmse,False,0.0,0.001953125,10,,0.029296875,MissForest,SimpleMean,1.925343403590792,2.785821428510163,-0.8604780249193709,-1.0,0.015625
discovery,mcar,0.3,rmse,False,1.0,0.00390625,10,,0.029296875,RFECA_SVR(k=5),"KNN(k=5,dist)",2.320350083104958,2.1541714459240033,0.1661786371809546,0.9636363636363636,0.015625
discovery,mcar,0.3,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=10),"KNN(k=5,dist)",2.5591873431285808,2.1541714459240033,0.4050158972045774,1.0,0.015625
discovery,mcar,0.3,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=20),"KNN(k=5,dist)",2.825793539666974,2.1541714459240033,0.6716220937429709,1.0,0.015625
discovery,mcar,0.3,rmse,False,0.0,0.001953125,10,,0.029296875,MissForest,"KNN(k=5,dist)",1.925343403590792,2.1541714459240033,-0.2288280423332114,-1.0,0.015625
discovery,mcar,0.05,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.9955150706972308,0.991395823608008,0.004119247089222733,1.0,0.015625
discovery,mcar,0.05,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.9949992664452653,0.991395823608008,0.0036034428372572203,1.0,0.015625
discovery,mcar,0.05,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.9933479263751421,0.991395823608008,0.0019521027671340896,1.0,0.015625
discovery,mcar,0.05,corr_rv,True,0.0,0.001953125,10,,0.029296875,MissForest,SimpleMean,0.9965444435856412,0.991395823608008,0.005148619977633162,1.0,0.015625
discovery,mcar,0.05,corr_rv,True,16.0,0.275390625,10,,0.275390625,RFECA_SVR(k=5),"KNN(k=5,dist)",0.9955150706972308,0.9957050645445056,-0.00018999384727480528,-0.4181818181818182,0.275390625
discovery,mcar,0.05,corr_rv,True,6.0,0.02734375,10,,0.08203125,RFECA_SVR(k=10),"KNN(k=5,dist)",0.9949992664452653,0.9957050645445056,-0.0007057980992403179,-0.7818181818181819,0.0546875
discovery,mcar,0.05,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=20),"KNN(k=5,dist)",0.9933479263751421,0.9957050645445056,-0.0023571381693634486,-1.0,0.015625
discovery,mcar,0.05,corr_rv,True,0.0,0.001953125,10,,0.029296875,MissForest,"KNN(k=5,dist)",0.9965444435856412,0.9957050645445056,0.0008393790411356239,1.0,0.015625
discovery,mcar,0.1,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.990267457217902,0.9810641913992681,0.009203265818633843,1.0,0.015625
discovery,mcar,0.1,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.9887258934007797,0.9810641913992681,0.007661702001511506,1.0,0.015625
discovery,mcar,0.1,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.9857749182836555,0.9810641913992681,0.0047107268843873396,1.0,0.015625
discovery,mcar,0.1,corr_rv,True,0.0,0.001953125,10,,0.029296875,MissForest,SimpleMean,0.9929716829525848,0.9810641913992681,0.011907491553316607,1.0,0.015625
discovery,mcar,0.1,corr_rv,True,10.0,0.083984375,10,,0.083984375,RFECA_SVR(k=5),"KNN(k=5,dist)",0.990267457217902,0.9910019525176054,-0.0007344952997033749,-0.6363636363636364,0.083984375
discovery,mcar,0.1,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=10),"KNN(k=5,dist)",0.9887258934007797,0.9910019525176054,-0.0022760591168257127,-1.0,0.015625
discovery,mcar,0.1,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=20),"KNN(k=5,dist)",0.9857749182836555,0.9910019525176054,-0.005227034233949879,-1.0,0.015625
discovery,mcar,0.1,corr_rv,True,0.0,0.001953125,10,,0.029296875,MissForest,"KNN(k=5,dist)",0.9929716829525848,0.9910019525176054,0.0019697304349793887,1.0,0.015625
discovery,mcar,0.2,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.9770641406279326,0.9559710813457654,0.021093059282167204,1.0,0.015625
discovery,mcar,0.2,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.9723549038949544,0.9559710813457654,0.01638382254918902,1.0,0.015625
discovery,mcar,0.2,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.9654728799402583,0.9559710813457654,0.00950179859449296,1.0,0.015625
discovery,mcar,0.2,corr_rv,True,0.0,0.001953125,10,,0.029296875,MissForest,SimpleMean,0.9847160971369705,0.9559710813457654,0.028745015791205142,1.0,0.015625
