gene,status,winning_prefix_len,n_predictors_selected,winning_predictors,selection_seconds,n_candidates
ACTR3B,ok,36,18,FOXA1|FOXC1|MIA|CCNE1|CXXC5|MELK|EXO1|ANLN|KIF2C|CEP55|BLVRA|CDH3|MKI67|MYC|UBE2T|CENPF|PTTG1|SLC39A6,1592.8052456000005,49
ANLN,ok,49,24,MELK|CEP55|NDC80|UBE2T|MLPH|CENPF|NUF2|RRM2|BCL2|CDH3|EGFR|CXXC5|MIA|FOXC1|CDC6|GRB7|KRT5|FGFR4|MYBL2|BLVRA|BAG1|ORC6|MDM2|ERBB2,1547.2994154999978,49
BAG1,ok,42,21,SLC39A6|BCL2|PHGDH|MMP11|MLPH|CDC20|FOXA1|SFRP1|MDM2|KIF2C|KRT5|ORC6|BIRC5|NUF2|CEP55|RRM2|GRB7|ANLN|ACTR3B|MKI67|BLVRA,2072.1152520999967,49
BCL2,ok,49,24,ESR1|SLC39A6|EXO1|CDH3|EGFR|PHGDH|ANLN|MELK|KIF2C|UBE2C|CEP55|RRM2|PTTG1|NDC80|BAG1|MKI67|MIA|CCNB1|TYMS|CDC6|MYBL2|BLVRA|MYC|ORC6,1253.1635860000024,49
BIRC5,ok,42,21,KIF2C|CDC20|UBE2C|CEP55|EXO1|CENPF|CCNE1|MKI67|ANLN|CCNB1|NDC80|NAT1|MLPH|GPR160|PGR|CDC6|MIA|GRB7|KRT14|BLVRA|TMEM45B,1403.3973527999988,49
BLVRA,ok,43,21,ACTR3B|GPR160|MLPH|SLC39A6|PGR|MYC|ESR1|MELK|MKI67|CENPF|MAPT|CEP55|TYMS|UBE2C|CCNB1|ANLN|BCL2|MDM2|FGFR4|PTTG1|NDC80,1483.2402978000027,49
CCNB1,ok,49,24,NDC80|PTTG1|UBE2C|CENPF|CEP55|BIRC5|KIF2C|NUF2|MELK|MKI67|TYMS|CCNE1|CDC6|MLPH|MAPT|ORC6|MYBL2|FGFR4|BLVRA|MDM2|ERBB2|TMEM45B|CXXC5|FOXC1,1566.262902100003,49
CCNE1,ok,48,24,KIF2C|CDC20|MELK|EXO1|UBE2C|FOXA1|BIRC5|MLPH|MKI67|NDC80|CDH3|FOXC1|GPR160|UBE2T|TYMS|CCNB1|NUF2|RRM2|CDC6|FGFR4|GRB7|MYC|ERBB2|KRT14,1457.2922001999978,49
CDC20,ok,48,24,KIF2C|UBE2C|BIRC5|PTTG1|EXO1|MELK|CENPF|NDC80|UBE2T|SLC39A6|BCL2|GPR160|NUF2|RRM2|PGR|CDC6|ORC6|GRB7|KRT5|BAG1|KRT17|ERBB2|MYBL2|MDM2,1587.7831393000015,49
CDC6,ok,37,18,EXO1|GRB7|CEP55|ERBB2|PTTG1|BIRC5|CCNB1|KIF2C|CCNE1|ANLN|RRM2|NDC80|TYMS|NUF2|BCL2|PHGDH|MDM2|TMEM45B,1868.8697159999938,49
NUF2,ok,43,21,NDC80|CEP55|UBE2T|CCNB1|ANLN|UBE2C|MELK|EXO1|PTTG1|KIF2C|BIRC5|TYMS|CDC20|MLPH|MKI67|CCNE1|RRM2|MIA|MYBL2|TMEM45B|CDH3,1648.6131188,49
