mechanism,rate_pct,rmse_winner,f1_winner,OriginalRFECA_rmse_rank,OriginalRFECA_f1_rank,delta_rmse_vs_MF,delta_f1_vs_MF,delta_rmse_vs_KNN,delta_f1_vs_KNN,delta_rmse_vs_Mean,delta_f1_vs_Mean
MCAR,5,OriginalRFECA,OriginalRFECA,1,1,-0.0046167925330012904,0.0008827754312334957,-0.06688391565428109,0.0008713796751067537,-0.45410838932326514,0.0033546243148354637
MCAR,10,OriginalRFECA,MissForest,1,2,-0.008951842720429815,-0.001543232213636614,-0.07683173533598309,0.0014492855939950422,-0.44863562287452297,0.0023235064326020405
MCAR,20,OriginalRFECA,OriginalRFECA,1,1,-0.0228764629047703,0.0018062015308408785,-0.09530785807636322,0.00684213412954815,-0.453269641836475,0.009910137867697899
MCAR,30,OriginalRFECA,OriginalRFECA,1,1,-0.031939045034463764,0.00612483827342325,-0.11232472963461959,0.014122429551843951,-0.44754427715852296,0.01726387792928763
MAR,5,MissForest,OriginalRFECA,2,1,0.012348184947077234,0.0018846501719241848,-0.058271313093760435,0.0021289286505006277,-0.5274687561603573,0.0017421905820060868
MAR,10,OriginalRFECA,MissForest,1,2,-0.003955882210094797,-0.00026879892744535727,-0.07103258494834463,0.0010552894953778091,-0.5213805228550896,0.00458082599693288
MAR,20,OriginalRFECA,OriginalRFECA,1,1,-0.03242657694483575,0.005741043555063108,-0.11102254398104616,0.004365217211640182,-0.5093884174201746,0.01296163165972719
MAR,30,OriginalRFECA,OriginalRFECA,1,1,-0.0657675757745857,0.011846006386434627,-0.21721651910932827,0.024219525693111255,-0.5035094759490614,0.02444486389351419
