gene,status,winning_prefix_len,n_predictors_selected,winning_predictors,selection_seconds,n_candidates
ACTR3B,ok,42,21,FOXA1|MLPH|FOXC1|MIA|CXXC5|CCNE1|MELK|EXO1|KIF2C|ANLN|CEP55|BLVRA|NDC80|MKI67|MYC|UBE2T|SLC39A6|PTTG1|CENPF|KRT14|ERBB2,1972.6018678000255,49
ANLN,ok,44,22,MELK|CEP55|EXO1|NDC80|UBE2C|UBE2T|KIF2C|MLPH|NUF2|FOXA1|RRM2|BCL2|CDH3|EGFR|CXXC5|GPR160|MIA|FOXC1|CDC6|FGFR4|BLVRA|ORC6,1913.9333565999987,49
BAG1,ok,49,24,SLC39A6|BCL2|PHGDH|MMP11|MLPH|CCNE1|CDC20|FOXA1|SFRP1|MDM2|KIF2C|NAT1|KRT5|PTTG1|CEP55|ORC6|RRM2|NUF2|MELK|ANLN|MKI67|BLVRA|CCNB1|TYMS,2551.554983499984,49
BCL2,ok,49,24,ESR1|SLC39A6|CDH3|EXO1|EGFR|ANLN|MELK|CDC20|KIF2C|FOXA1|UBE2C|MLPH|CEP55|RRM2|UBE2T|BAG1|MKI67|GPR160|MIA|TYMS|CDC6|MYBL2|MYC|ORC6,1545.2893683000002,49
BIRC5,ok,38,19,KIF2C|CDC20|UBE2C|CEP55|EXO1|MKI67|CCNE1|ANLN|CCNB1|NDC80|FOXA1|MLPH|GPR160|SLC39A6|PGR|CDH3|CDC6|MIA|GRB7,1744.900121899991,49
BLVRA,ok,43,21,ACTR3B|GPR160|MLPH|MIA|SLC39A6|PGR|MYC|ESR1|KIF2C|CDC20|MELK|MKI67|CENPF|MAPT|TYMS|UBE2C|CCNB1|ANLN|MDM2|FGFR4|NDC80,1760.536542900023,49
CCNB1,ok,49,24,NDC80|PTTG1|UBE2C|CEP55|CENPF|BIRC5|NUF2|MELK|MKI67|TYMS|CCNE1|CDC6|MAPT|KRT14|ORC6|MYBL2|BLVRA|KRT17|MDM2|TMEM45B|EGFR|CXXC5|BAG1|FOXC1,2012.4146056000027,49
CCNE1,ok,44,22,KIF2C|MELK|EXO1|FOXA1|UBE2C|BIRC5|MLPH|PTTG1|MKI67|NDC80|FOXC1|GPR160|EGFR|UBE2T|CCNB1|MIA|NUF2|CDC6|FGFR4|GRB7|MYC|ERBB2,1712.6558584999875,49
CDC20,ok,45,22,KIF2C|UBE2C|CEP55|BIRC5|PTTG1|MELK|CENPF|ANLN|NDC80|UBE2T|SLC39A6|BCL2|GPR160|NUF2|RRM2|PGR|ORC6|GRB7|KRT5|KRT17|MYBL2|ERBB2,1875.4644224000222,49
CDC6,ok,29,14,EXO1|CEP55|ERBB2|PTTG1|BIRC5|CCNB1|KIF2C|MKI67|ANLN|RRM2|NAT1|TYMS|PHGDH|SLC39A6,2328.9885017000197,49
NUF2,ok,45,22,NDC80|CCNB1|UBE2T|CEP55|ANLN|UBE2C|MELK|EXO1|PTTG1|KIF2C|TYMS|CDC20|MLPH|CCNE1|MIA|MYBL2|TMEM45B|GPR160|FOXC1|CDH3|KRT5|ORC6,2052.0108410000103,49
CDH3,ok,49,24,KRT17|EGFR|KRT5|MLPH|CCNE1|BCL2|SFRP1|MIA|KIF2C|EXO1|ANLN|CXXC5|KRT14|ACTR3B|UBE2C|BIRC5|PTTG1|GRB7|BAG1|NUF2|CDC6|CCNB1|MMP11|TMEM45B,1428.4126380000089,49
CENPF,ok,48,24,UBE2C|EXO1|CEP55|KIF2C|CDC20|PTTG1|MKI67|UBE2T|CCNB1|NUF2|TYMS|MLPH|NAT1|BCL2|RRM2|FOXC1|GRB7|EGFR|BLVRA|ERBB2|BAG1|MYBL2|TMEM45B|MDM2,1790.8688969000068,49
CEP55,ok,48,24,UBE2C|MELK|KIF2C|PTTG1|EXO1|ANLN|BIRC5|CENPF|UBE2T|MKI67|NDC80|CCNB1|NUF2|MLPH|FOXA1|BCL2|GPR160|CDC6|FOXC1|KRT5|MYBL2|KRT14|TMEM45B|ORC6,2081.5310403999756,49
CXXC5,ok,48,24,ESR1|MLPH|FOXC1|MAPT|ACTR3B|PHGDH|ANLN|MIA|CCNE1|NDC80|EXO1|GPR160|KIF2C|MYC|TYMS|CEP55|CDC20|BLVRA|UBE2T|PTTG1|MKI67|UBE2C|TMEM45B|CCNB1,1773.1684554000094,49
EGFR,ok,42,21,ESR1|CDH3|FOXA1|FOXC1|KRT5|CXXC5|SFRP1|CCNE1|PHGDH|ANLN|MIA|CDC20|EXO1|NDC80|MKI67|UBE2C|RRM2|PTTG1|KRT14|MDM2|NUF2,2234.014863499993,49
ERBB2,ok,47,23,GRB7|FGFR4|CDC6|MYC|ESR1|FOXA1|SLC39A6|MIA|NAT1|ACTR3B|TYMS|MAPT|CCNE1|EXO1|CENPF|UBE2C|CDC20|GPR160|MELK|BAG1|KIF2C|UBE2T|MKI67,1737.5683569000103,49
ESR1,ok,43,21,BCL2|FOXA1|SLC39A6|MLPH|EGFR|CXXC5|MELK|KIF2C|NDC80|UBE2C|PTTG1|FGFR4|GRB7|MKI67|RRM2|UBE2T|NUF2|BAG1|BLVRA|MDM2|CCNB1,1417.5719137999986,49
EXO1,ok,36,18,CEP55|MELK|KIF2C|UBE2C|CDC20|CENPF|BIRC5|UBE2T|CCNE1|MKI67|NDC80|TYMS|PHGDH|BCL2|NUF2|ACTR3B|CDC6|MIA,2068.9590472000127,49
FGFR4,ok,49,24,ERBB2|SLC39A6|BCL2|ESR1|PGR|TMEM45B|CCNE1|EXO1|UBE2C|CEP55|CDC6|MELK|MKI67|CENPF|PTTG1|CCNB1|UBE2T|BAG1|BLVRA|MDM2|NDC80|MYBL2|FOXA1|MLPH,1565.0375225000025,49
FOXA1,ok,42,21,MLPH|FOXC1|ESR1|MIA|CCNE1|ACTR3B|GPR160|KIF2C|MELK|CEP55|ANLN|EXO1|NDC80|UBE2C|BCL2|PTTG1|MKI67|UBE2T|RRM2|ERBB2|BAG1,1954.2756597000116,49
FOXC1,ok,47,23,FOXA1|SFRP1|KRT17|ACTR3B|CCNE1|CXXC5|CDC20|KIF2C|EXO1|MKI67|ANLN|CEP55|PGR|NDC80|CENPF|PTTG1|ERBB2|UBE2T|RRM2|ORC6|MDM2|FGFR4|MYBL2,1466.9916219000006,49
GPR160,ok,49,24,FOXA1|CCNE1|CDC20|NAT1|KIF2C|BIRC5|EGFR|MKI67|BLVRA|CEP55|MELK|UBE2C|ANLN|CXXC5|NDC80|MYC|BCL2|PGR|ORC6|UBE2T|CDC6|MMP11|MYBL2|FGFR4,1538.1561572999926,49
GRB7,ok,46,23,ERBB2|CDC6|BCL2|ESR1|NAT1|MAPT|TMEM45B|MELK|CDC20|CCNE1|KIF2C|CENPF|ANLN|UBE2T|PTTG1|BIRC5|MKI67|CCNB1|MYC|MDM2|MIA|BAG1|NDC80,1623.7371046000044,49
KIF2C,ok,43,21,CDC20|UBE2C|CEP55|EXO1|PTTG1|MELK|BIRC5|MKI67|NDC80|UBE2T|PHGDH|NUF2|BCL2|RRM2|PGR|MIA|CDC6|CXXC5|ORC6|MYBL2|BAG1,1985.2018637,49
NDC80,ok,49,24,ANLN|CEP55|CCNB1|PTTG1|NUF2|UBE2T|UBE2C|TYMS|EXO1|MLPH|CCNE1|FOXA1|MKI67|RRM2|CXXC5|FOXC1|CDH3|MYC|MMP11|MYBL2|KRT17|MDM2|KRT14|BAG1,2190.048466899985,49
KRT14,ok,49,24,KRT17|KRT5|SFRP1|MIA|FOXC1|FOXA1|MLPH|CXXC5|EGFR|ACTR3B|GPR160|BIRC5|UBE2T|CDC6|CEP55|MYBL2|NUF2|ERBB2|KIF2C|GRB7|NDC80|ORC6|TYMS|ANLN,1888.0017866000126,49
KRT17,ok,6,3,KRT5|KRT14|CDH3,1660.5325412999955,49
KRT5,ok,48,24,KRT17|KRT14|SFRP1|FOXC1|FOXA1|CDH3|MIA|EGFR|ACTR3B|PHGDH|CCNE1|BLVRA|SLC39A6|BCL2|EXO1|NDC80|CEP55|TMEM45B|MDM2|MKI67|NUF2|CENPF|ORC6|UBE2T,2048.010498699994,49
MAPT,ok,47,23,ESR1|MLPH|NAT1|EXO1|PGR|KIF2C|CDC20|CXXC5|UBE2C|PTTG1|NDC80|FOXC1|MKI67|CENPF|GRB7|TYMS|RRM2|CCNB1|BAG1|ERBB2|BLVRA|MYBL2|MYC,1251.738136800006,49
MDM2,ok,46,23,SLC39A6|SFRP1|ESR1|KRT5|RRM2|TYMS|PHGDH|FOXC1|BAG1|GRB7|PTTG1|UBE2C|CDC6|MIA|MMP11|UBE2T|CEP55|CDC20|PGR|NDC80|KIF2C|MKI67|EXO1,2723.5927566000028,49
MELK,ok,47,23,CEP55|UBE2C|EXO1|KIF2C|ANLN|CDC20|UBE2T|CCNE1|TYMS|MKI67|RRM2|CCNB1|BCL2|ACTR3B|GPR160|MIA|MYC|KRT5|TMEM45B|FGFR4|ORC6|BAG1|KRT14,1840.9255957999849,49
MIA,ok,44,22,FOXA1|SFRP1|KRT5|ACTR3B|KRT17|KRT14|CDH3|EGFR|CCNE1|CXXC5|ANLN|NDC80|TYMS|BIRC5|EXO1|NUF2|ERBB2|PTTG1|MKI67|MMP11|MYBL2|GRB7,2081.380807199981,49
MKI67,ok,45,22,CEP55|KIF2C|EXO1|CENPF|MELK|PTTG1|ANLN|NDC80|NUF2|MLPH|GPR160|ACTR3B|FOXC1|RRM2|BCL2|ORC6|FGFR4|MIA|KRT5|TMEM45B|MYC|KRT17,2033.583892499999,49
MLPH,ok,42,21,FOXA1|ANLN|NDC80|MELK|CXXC5|CEP55|KIF2C|CDH3|GPR160|EXO1|CDC20|EGFR|PTTG1|TYMS|UBE2T|MKI67|MYC|CENPF|BLVRA|TMEM45B|BAG1,1508.8325636000081,49
MMP11,ok,48,24,SFRP1|NUF2|BAG1|MIA|NDC80|CXXC5|ERBB2|BCL2|GRB7|MKI67|MDM2|UBE2T|KIF2C|CDH3|MLPH|RRM2|TYMS|GPR160|CCNE1|MYBL2|ANLN|MELK|CENPF|PTTG1,1050.1435539000086,49
MYBL2,ok,33,16,NUF2|UBE2C|CEP55|CCNB1|MIA|RRM2|KIF2C|NDC80|BCL2|KRT14|CDC20|PTTG1|EXO1|CENPF|UBE2T|SFRP1,2217.2796798000054,49
MYC,ok,49,24,TYMS|MLPH|TMEM45B|ACTR3B|SFRP1|FOXC1|RRM2|MIA|GPR160|ERBB2|MELK|UBE2T|NDC80|NAT1|FGFR4|ORC6|CCNE1|GRB7|MAPT|MKI67|PHGDH|CDC6|BCL2|CENPF,1375.3478465999942,49
NAT1,ok,49,24,ESR1|SLC39A6|CDC20|MAPT|UBE2C|BIRC5|CEP55|PGR|MELK|GPR160|ANLN|CENPF|GRB7|FGFR4|CXXC5|UBE2T|BLVRA|CDC6|MYC|NUF2|ERBB2|ORC6|BAG1|TMEM45B,1074.047282399988,49
ORC6,ok,44,22,CDC20|SLC39A6|MKI67|TMEM45B|GPR160|UBE2C|RRM2|CCNB1|CCNE1|EXO1|FOXC1|CEP55|BAG1|KRT5|NUF2|PTTG1|MELK|MLPH|MYBL2|KRT14|MIA|EGFR,1707.2547134000051,49
PGR,ok,47,23,MAPT|NAT1|KIF2C|UBE2C|CDC20|CEP55|BIRC5|EXO1|PTTG1|ANLN|FGFR4|MKI67|NDC80|BLVRA|RRM2|ERBB2|KRT5|CDC6|MIA|ORC6|MYC|MYBL2|MDM2,1340.9931617999973,49
