cohort,mechanism,missing_rate,metric,higher_is_better,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,wilcoxon_stat,p_value,rank_biserial_r,n_pairs,n_boot,note,p_holm
metabric,mcar,0.2,f1_macro,True,SimpleMean,RFECA_SVR(k=10),0.8660736598153809,0.8699883418704252,-0.0039146820550443,-0.0066751241262724,-0.0009823718686095,7.0,0.037109375,-0.7454545454545454,10,5000,,0.296875
metabric,mcar,0.2,f1_macro,True,SimpleMean,RFECA_SVR(k=20),0.8660736598153809,0.8748686891553614,-0.0087950293399804,-0.0116177287021286,-0.0057976373041125,0.0,0.001953125,-1.0,10,5000,,0.029296875
metabric,mcar,0.2,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=5),0.8691416635535306,0.8699658920139648,-0.0008242284604339,-0.003357752195255,0.0014953584810981,21.0,0.556640625,-0.2363636363636363,10,5000,,1.0
metabric,mcar,0.2,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=10),0.8691416635535306,0.8699883418704252,-0.0008466783168944,-0.0041529939192271,0.0025188571655833,24.0,0.76953125,-0.1272727272727272,10,5000,,1.0
metabric,mcar,0.2,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=20),0.8691416635535306,0.8748686891553614,-0.0057270256018306,-0.0089075365359167,-0.0028943370051718,2.0,0.005859375,-0.9272727272727272,10,5000,,0.076171875
metabric,mcar,0.2,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.8699658920139648,0.8699883418704252,-2.244985646050468e-05,-0.0022490391703293,0.0020438167685636,26.0,0.921875,0.0545454545454545,10,5000,,1.0
metabric,mcar,0.2,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.8699658920139648,0.8748686891553614,-0.0049027971413966,-0.0076937313867975,-0.0020120593496697,5.0,0.01953125,-0.8181818181818181,10,5000,,0.17578125
metabric,mcar,0.2,f1_macro,True,RFECA_SVR(k=5),MissForest,0.8699658920139648,0.8741775961522379,-0.0042117041382731,-0.0067400495090993,-0.0014967079006973,7.0,0.037109375,-0.7454545454545454,10,5000,,0.296875
metabric,mcar,0.2,f1_macro,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.8699883418704252,0.8748686891553614,-0.0048803472849361,-0.0071313249435341,-0.0026620275291469,2.0,0.005859375,-0.9272727272727272,10,5000,,0.076171875
metabric,mcar,0.2,f1_macro,True,RFECA_SVR(k=10),MissForest,0.8699883418704252,0.8741775961522379,-0.0041892542818126,-0.0081033312072952,-0.0001724127839567,11.0,0.10546875,-0.6000000000000001,10,5000,,0.52734375
metabric,mcar,0.2,f1_macro,True,RFECA_SVR(k=20),MissForest,0.8748686891553614,0.8741775961522379,0.0006910930031235,-0.0024068544311089,0.0039443110186558,23.0,0.6953125,0.1636363636363637,10,5000,,1.0
