cohort,mechanism,missing_rate,metric,higher_is_better,wilcoxon_stat,p_value,n_pairs,n_boot,note,p_holm,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,rank_biserial_r,p_holm_primary_family
metabric,mcar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.6778398115407647,1.0667378370555554,-0.3888980255147907,-0.4007283441643008,-0.3760660407996745,-1.0,0.015625
metabric,mcar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.6734393084175554,1.0667378370555554,-0.3932985286379999,-0.4024617855877379,-0.3833339917389978,-1.0,0.015625
metabric,mcar,0.05,rmse,False,5.0,0.01953125,10,5000,,0.078125,RFECA_SVR(k=5),"KNN(k=5,dist)",0.6931456736171708,0.6795133633865713,0.0136323102305995,0.0066957978271458,0.0199841221974727,0.8181818181818181,0.05859375
metabric,mcar,0.05,rmse,False,23.0,0.6953125,10,5000,,0.6953125,RFECA_SVR(k=10),"KNN(k=5,dist)",0.6778398115407647,0.6795133633865713,-0.0016735518458066,-0.0085090161314593,0.0046315347280174,-0.1636363636363637,0.6953125
metabric,mcar,0.05,rmse,False,10.0,0.083984375,10,5000,,0.16796875,RFECA_SVR(k=20),"KNN(k=5,dist)",0.6734393084175554,0.6795133633865713,-0.0060740549690158,-0.0120148885413229,0.0002098286135061,-0.6363636363636364,0.16796875
metabric,mcar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.7057575081677976,1.0632839529894025,-0.3575264448216045,-0.3653789855688157,-0.3500682779896911,-1.0,0.015625
metabric,mcar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.6890601949888076,1.0632839529894025,-0.3742237580005946,-0.3825222734857683,-0.3667178493510083,-1.0,0.015625
metabric,mcar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.6858574707692758,1.0632839529894025,-0.3774264822201262,-0.385925814312983,-0.3703135673573117,-1.0,0.015625
metabric,mcar,0.1,rmse,False,1.0,0.00390625,10,5000,,0.029296875,RFECA_SVR(k=5),"KNN(k=5,dist)",0.7057575081677976,0.6914800654508626,0.0142774427169349,0.0085819586667536,0.0204657878740839,0.9636363636363636,0.015625
metabric,mcar,0.1,rmse,False,16.0,0.275390625,10,5000,,0.275390625,RFECA_SVR(k=10),"KNN(k=5,dist)",0.6890601949888076,0.6914800654508626,-0.0024198704620551,-0.0075246741502393,0.0026870118549655,-0.4181818181818182,0.275390625
metabric,mcar,0.1,rmse,False,12.0,0.130859375,10,5000,,0.26171875,RFECA_SVR(k=20),"KNN(k=5,dist)",0.6858574707692758,0.6914800654508626,-0.0056225946815867,-0.0116819473166112,0.0004998559533141,-0.5636363636363637,0.26171875
