gene,status,winning_prefix_len,n_predictors_selected,winning_predictors,selection_seconds,n_candidates
ACTR3B,ok,49,24,FOXA1|MLPH|FOXC1|MIA|CXXC5|CCNE1|MELK|EXO1|KRT5|ANLN|BLVRA|KIF2C|CEP55|CDH3|MYC|MKI67|PTTG1|SLC39A6|ERBB2|KRT14|MYBL2|MDM2|CDC6|GRB7,1062.6348151999991,49
ANLN,ok,49,24,MELK|CEP55|NDC80|EXO1|UBE2C|UBE2T|KIF2C|CDC20|MLPH|CENPF|NUF2|FOXA1|BCL2|RRM2|EGFR|CDH3|MIA|CDC6|FOXC1|FGFR4|MYBL2|TMEM45B|BLVRA|BAG1,1134.1906411999953,49
BAG1,ok,41,20,SLC39A6|PHGDH|MMP11|MLPH|CDC20|FOXA1|MDM2|EXO1|KIF2C|SFRP1|KRT5|PTTG1|ERBB2|NUF2|CDC6|ORC6|GRB7|MELK|RRM2|MKI67,1420.612661799998,49
BCL2,ok,49,24,ESR1|SLC39A6|EXO1|ANLN|CDH3|PHGDH|CDC20|KIF2C|FOXA1|MLPH|FGFR4|UBE2C|RRM2|CEP55|PTTG1|UBE2T|BAG1|MKI67|GPR160|MIA|TYMS|MMP11|MYBL2|ORC6,856.8823063000018,49
BIRC5,ok,34,17,KIF2C|CDC20|UBE2C|CEP55|EXO1|MKI67|CCNE1|ANLN|CCNB1|NDC80|FOXA1|MLPH|GPR160|RRM2|CDC6|CDH3|MIA,856.8589355000004,49
BLVRA,ok,47,23,GPR160|ACTR3B|MLPH|MIA|SLC39A6|CCNE1|PGR|MYC|ESR1|MKI67|CDC20|CCNB1|CENPF|TYMS|FGFR4|MDM2|MAPT|NUF2|UBE2C|BCL2|ANLN|UBE2T|MYBL2,921.0589995000046,49
CCNB1,ok,45,22,NDC80|PTTG1|UBE2C|CEP55|BIRC5|CENPF|NUF2|UBE2T|MELK|MKI67|TYMS|CCNE1|CDC6|MAPT|BCL2|PHGDH|GRB7|MYBL2|BLVRA|MDM2|CXXC5|CDH3,1082.7749361999886,49
CCNE1,ok,48,24,KIF2C|EXO1|MELK|UBE2C|BIRC5|FOXA1|MLPH|MKI67|NDC80|CDH3|GPR160|FOXC1|UBE2T|TYMS|CCNB1|NUF2|RRM2|MIA|CDC6|FGFR4|GRB7|ERBB2|MYC|MDM2,932.8108484999975,49
CDC20,ok,42,21,KIF2C|UBE2C|BIRC5|PTTG1|MELK|EXO1|CENPF|NDC80|UBE2T|MLPH|BCL2|GPR160|PGR|FOXC1|RRM2|CDC6|CXXC5|GRB7|ORC6|MIA|ERBB2,1054.1998037000012,49
CDC6,ok,39,19,EXO1|CEP55|ERBB2|PTTG1|CDC20|BIRC5|CCNE1|KIF2C|ANLN|NDC80|MAPT|ESR1|MLPH|MDM2|GPR160|TMEM45B|FOXA1|CDH3|MYC,1264.2621354000003,49
NUF2,ok,46,23,NDC80|UBE2T|CCNB1|ANLN|CEP55|UBE2C|MELK|EXO1|PTTG1|KIF2C|TYMS|MLPH|CDC20|RRM2|CCNE1|MYBL2|TMEM45B|MIA|EGFR|CDH3|BLVRA|MDM2|KRT5,1107.7778403999982,49
CDH3,ok,49,24,EGFR|KRT17|MLPH|KRT5|CCNE1|BCL2|SFRP1|MIA|CXXC5|CDC20|KIF2C|ANLN|EXO1|ACTR3B|GRB7|PTTG1|UBE2T|BAG1|MDM2|NUF2|CDC6|MMP11|TMEM45B|CCNB1,791.654243500001,49
CENPF,ok,45,22,UBE2C|EXO1|CEP55|CDC20|MELK|MKI67|UBE2T|CCNB1|ANLN|NDC80|TYMS|MLPH|GRB7|RRM2|KRT14|FOXC1|ERBB2|BLVRA|EGFR|BAG1|KRT5|MYC,958.9010553999979,49
CEP55,ok,41,20,UBE2C|MELK|KIF2C|PTTG1|EXO1|ANLN|BIRC5|CENPF|MKI67|NDC80|CCNB1|MLPH|NUF2|BCL2|CDC6|GPR160|CXXC5|FOXC1|MYBL2|TMEM45B,1127.3960565000016,49
CXXC5,ok,49,24,ESR1|MLPH|FOXC1|MAPT|PHGDH|ACTR3B|ANLN|MIA|CCNE1|NDC80|KIF2C|GPR160|CDC20|CEP55|UBE2T|BLVRA|TYMS|RRM2|PTTG1|MMP11|UBE2C|CCNB1|CDC6|MYBL2,941.7479616000055,49
EGFR,ok,45,22,ESR1|CDH3|FOXA1|KRT5|BCL2|FOXC1|SFRP1|PHGDH|CCNE1|ANLN|CDC20|EXO1|MIA|KIF2C|CEP55|PTTG1|KRT14|BLVRA|UBE2C|CENPF|NUF2|CDC6,1284.0798663000023,49
ERBB2,ok,47,23,GRB7|FGFR4|CDC6|MYC|NAT1|MIA|MAPT|FOXA1|CCNE1|TYMS|EXO1|ACTR3B|FOXC1|UBE2C|CENPF|NDC80|ORC6|KIF2C|CCNB1|MKI67|GPR160|CEP55|UBE2T,944.5324763000099,49
ESR1,ok,35,17,BCL2|SLC39A6|FOXA1|EGFR|MAPT|CXXC5|MELK|CEP55|FGFR4|GRB7|UBE2C|PTTG1|NDC80|RRM2|MKI67|ERBB2|UBE2T,744.0491861000046,49
EXO1,ok,29,14,MELK|CEP55|KIF2C|UBE2C|CDC20|CENPF|BIRC5|UBE2T|CCNE1|NDC80|BCL2|PHGDH|ACTR3B|CDC6,1150.2624472000025,49
