stage,imputer,model,missing_rate,replicate,fold,f1_macro,bal_acc,n_train,n_test,train_class_distribution,test_class_distribution,n_unique_predictions,degenerate_single_class_preds,f1_LumA,precision_LumA,recall_LumA,f1_LumB,precision_LumB,recall_LumB,f1_Her2,precision_Her2,recall_Her2,f1_Basal,precision_Basal,recall_Basal,seed,protocol,imputer_display,mechanism
classification,OriginalRFECA,EnsembleSoft,0.2,3,1,0.8615764585404054,0.858469089390142,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9111111111111111,0.9461538461538461,0.8785714285714286,0.8823529411764706,0.8256880733944955,0.9473684210526315,0.7956989247311828,0.7708333333333334,0.8222222222222222,0.8571428571428571,0.9428571428571428,0.7857142857142857,3200051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,EnsembleSoft,0.2,3,2,0.9011411186908804,0.8902986633249792,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.926829268292683,0.9047619047619048,0.95,0.8888888888888888,0.8936170212765957,0.8842105263157894,0.8505747126436781,0.8809523809523809,0.8222222222222222,0.9382716049382716,0.9743589743589743,0.9047619047619048,3200051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,EnsembleSoft,0.2,3,3,0.866393242757436,0.8602234753550543,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.916083916083916,0.8972602739726028,0.9357142857142857,0.8342245989304813,0.8478260869565217,0.8210526315789474,0.7640449438202247,0.7727272727272727,0.7555555555555555,0.9512195121951219,0.975,0.9285714285714286,3200051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,EnsembleSoft,0.2,3,4,0.8760642414860682,0.8662520121441817,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9263157894736842,0.9103448275862069,0.9428571428571428,0.875,0.865979381443299,0.8842105263157894,0.7529411764705882,0.8,0.7111111111111111,0.95,0.9743589743589743,0.926829268292683,3200051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,EnsembleSoft,0.2,3,5,0.8528091536197338,0.8350934153565732,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9146757679180887,0.8758169934640523,0.9571428571428572,0.8465608465608465,0.851063829787234,0.8421052631578947,0.7,0.7777777777777778,0.6363636363636364,0.95,1.0,0.9047619047619048,3200051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,SVC,0.2,3,1,0.8495389509060294,0.842000835421888,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.898876404494382,0.9448818897637795,0.8571428571428571,0.8530805687203792,0.7758620689655172,0.9473684210526315,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.868421052631579,0.9705882352941176,0.7857142857142857,3200051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,SVC,0.2,3,2,0.8977557935891269,0.8887635756056809,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9370629370629371,0.9178082191780822,0.9571428571428572,0.8994708994708994,0.9042553191489362,0.8947368421052632,0.8409090909090909,0.8604651162790697,0.8222222222222222,0.9135802469135802,0.9487179487179487,0.8809523809523809,3200051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,SVC,0.2,3,3,0.8686731439890418,0.8592836257309941,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.8989547038327527,0.8775510204081632,0.9214285714285714,0.8359788359788359,0.8404255319148937,0.8315789473684211,0.8,0.85,0.7555555555555555,0.9397590361445783,0.9512195121951219,0.9285714285714286,3200051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,SVC,0.2,3,4,0.8770066273932253,0.8717135827373311,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9214285714285714,0.9214285714285714,0.9214285714285714,0.8865979381443299,0.8686868686868687,0.9052631578947369,0.75,0.7674418604651163,0.7333333333333333,0.95,0.9743589743589743,0.926829268292683,3200051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,SVC,0.2,3,5,0.8594188389012136,0.8395648211437684,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9072164948453608,0.8741721854304636,0.9428571428571428,0.84375,0.8350515463917526,0.8526315789473684,0.75,0.8333333333333334,0.6818181818181818,0.9367088607594937,1.0,0.8809523809523809,3200051,post_target_wise_impute,RFECA,mcar
