mechanism,missing_rate,method,metric,mean,std,ci95_low,ci95_high,n_replications
MAR,0.05,Mean,corr_rv,0.9878405996994146,0.0009806288422509598,0.9871391000849163,0.9885420993139129,10
MAR,0.05,KNN,corr_rv,0.9943017860791958,0.0006072690677764203,0.9938673719577796,0.994736200200612,10
MAR,0.05,RFECA-k5,corr_rv,0.9936628057456757,0.001268799622127964,0.9927551611736934,0.9945704503176579,10
MAR,0.05,RFECA-k10,corr_rv,0.9922723901812829,0.0011674304113279653,0.9914372607742993,0.9931075195882665,10
MAR,0.05,RFECA-k20,corr_rv,0.9899348508292555,0.0020971811171869117,0.9884346178340045,0.9914350838245064,10
MAR,0.05,MissForest,corr_rv,0.9953590366828836,0.0004821361548331581,0.9950141372549056,0.9957039361108616,10
MAR,0.1,Mean,corr_rv,0.9767277308923916,0.0012155286077806437,0.9758581941084108,0.9775972676763725,10
MAR,0.1,KNN,corr_rv,0.9881625295888018,0.000706483155142797,0.9876571419848185,0.9886679171927851,10
MAR,0.1,RFECA-k5,corr_rv,0.9867367373314815,0.001285020245733415,0.985817489224384,0.987655985438579,10
MAR,0.1,RFECA-k10,corr_rv,0.984118505000293,0.0015304697887395515,0.9830236728675387,0.9852133371330473,10
MAR,0.1,RFECA-k20,corr_rv,0.9794746924902071,0.002680995364994831,0.9775568239409828,0.9813925610394315,10
MAR,0.1,MissForest,corr_rv,0.9902940253436092,0.0007926940387770645,0.9897269661886483,0.9908610844985701,10
MAR,0.2,Mean,corr_rv,0.948716014990462,0.0032540624173715066,0.9463881989677357,0.9510438310131882,10
MAR,0.2,KNN,corr_rv,0.9767158685511621,0.002115113385258434,0.9752028075841065,0.9782289295182177,10
MAR,0.2,RFECA-k5,corr_rv,0.9718248027986197,0.003045499392272962,0.9696461837762278,0.9740034218210116,10
MAR,0.2,RFECA-k10,corr_rv,0.9663473544422615,0.0020918143154955316,0.9648509606256634,0.9678437482588595,10
MAR,0.2,RFECA-k20,corr_rv,0.9533145528376433,0.0028838056219242865,0.9512516025705228,0.9553775031047639,10
MAR,0.2,MissForest,corr_rv,0.9819462641031208,0.001555081525750371,0.9808338257943279,0.9830587024119137,10
MAR,0.3,Mean,corr_rv,0.9116598357490139,0.0028909400515076643,0.9095917818184207,0.913727889679607,10
MAR,0.3,KNN,corr_rv,0.9633384089117574,0.002592476380226313,0.9614838630295967,0.9651929547939181,10
MAR,0.3,RFECA-k5,corr_rv,0.9463820415615005,0.009435153972602181,0.939632539008303,0.953131544114698,10
MAR,0.3,RFECA-k10,corr_rv,0.9295804394756875,0.009823764798105301,0.9225529414847313,0.9366079374666436,10
MAR,0.3,RFECA-k20,corr_rv,0.9139264296406088,0.010440495317067163,0.9064577492137904,0.9213951100674271,10
MAR,0.3,MissForest,corr_rv,0.9711386610011562,0.0021629447746959775,0.9695913835193443,0.9726859384829681,10
MAR,0.05,Mean,f1_macro,0.9220299644799645,0.01861808347182112,0.908711389892459,0.9353485390674701,10
