dataset,mechanism,missing_rate,method,replication,metric,value,seed_scheme,artifact
CPTAC 2C,MCAR,0.05,KNN,2,bal_acc,0.925,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,2,precision_macro,0.9536904761904761,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,2,recall_macro,0.925,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,3,f1_macro,0.9146631629240325,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,3,bal_acc,0.9166666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,3,precision_macro,0.9553571428571429,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,3,recall_macro,0.9166666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,4,f1_macro,0.9369647502256198,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,4,bal_acc,0.9333333333333332,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,4,precision_macro,0.9661904761904762,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,4,recall_macro,0.9333333333333332,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,5,f1_macro,0.9131025254938299,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,5,bal_acc,0.9083333333333334,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,5,precision_macro,0.9495238095238095,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,5,recall_macro,0.9083333333333332,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,6,f1_macro,0.9182526290134987,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,6,bal_acc,0.9083333333333334,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,6,precision_macro,0.9584981684981685,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,6,recall_macro,0.9083333333333332,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,7,f1_macro,0.9459820976125324,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,7,bal_acc,0.9416666666666668,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,7,precision_macro,0.9726648351648353,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,7,recall_macro,0.9416666666666667,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,8,f1_macro,0.9369647502256198,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,8,bal_acc,0.9333333333333332,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,8,precision_macro,0.9661904761904762,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,8,recall_macro,0.9333333333333332,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,9,f1_macro,0.9109820976125323,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,9,bal_acc,0.9083333333333332,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,9,precision_macro,0.9559981684981684,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,KNN,9,recall_macro,0.9083333333333334,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,0,f1_macro,0.9397433122433123,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,0,bal_acc,0.9291666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,0,precision_macro,0.9751648351648351,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,0,recall_macro,0.9291666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,1,f1_macro,0.934107607368477,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,1,bal_acc,0.9208333333333334,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,1,precision_macro,0.9745238095238096,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,1,recall_macro,0.9208333333333332,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,2,f1_macro,0.9293154309458658,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,2,bal_acc,0.9291666666666668,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,2,precision_macro,0.9601648351648352,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,2,recall_macro,0.9291666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,3,f1_macro,0.934107607368477,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,3,bal_acc,0.9208333333333334,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,3,precision_macro,0.9745238095238096,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,3,recall_macro,0.9208333333333332,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,4,f1_macro,0.9155766455766455,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,4,bal_acc,0.8958333333333334,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,4,precision_macro,0.9674725274725274,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,4,recall_macro,0.8958333333333333,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,5,f1_macro,0.9105239446543795,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,5,bal_acc,0.9041666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,5,precision_macro,0.9509981684981685,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,5,recall_macro,0.9041666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,6,f1_macro,0.9247908371821415,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,6,bal_acc,0.9166666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,6,precision_macro,0.9620238095238095,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,6,recall_macro,0.9166666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,7,f1_macro,0.9249719966024313,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,7,bal_acc,0.9166666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,7,precision_macro,0.962664835164835,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,7,recall_macro,0.9166666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,8,f1_macro,0.9219336943249988,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,8,bal_acc,0.9166666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,8,precision_macro,0.957857142857143,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,8,recall_macro,0.9166666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,9,f1_macro,0.9153644302557347,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,9,bal_acc,0.9079545454545455,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,9,precision_macro,0.9453571428571429,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.1,KNN,9,recall_macro,0.9079545454545455,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,0,f1_macro,0.943170409300844,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,0,bal_acc,0.9291666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,0,precision_macro,0.9848443223443223,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,0,recall_macro,0.9291666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,1,f1_macro,0.9258971583971585,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,1,bal_acc,0.9125,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,1,precision_macro,0.968021978021978,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,1,recall_macro,0.9125,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,2,f1_macro,0.9107309839918536,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,2,bal_acc,0.9083333333333334,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,2,precision_macro,0.9453571428571429,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,2,recall_macro,0.9083333333333334,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,3,f1_macro,0.866654338415208,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,3,bal_acc,0.8625,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,3,precision_macro,0.9006410256410255,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,3,recall_macro,0.8625,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,4,f1_macro,0.9345932087236435,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,4,bal_acc,0.9291666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,4,precision_macro,0.9661904761904762,legacy,discovery_full_20260724_172348
