missing_rate,method,model,mean,std,n_reps
0.2,KNN,EnsembleSoft,0.8691416635535308,0.004532914054715055,10
0.2,KNN,GB,0.855538459394352,0.005382394089253905,10
0.2,KNN,LogReg,0.8590777282774615,0.0033746239599367926,10
0.2,KNN,RF,0.8527388086649583,0.003671928142751941,10
0.2,KNN,SVC,0.8648433815886918,0.0045602295212152,10
0.2,Mean,EnsembleSoft,0.8660736598153809,0.004159504448188596,10
0.2,Mean,GB,0.844209649027379,0.006902858875427291,10
0.2,Mean,LogReg,0.8503205553936407,0.006394302330647656,10
0.2,Mean,RF,0.8473118661735363,0.0062742444076577305,10
0.2,Mean,SVC,0.8613676542917995,0.0038805820747267634,10
0.2,MissForest,EnsembleSoft,0.8741775961522379,0.004862578580610718,10
0.2,MissForest,GB,0.860224847530081,0.006157248732486052,10
0.2,MissForest,LogReg,0.8596583073744481,0.005940275616620679,10
0.2,MissForest,RF,0.8597043795667799,0.00393886236394927,10
0.2,MissForest,SVC,0.8704953013063508,0.002718032308031297,10
0.2,RFECA-k10,EnsembleSoft,0.8720910691804271,0.004645661408813025,10
0.2,RFECA-k10,GB,0.8549913137482633,0.007431152075382504,10
0.2,RFECA-k10,LogReg,0.857939347895004,0.004334106662365167,10
0.2,RFECA-k10,RF,0.8591071054159991,0.005146421686217899,10
0.2,RFECA-k10,SVC,0.8714894424543578,0.002801375548714942,10
0.2,RFECA-k20,EnsembleSoft,0.8735075125665448,0.0034403921811507255,10
0.2,RFECA-k20,GB,0.8585644987073004,0.006204694580343905,10
0.2,RFECA-k20,LogReg,0.8578995990882466,0.003552324002001577,10
0.2,RFECA-k20,RF,0.8606120758664499,0.0033465808784597477,10
0.2,RFECA-k20,SVC,0.8723309654255521,0.003253346295420388,10
0.2,RFECA-k5,EnsembleSoft,0.8718233629047752,0.005745940782361426,10
0.2,RFECA-k5,GB,0.8549779197401284,0.006419308607568575,10
0.2,RFECA-k5,LogReg,0.8564779957869921,0.005103266836780129,10
0.2,RFECA-k5,RF,0.8549470817519733,0.0028153156338608,10
0.2,RFECA-k5,SVC,0.8684405269032857,0.002535299083022691,10
0.3,KNN,EnsembleSoft,0.8582261234591261,0.005527149805177149,10
0.3,KNN,GB,0.8449872273117439,0.007548715301996941,10
0.3,KNN,LogReg,0.8492251119974046,0.004540199463169476,10
0.3,KNN,RF,0.8449981675457504,0.005840899612807526,10
0.3,KNN,SVC,0.8576606661458095,0.007085604081318468,10
0.3,Mean,EnsembleSoft,0.8550846750816824,0.007318124066908467,10
0.3,Mean,GB,0.831997758069512,0.009538122572339576,10
0.3,Mean,LogReg,0.8379174856084612,0.0090395079633585,10
0.3,Mean,RF,0.8305739706072492,0.00843590491994327,10
0.3,Mean,SVC,0.8501694617101527,0.007038393514032227,10
0.3,MissForest,EnsembleSoft,0.8662237147375468,0.00546586551981995,10
0.3,MissForest,GB,0.8513412903365911,0.007369477299133336,10
0.3,MissForest,LogReg,0.8535365447320805,0.008479258104611448,10
0.3,MissForest,RF,0.854447663179506,0.0055648910392864645,10
0.3,MissForest,SVC,0.8650798783337166,0.004559943312127936,10
0.3,RFECA-k10,EnsembleSoft,0.8635261032190089,0.004676147303030626,10
0.3,RFECA-k10,GB,0.8500797299416959,0.005488162650763031,10
0.3,RFECA-k10,LogReg,0.852369326556226,0.004012823049156578,10
0.3,RFECA-k10,RF,0.8492365320028998,0.007312914580323638,10
0.3,RFECA-k10,SVC,0.863568579935493,0.006496616436001382,10
0.3,RFECA-k20,EnsembleSoft,0.8642313192041634,0.0039823261401613535,10
0.3,RFECA-k20,GB,0.8518750576729621,0.007345596650576633,10
0.3,RFECA-k20,LogReg,0.8537768181437911,0.004815739718471218,10
0.3,RFECA-k20,RF,0.8522382091239644,0.006477958084125155,10
0.3,RFECA-k20,SVC,0.864670454887405,0.005521917287123013,10
0.3,RFECA-k5,EnsembleSoft,0.8623784722500893,0.005722933980119101,10
0.3,RFECA-k5,GB,0.8470511794778519,0.005596240555657351,10
0.3,RFECA-k5,LogReg,0.852315633387111,0.0072685657033351656,10
0.3,RFECA-k5,RF,0.8476973476419405,0.004998650920937181,10
0.3,RFECA-k5,SVC,0.8627281498561844,0.007928930717447226,10
