dataset,mechanism,missing_rate,method,legacy_rmse,inductive_rmse,delta_rmse_ind_minus_leg,legacy_f1,inductive_f1,delta_f1_ind_minus_leg,masks_identical,note
CPTAC 2C,MAR,0.05,RFECA-k10,2.202111806783716,1.9826633525667496,-0.21944845421696657,0.9268685867272825,0.9233811345659172,-0.0034874521613652565,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MAR,0.05,RFECA-k20,2.461430145474274,2.0654305972096294,-0.39599954826464456,0.9232721252177774,0.9233410128518824,6.888763410506371e-05,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MAR,0.05,RFECA-k5,2.100681616263148,1.9405657822826423,-0.16011583398050555,0.9190361160578552,0.9179212405951536,-0.0011148754627016144,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MAR,0.1,RFECA-k10,2.467370499470442,2.1289174229667496,-0.3384530765036926,0.917757707751186,0.91475465138726,-0.00300305636392606,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MAR,0.1,RFECA-k20,2.7391707486616017,2.23013696735717,-0.5090337813044319,0.9192542916021178,0.915208931165453,-0.004045360436664813,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MAR,0.1,RFECA-k5,2.299340362759831,2.1161024137363973,-0.1832379490234337,0.9190970013078708,0.9123077610795002,-0.006789240228370574,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MAR,0.2,RFECA-k10,2.532989989419828,2.1715533747424054,-0.3614366146774226,0.9092047734873822,0.9255017098843186,0.016296936396936412,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MAR,0.2,RFECA-k20,2.875325803708043,2.304817783002145,-0.5705080207058981,0.893284381319164,0.919946587229196,0.02666220591003199,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MAR,0.2,RFECA-k5,2.4281262483168207,2.152058069311793,-0.27606817900502767,0.904445165945166,0.917371728995642,0.012926563050476014,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MAR,0.3,RFECA-k10,2.802024652502146,2.2875011848310445,-0.5145234676711015,0.8802132140806055,0.9046932963172094,0.024480082236603917,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MAR,0.3,RFECA-k20,3.067212971178624,2.4727098093020587,-0.594503161876565,0.8738902317489274,0.8938008242964764,0.01991059254754901,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MAR,0.3,RFECA-k5,2.5556382894695586,2.2656556518990687,-0.2899826375704899,0.8902480753545972,0.9077597226445052,0.01751164728990806,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MCAR,0.05,RFECA-k10,2.1476662234311608,1.8215748562860548,-0.326091367145106,0.9195475816454076,0.9192493038362604,-0.00029827780914726265,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MCAR,0.05,RFECA-k20,2.3880474819290534,1.8814198921442296,-0.5066275897848238,0.9186194493911886,0.9203550350615568,0.0017355856703682448,False,legacy seed scheme vs v2 — not a pure ablation
