gene,status,winning_prefix_len,n_predictors_selected,winning_predictors,selection_seconds,n_candidates
ACTR3B,ok,46,23,FOXA1|MLPH|FOXC1|MIA|CXXC5|CCNE1|MELK|EXO1|KRT5|KIF2C|ANLN|NDC80|BLVRA|CDH3|MKI67|UBE2T|PTTG1|SLC39A6|CENPF|KRT14|MYBL2|FGFR4|CDC6,1332.3359848,49
ANLN,ok,49,24,MELK|CEP55|EXO1|NDC80|KIF2C|UBE2T|MLPH|CENPF|NUF2|BCL2|RRM2|CDH3|EGFR|CXXC5|MIA|GPR160|FOXC1|GRB7|FGFR4|TMEM45B|BLVRA|BAG1|MDM2|ERBB2,1379.137008400001,49
BAG1,ok,42,21,SLC39A6|BCL2|PHGDH|MMP11|MLPH|CCNE1|CDC20|FOXA1|KIF2C|PTTG1|MIA|KRT5|NAT1|ORC6|UBE2C|NUF2|RRM2|ACTR3B|MELK|CDC6|ANLN,1742.9137031999999,49
BCL2,ok,49,24,ESR1|SLC39A6|EXO1|PHGDH|EGFR|MELK|ANLN|FOXA1|MLPH|UBE2C|CEP55|RRM2|PTTG1|UBE2T|BAG1|NDC80|MKI67|GPR160|MIA|CCNB1|TYMS|CDC6|MYC|ORC6,1081.1276096999973,49
BIRC5,ok,40,20,KIF2C|CDC20|UBE2C|CEP55|EXO1|PTTG1|MKI67|CCNE1|ANLN|CCNB1|NDC80|MLPH|GPR160|PGR|CDC6|MIA|KRT5|GRB7|ORC6|BLVRA,1107.0953703000014,49
BLVRA,ok,39,19,ACTR3B|GPR160|MLPH|MIA|SLC39A6|CCNE1|PGR|MYC|ESR1|MKI67|CENPF|TYMS|BIRC5|MAPT|CCNB1|PTTG1|MDM2|ANLN|FGFR4,1245.4780171999992,49
CCNB1,ok,49,24,NDC80|PTTG1|UBE2C|CENPF|BIRC5|CEP55|NUF2|EXO1|MELK|ANLN|MKI67|TYMS|CCNE1|MLPH|BCL2|KRT14|MYBL2|ORC6|BLVRA|MDM2|KRT17|BAG1|CXXC5|FOXC1,1345.4403501999986,49
CCNE1,ok,49,24,CDC20|KIF2C|MELK|EXO1|FOXA1|UBE2C|BIRC5|MKI67|NDC80|CDH3|FOXC1|GPR160|EGFR|UBE2T|CCNB1|NUF2|KRT5|CDC6|FGFR4|GRB7|MYC|ERBB2|MDM2|KRT14,1219.412435000002,49
CDC20,ok,41,20,KIF2C|UBE2C|CEP55|BIRC5|PTTG1|MELK|CENPF|NDC80|UBE2T|MLPH|BCL2|SLC39A6|GPR160|NUF2|RRM2|PGR|CDC6|ORC6|KRT5|KRT17,1394.0375384,49
CDC6,ok,20,10,EXO1|CEP55|PTTG1|BIRC5|MELK|ERBB2|CDC20|CCNB1|ANLN|RRM2,1664.519638400001,49
NUF2,ok,49,24,NDC80|CCNB1|UBE2T|ANLN|CEP55|MELK|EXO1|UBE2C|PTTG1|BIRC5|KIF2C|TYMS|MLPH|CDC20|MKI67|CCNE1|MIA|NAT1|TMEM45B|MYBL2|CDH3|KRT14|ORC6|KRT17,1446.9343176999973,49
CDH3,ok,48,24,KRT17|EGFR|MLPH|BCL2|CCNE1|FOXC1|MIA|KIF2C|ANLN|MELK|EXO1|CEP55|ACTR3B|UBE2C|PTTG1|MKI67|NDC80|GRB7|RRM2|BAG1|NUF2|CCNB1|CDC6|MYBL2,1032.2738119999995,49
CENPF,ok,48,24,UBE2C|EXO1|CEP55|KIF2C|CDC20|PTTG1|MELK|MKI67|UBE2T|CCNB1|TYMS|MLPH|BCL2|RRM2|FOXC1|GRB7|MIA|EGFR|BLVRA|ERBB2|MYBL2|MMP11|TMEM45B|MDM2,1289.5096152000006,49
CEP55,ok,44,22,UBE2C|MELK|EXO1|KIF2C|PTTG1|ANLN|BIRC5|CENPF|MKI67|UBE2T|NDC80|CCNB1|MLPH|NUF2|BCL2|GPR160|FOXC1|KRT5|MYBL2|ORC6|TMEM45B|KRT14,1506.6391330999977,49
CXXC5,ok,48,24,ESR1|MLPH|FOXC1|MAPT|ACTR3B|PHGDH|ANLN|CCNE1|MIA|NDC80|KIF2C|CDC20|TYMS|CEP55|BLVRA|UBE2T|MKI67|MMP11|PTTG1|MDM2|UBE2C|TMEM45B|CCNB1|CDC6,1300.4692182,49
EGFR,ok,41,20,ESR1|CDH3|KRT5|FOXC1|CXXC5|BCL2|CCNE1|SFRP1|PHGDH|ANLN|MIA|CDC20|KIF2C|EXO1|TYMS|UBE2C|PTTG1|KRT14|BLVRA|MDM2,1547.9298808000021,49
ERBB2,ok,49,24,GRB7|CDC6|MYC|PGR|ESR1|FOXA1|ACTR3B|NAT1|MAPT|TYMS|CCNE1|EXO1|CENPF|UBE2C|BLVRA|GPR160|CDC20|MELK|MDM2|RRM2|KIF2C|ANLN|PTTG1|MKI67,1249.4662946999997,49
ESR1,ok,40,20,BCL2|FOXA1|SLC39A6|MLPH|MAPT|EGFR|CXXC5|MELK|KIF2C|SFRP1|UBE2C|PTTG1|FGFR4|GRB7|MKI67|RRM2|UBE2T|BLVRA|ERBB2|NUF2,963.0546853999986,49
EXO1,ok,46,23,CEP55|MELK|KIF2C|UBE2C|CDC20|CENPF|BIRC5|UBE2T|CCNE1|MKI67|NDC80|TYMS|PHGDH|BCL2|ESR1|NUF2|CDH3|CDC6|EGFR|BAG1|ORC6|MYBL2|SFRP1,1466.6843092000017,49
FGFR4,ok,46,23,ERBB2|SLC39A6|BCL2|ESR1|NAT1|PGR|TMEM45B|CCNE1|UBE2C|BIRC5|MYC|CDC6|MKI67|MELK|CENPF|UBE2T|CCNB1|BLVRA|MDM2|NDC80|FOXA1|GPR160|MLPH,1142.7016965000003,49
FOXA1,ok,43,21,MLPH|FOXC1|ESR1|MIA|CCNE1|ACTR3B|GPR160|MELK|NDC80|ANLN|CEP55|EXO1|KRT17|UBE2C|BCL2|PTTG1|MKI67|UBE2T|ERBB2|RRM2|BAG1,1293.4117046000028,49
FOXC1,ok,48,24,FOXA1|SFRP1|KRT17|ACTR3B|EGFR|CXXC5|CCNE1|KIF2C|CDC20|EXO1|ANLN|MKI67|PGR|CEP55|NDC80|CENPF|PTTG1|ERBB2|ORC6|MDM2|RRM2|UBE2T|FGFR4|CCNB1,1069.9750195000015,49
GPR160,ok,48,24,FOXA1|CCNE1|CDC20|KIF2C|ACTR3B|CDH3|BIRC5|EGFR|MKI67|BLVRA|MELK|EXO1|CEP55|PTTG1|CXXC5|MYC|BCL2|NUF2|ORC6|CCNB1|UBE2T|BAG1|RRM2|MMP11,1084.1839378000004,49
GRB7,ok,43,21,ERBB2|CDC6|NAT1|MAPT|TMEM45B|UBE2C|MELK|CDC20|CCNE1|CENPF|CEP55|KIF2C|UBE2T|PTTG1|ANLN|MKI67|BIRC5|MYC|MDM2|ORC6|MYBL2,1116.2324212999993,49
KIF2C,ok,42,21,CDC20|UBE2C|CEP55|BIRC5|EXO1|CCNE1|MKI67|NDC80|CCNB1|FOXA1|PHGDH|BCL2|NUF2|GPR160|PGR|FOXC1|MIA|CXXC5|CDC6|ORC6|MYBL2,1413.0736969000027,49
