gene,status,winning_prefix_len,n_predictors_selected,winning_predictors,selection_seconds,n_candidates
ACTR3B,ok,45,22,FOXA1|MLPH|FOXC1|MIA|CCNE1|MELK|CXXC5|EXO1|ANLN|CEP55|NDC80|MKI67|BLVRA|MYC|NUF2|PTTG1|SLC39A6|RRM2|KRT14|ERBB2|MYBL2|BAG1,1077.8628790999937,49
ANLN,ok,49,24,MELK|CEP55|EXO1|UBE2C|NDC80|UBE2T|CDC20|CCNE1|MLPH|MKI67|NUF2|FOXA1|BCL2|EGFR|ACTR3B|MIA|FOXC1|CDC6|GRB7|FGFR4|BLVRA|BAG1|ERBB2|MDM2,1083.5500339999999,49
BAG1,ok,42,21,BCL2|SLC39A6|PHGDH|MMP11|MLPH|CCNE1|CDC20|FOXA1|SFRP1|KIF2C|NAT1|PTTG1|MIA|KRT5|CEP55|NUF2|RRM2|MYBL2|ANLN|ORC6|MELK,1498.9616964000015,49
BCL2,ok,49,24,ESR1|SLC39A6|EXO1|ANLN|PHGDH|EGFR|CDC20|KIF2C|FOXA1|UBE2C|RRM2|CEP55|FGFR4|PTTG1|UBE2T|NDC80|MKI67|BAG1|MIA|CDC6|MYBL2|BLVRA|MYC|ORC6,902.9606673000089,49
BIRC5,ok,33,16,KIF2C|CDC20|UBE2C|CEP55|EXO1|CENPF|CCNE1|MKI67|ANLN|NDC80|CCNB1|UBE2T|RRM2|GPR160|CDH3|MIA,975.7897454000049,49
BLVRA,ok,49,24,ACTR3B|GPR160|MLPH|MIA|SLC39A6|CCNE1|PGR|MYC|ESR1|KIF2C|MKI67|CDC20|CENPF|TYMS|MAPT|ERBB2|UBE2C|CCNB1|ANLN|FGFR4|RRM2|BCL2|NUF2|GRB7,1000.5760984999943,49
CCNB1,ok,49,24,NDC80|PTTG1|UBE2C|CENPF|CEP55|BIRC5|NUF2|MELK|ANLN|MKI67|TYMS|CCNE1|MAPT|KRT14|PHGDH|FGFR4|MYBL2|EGFR|ERBB2|KRT17|MDM2|BLVRA|TMEM45B|CXXC5,1065.6164616000024,49
CCNE1,ok,48,24,MELK|EXO1|KIF2C|FOXA1|UBE2C|BIRC5|ANLN|PTTG1|FOXC1|GPR160|UBE2T|TYMS|EGFR|NUF2|RRM2|KRT17|CDC6|FGFR4|GRB7|MYC|BAG1|ORC6|ERBB2|KRT14,1066.9755154000013,49
CDC20,ok,41,20,KIF2C|UBE2C|CEP55|PTTG1|MELK|BIRC5|CENPF|UBE2T|TYMS|MLPH|ESR1|BCL2|GPR160|NUF2|RRM2|PGR|MIA|ORC6|BAG1|MYC,1107.7928073000076,49
CDC6,ok,15,7,EXO1|ERBB2|CEP55|BIRC5|CCNB1|KIF2C|ANLN,1309.8792297000036,49
NUF2,ok,47,23,NDC80|ANLN|CEP55|UBE2T|CCNB1|MELK|UBE2C|EXO1|PTTG1|KIF2C|TYMS|MLPH|CDC20|MKI67|RRM2|MIA|MYBL2|SLC39A6|CDH3|ERBB2|MDM2|GRB7|ORC6,1183.834801600009,49
CDH3,ok,49,24,KRT17|EGFR|KRT5|MLPH|FOXC1|CCNE1|BCL2|MIA|CDC20|KIF2C|ANLN|EXO1|ACTR3B|BIRC5|UBE2C|PTTG1|GRB7|NDC80|UBE2T|BAG1|CDC6|NUF2|TMEM45B|CCNB1,826.7531025000062,49
CENPF,ok,38,19,UBE2C|EXO1|CEP55|CDC20|KIF2C|MKI67|UBE2T|CCNB1|TYMS|NAT1|MLPH|CDC6|RRM2|FOXC1|GRB7|ORC6|EGFR|BLVRA|ERBB2,1028.7058298000047,49
CEP55,ok,44,22,UBE2C|MELK|KIF2C|EXO1|PTTG1|ANLN|CENPF|MKI67|UBE2T|NDC80|CCNB1|NUF2|MLPH|RRM2|BCL2|CDC6|FOXC1|KRT5|MYBL2|KRT14|ORC6|TMEM45B,1193.491082499997,49
CXXC5,ok,49,24,ESR1|MLPH|FOXC1|EGFR|PHGDH|ACTR3B|ANLN|CCNE1|MIA|NDC80|GPR160|KIF2C|TYMS|UBE2T|CDC20|CEP55|BLVRA|PTTG1|MDM2|UBE2C|GRB7|TMEM45B|CCNB1|CDC6,1069.8889431999996,49
EGFR,ok,38,19,ESR1|CDH3|FOXA1|KRT5|FOXC1|SFRP1|SLC39A6|CCNE1|PHGDH|ANLN|CDC20|MELK|MIA|EXO1|KIF2C|BIRC5|UBE2C|TYMS|KRT14,1304.7974625999923,49
ERBB2,ok,48,24,GRB7|FGFR4|CDC6|MYC|PGR|FOXA1|NAT1|MIA|ACTR3B|FOXC1|MAPT|TYMS|CCNE1|EXO1|NDC80|CENPF|CDC20|BLVRA|KIF2C|CXXC5|MYBL2|UBE2T|ANLN|MKI67,993.2967218999984,49
ESR1,ok,48,24,BCL2|FOXA1|SLC39A6|MLPH|MAPT|EGFR|CXXC5|MELK|EXO1|KIF2C|SFRP1|NDC80|UBE2C|PTTG1|FGFR4|GRB7|MKI67|RRM2|UBE2T|NUF2|BAG1|BLVRA|MDM2|CCNB1,799.2923572,49
EXO1,ok,48,24,CEP55|MELK|UBE2C|KIF2C|PTTG1|CENPF|BIRC5|UBE2T|ANLN|CCNE1|MKI67|NDC80|TYMS|CCNB1|FOXA1|BCL2|NUF2|PHGDH|CDH3|CDC6|ACTR3B|ORC6|MYBL2|SFRP1,1149.9093311000033,49
FGFR4,ok,46,23,ERBB2|BCL2|ESR1|NAT1|TMEM45B|PGR|CCNE1|UBE2C|EXO1|MKI67|ANLN|CENPF|MELK|CDC6|CCNB1|UBE2T|MIA|BLVRA|ACTR3B|NDC80|TYMS|GPR160|MLPH,861.4398207000049,49
FOXA1,ok,48,24,MLPH|FOXC1|ESR1|CCNE1|MIA|GPR160|ACTR3B|MELK|NDC80|ANLN|CEP55|EXO1|BCL2|UBE2C|PTTG1|MKI67|TYMS|CENPF|UBE2T|MYC|RRM2|ERBB2|BAG1|FGFR4,1089.3303706000006,49
FOXC1,ok,48,24,FOXA1|SFRP1|KRT5|KRT17|EGFR|CDH3|CCNE1|CXXC5|CDC20|KIF2C|EXO1|MKI67|PGR|CEP55|NDC80|ERBB2|PTTG1|RRM2|NUF2|ORC6|MDM2|UBE2T|CCNB1|FGFR4,898.7743061999936,49
GPR160,ok,49,24,FOXA1|FOXC1|NAT1|CDC20|KIF2C|BIRC5|MIA|EGFR|MKI67|CEP55|MELK|BLVRA|ANLN|MYC|BCL2|PGR|CCNB1|UBE2T|CDC6|MDM2|ERBB2|MMP11|GRB7|MYBL2,935.0545332000038,49
GRB7,ok,39,19,ERBB2|CDC6|NAT1|MAPT|TMEM45B|MELK|CDC20|CEP55|ANLN|KIF2C|CCNE1|UBE2T|PTTG1|MKI67|BIRC5|EGFR|MIA|ACTR3B|MYC,999.6121258000057,49
KIF2C,ok,25,12,CDC20|UBE2C|CEP55|EXO1|PTTG1|MELK|BIRC5|CCNE1|MKI67|NDC80|PHGDH|NUF2,1179.1249720999913,49
NDC80,ok,44,22,ANLN|CEP55|CCNB1|PTTG1|NUF2|UBE2T|TYMS|UBE2C|KIF2C|EXO1|MLPH|BIRC5|CDC20|CCNE1|FOXA1|MKI67|RRM2|CXXC5|CDH3|MYC|TMEM45B|MYBL2,1211.9218398999947,49
KRT14,ok,49,24,KRT17|KRT5|SFRP1|MIA|FOXC1|FOXA1|MLPH|EGFR|ACTR3B|MDM2|UBE2C|BIRC5|CEP55|GPR160|UBE2T|MYBL2|NUF2|ORC6|BCL2|MELK|TYMS|NDC80|BAG1|CCNE1,1131.3605894999928,49
KRT17,ok,46,23,KRT5|KRT14|SFRP1|FOXC1|CDH3|MLPH|ACTR3B|PHGDH|BCL2|MELK|ANLN|BAG1|KIF2C|CCNB1|ORC6|GRB7|CENPF|BIRC5|NDC80|TYMS|CEP55|MKI67|MMP11,984.444470100003,49
KRT5,ok,49,24,KRT17|KRT14|SFRP1|FOXC1|FOXA1|MIA|CDH3|EGFR|ACTR3B|CXXC5|CCNE1|SLC39A6|ANLN|EXO1|NDC80|CEP55|MKI67|MDM2|NUF2|CENPF|ORC6|UBE2T|CDC6|GRB7,1253.2755609999876,49
MAPT,ok,49,24,ESR1|MLPH|NAT1|PGR|EXO1|CDC20|CXXC5|UBE2C|FOXC1|NDC80|UBE2T|MKI67|CENPF|GRB7|TYMS|NUF2|CCNB1|BAG1|ERBB2|BLVRA|MDM2|MYC|ORC6|TMEM45B,732.0396789000079,49
MDM2,ok,34,17,SLC39A6|SFRP1|ESR1|KRT5|RRM2|EGFR|KRT14|TYMS|BAG1|CDH3|FOXC1|CDC6|MIA|CCNB1|GRB7|UBE2T|BCL2,1537.9107083000126,49
MELK,ok,29,14,CEP55|UBE2C|KIF2C|ANLN|CDC20|UBE2T|TYMS|CCNE1|NDC80|CCNB1|RRM2|ESR1|ACTR3B|EGFR,1166.223477499996,49
MIA,ok,47,23,FOXA1|SFRP1|ACTR3B|KRT5|KRT17|KRT14|CDH3|CXXC5|CCNE1|EGFR|NDC80|BLVRA|ANLN|TYMS|BIRC5|EXO1|NUF2|ERBB2|PTTG1|MKI67|MMP11|MYBL2|GRB7,1185.1521047999995,49
MKI67,ok,48,24,CEP55|KIF2C|CENPF|UBE2C|MELK|PTTG1|CCNE1|UBE2T|CCNB1|NDC80|TYMS|MLPH|GPR160|ACTR3B|FOXC1|CDC6|BCL2|ORC6|GRB7|MIA|TMEM45B|MYC|MMP11|ERBB2,1177.304680900008,49
MLPH,ok,42,21,FOXA1|CCNE1|NDC80|ANLN|CXXC5|MAPT|CEP55|GPR160|CDH3|CDC20|EXO1|KRT5|EGFR|PTTG1|UBE2C|UBE2T|MKI67|MYC|CENPF|TMEM45B|MYBL2,895.4863822999905,49
MMP11,ok,43,21,NUF2|SFRP1|BAG1|CXXC5|NDC80|MIA|ERBB2|MKI67|BCL2|CEP55|RRM2|KIF2C|GRB7|CDH3|MDM2|CCNE1|TYMS|MELK|ANLN|GPR160|PTTG1,590.191905700005,49
MYBL2,ok,40,20,NUF2|MLPH|CEP55|UBE2C|FOXA1|MIA|CCNB1|KIF2C|NDC80|RRM2|MELK|CCNE1|PTTG1|UBE2T|EXO1|ACTR3B|KRT14|MDM2|SFRP1|GPR160,1169.053959900004,49
MYC,ok,44,22,TYMS|TMEM45B|ACTR3B|KRT5|GPR160|MIA|RRM2|ERBB2|CXXC5|MELK|BLVRA|ANLN|NAT1|PTTG1|NDC80|ORC6|CCNE1|GRB7|SLC39A6|MKI67|PGR|PHGDH,762.4069407000061,49
NAT1,ok,49,24,ESR1|CCNE1|SLC39A6|MAPT|CDC20|KIF2C|UBE2C|BIRC5|CEP55|MELK|PGR|GPR160|ANLN|CENPF|FGFR4|GRB7|CXXC5|UBE2T|CDC6|MYC|ERBB2|BAG1|TMEM45B|MDM2,672.6965547,49
ORC6,ok,49,24,CDC20|MKI67|SLC39A6|KIF2C|TMEM45B|UBE2C|EXO1|CCNB1|PGR|CEP55|BAG1|PTTG1|KRT14|MIA|UBE2T|KRT5|SFRP1|MDM2|MLPH|NUF2|BCL2|ESR1|CDC6|EGFR,986.6953809999977,49
PGR,ok,43,21,MAPT|NAT1|KIF2C|UBE2C|CDC20|EXO1|FOXA1|ANLN|PTTG1|FGFR4|EGFR|MKI67|NDC80|RRM2|UBE2T|BLVRA|ERBB2|CDC6|GPR160|MIA|ORC6,770.938607899996,49
PHGDH,ok,49,24,EXO1|KIF2C|BCL2|MLPH|CXXC5|EGFR|BIRC5|ACTR3B|MKI67|PTTG1|MAPT|KRT5|CENPF|MIA|RRM2|PGR|TYMS|BAG1|NUF2|CCNB1|TMEM45B|MMP11|MYBL2|MYC,611.5910645000113,49
PTTG1,ok,49,24,UBE2C|CEP55|KIF2C|MELK|CDC20|EXO1|UBE2T|NDC80|CCNB1|TYMS|MKI67|CCNE1|NUF2|RRM2|PHGDH|PGR|CDC6|ACTR3B|MIA|CXXC5|TMEM45B|MYBL2|ORC6|ERBB2,979.6716324000008,49
RRM2,ok,48,24,TYMS|MELK|UBE2T|PTTG1|UBE2C|CEP55|EXO1|KIF2C|CDC20|BCL2|NDC80|CCNE1|PHGDH|NUF2|ESR1|MKI67|CENPF|ACTR3B|CDC6|FOXA1|MDM2|MYBL2|BLVRA|SLC39A6,919.4724409000046,49
SFRP1,ok,41,20,KRT5|KRT17|FOXC1|KRT14|MIA|FOXA1|EGFR|MYC|CCNE1|TMEM45B|MDM2|ANLN|MMP11|TYMS|NDC80|BAG1|KIF2C|MYBL2|CDC20|CEP55,784.567398500003,49
SLC39A6,ok,49,24,ESR1|BCL2|NAT1|CDC20|MLPH|EGFR|FGFR4|MELK|UBE2C|CENPF|BAG1|BLVRA|PTTG1|ACTR3B|MDM2|ORC6|TMEM45B|CCNB1|ERBB2|UBE2T|MYC|MYBL2|TYMS|RRM2,628.7456931000052,49
TMEM45B,ok,48,24,FGFR4|MYC|GRB7|TYMS|SLC39A6|UBE2T|ACTR3B|FOXA1|RRM2|SFRP1|NDC80|MELK|ORC6|KRT5|UBE2C|EXO1|MKI67|CEP55|CDH3|MDM2|CXXC5|CENPF|PGR|MYBL2,783.6927261999954,49
TYMS,ok,49,24,MELK|PTTG1|UBE2T|NDC80|UBE2C|EXO1|RRM2|MKI67|MLPH|CENPF|MYC|CCNB1|NUF2|MAPT|EGFR|MIA|CXXC5|BCL2|CDC6|MDM2|ERBB2|SLC39A6|MMP11|BAG1,671.8476813000016,49
UBE2C,ok,44,22,PTTG1|CEP55|KIF2C|CDC20|MELK|EXO1|BIRC5|CENPF|UBE2T|CCNE1|CCNB1|NDC80|TYMS|NUF2|RRM2|BCL2|ESR1|GRB7|MIA|ORC6|MYBL2|CXXC5,700.1441830999975,49
