imputer,missing_rate,replicate,model,f1_macro,bal_acc
RFECA_SVR(k=20),0.05,1,LogReg,0.9149559257167953,0.9079545454545453
RFECA_SVR(k=20),0.05,1,RF,0.9081399397703744,0.9037878787878787
RFECA_SVR(k=20),0.05,1,GB,0.7734440784658176,0.7608333333333331
RFECA_SVR(k=20),0.05,1,EnsembleSoft,0.9054956082564779,0.8958333333333333
RFECA_SVR(k=20),0.05,1,EnsembleHard,0.9419927536231885,0.9333333333333332
RFECA_SVR(k=20),0.05,2,SVC,0.9227971955580652,0.9125
RFECA_SVR(k=20),0.05,2,LogReg,0.9149559257167953,0.9079545454545453
RFECA_SVR(k=20),0.05,2,RF,0.9079183135704874,0.9037878787878789
RFECA_SVR(k=20),0.05,2,GB,0.8214472990777338,0.7996212121212121
RFECA_SVR(k=20),0.05,2,EnsembleSoft,0.9232733860342556,0.9083333333333334
RFECA_SVR(k=20),0.05,2,EnsembleHard,0.9032806324110672,0.8916666666666666
RFECA_SVR(k=20),0.05,3,SVC,0.9227971955580652,0.9125
RFECA_SVR(k=20),0.05,3,LogReg,0.9419927536231885,0.9333333333333332
RFECA_SVR(k=20),0.05,3,RF,0.9152733860342556,0.9083333333333334
RFECA_SVR(k=20),0.05,3,GB,0.8174631720936067,0.7979545454545456
RFECA_SVR(k=20),0.05,3,EnsembleSoft,0.9464855072463768,0.9333333333333332
RFECA_SVR(k=20),0.05,3,EnsembleHard,0.9441139657444004,0.9416666666666667
RFECA_SVR(k=20),0.05,4,SVC,0.9227971955580652,0.9125
RFECA_SVR(k=20),0.05,4,LogReg,0.8917675199196937,0.8871212121212121
RFECA_SVR(k=20),0.05,4,RF,0.8773010323010322,0.8704545454545455
RFECA_SVR(k=20),0.05,4,GB,0.7732818534122881,0.7684090909090908
RFECA_SVR(k=20),0.05,4,EnsembleSoft,0.9319400527009222,0.925
RFECA_SVR(k=20),0.05,4,EnsembleHard,0.9089510417119111,0.8958333333333333
RFECA_SVR(k=20),0.05,5,SVC,0.9227971955580652,0.9125
RFECA_SVR(k=20),0.05,5,LogReg,0.9149559257167953,0.9079545454545453
RFECA_SVR(k=20),0.05,5,RF,0.9079183135704874,0.9037878787878789
RFECA_SVR(k=20),0.05,5,GB,0.8018706293706293,0.7871212121212121
RFECA_SVR(k=20),0.05,5,EnsembleSoft,0.9496212121212121,0.9454545454545455
RFECA_SVR(k=20),0.05,5,EnsembleHard,0.9319400527009222,0.925
RFECA_SVR(k=20),0.05,6,SVC,0.9227971955580652,0.9125
RFECA_SVR(k=20),0.05,6,LogReg,0.9297178304786999,0.9246212121212121
RFECA_SVR(k=20),0.05,6,RF,0.9081399397703744,0.9037878787878787
RFECA_SVR(k=20),0.05,6,GB,0.7615289525289526,0.7412878787878788
RFECA_SVR(k=20),0.05,6,EnsembleSoft,0.9041471861471863,0.8871212121212121
RFECA_SVR(k=20),0.05,6,EnsembleHard,0.919947299077734,0.9083333333333332
