experiment,imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,f1_pm_std,bal_pm_std,n
no_scaler,"KNN(k=5,dist)",0.1,EnsembleSoft,0.9225853786310309,0.0175292605635353,0.9140151515151516,0.0164219095837264,0.9226 ± 0.0175,0.9140 ± 0.0164,10
no_scaler,"KNN(k=5,dist)",0.1,LogReg,0.9197605307735742,0.013611014857265,0.9150378787878788,0.0135919239399035,0.9198 ± 0.0136,0.9150 ± 0.0136,10
no_scaler,"KNN(k=5,dist)",0.1,RF,0.9036648754627016,0.0177652407899364,0.8970454545454546,0.0165532181067866,0.9037 ± 0.0178,0.8970 ± 0.0166,10
no_scaler,"KNN(k=5,dist)",0.1,GB,0.7997635067026371,0.0432720987756454,0.788340909090909,0.0454125851500575,0.7998 ± 0.0433,0.7883 ± 0.0454,10
no_scaler,"KNN(k=5,dist)",0.2,SVC,0.9233497594193244,0.0200855101088039,0.9141287878787878,0.0199047333786825,0.9233 ± 0.0201,0.9141 ± 0.0199,10
no_scaler,"KNN(k=5,dist)",0.2,EnsembleHard,0.9203137239572022,0.0132361988669623,0.9099621212121212,0.0135649199353239,0.9203 ± 0.0132,0.9100 ± 0.0136,10
no_scaler,"KNN(k=5,dist)",0.2,EnsembleSoft,0.9200669226908356,0.0164970823847367,0.9152651515151516,0.0179772885123111,0.9201 ± 0.0165,0.9153 ± 0.0180,10
no_scaler,"KNN(k=5,dist)",0.2,LogReg,0.9171169979778676,0.0147741396230182,0.9134469696969696,0.0135227803241468,0.9171 ± 0.0148,0.9134 ± 0.0135,10
no_scaler,"KNN(k=5,dist)",0.2,RF,0.9015658363375756,0.0219660464494279,0.894280303030303,0.019466118380918,0.9016 ± 0.0220,0.8943 ± 0.0195,10
no_scaler,"KNN(k=5,dist)",0.2,GB,0.7981160602682341,0.0318431472805736,0.7878030303030302,0.0342480478681232,0.7981 ± 0.0318,0.7878 ± 0.0342,10
no_scaler,"KNN(k=5,dist)",0.3,EnsembleSoft,0.9137528826246216,0.0305573343551273,0.9028030303030302,0.0296156250382028,0.9138 ± 0.0306,0.9028 ± 0.0296,10
no_scaler,"KNN(k=5,dist)",0.3,SVC,0.911776642922295,0.0233813780478544,0.9011363636363636,0.021651003261992,0.9118 ± 0.0234,0.9011 ± 0.0217,10
no_scaler,"KNN(k=5,dist)",0.3,LogReg,0.9068343735974173,0.0243127927791366,0.902121212121212,0.0216996934599428,0.9068 ± 0.0243,0.9021 ± 0.0217,10
no_scaler,"KNN(k=5,dist)",0.3,EnsembleHard,0.9045399455616848,0.029894186004383,0.8915530303030301,0.0290557985107839,0.9045 ± 0.0299,0.8916 ± 0.0291,10
no_scaler,"KNN(k=5,dist)",0.3,RF,0.8901434256564691,0.0324198642652162,0.8793560606060605,0.0310776673598541,0.8901 ± 0.0324,0.8794 ± 0.0311,10
no_scaler,"KNN(k=5,dist)",0.3,GB,0.7507718014674536,0.043173359954381,0.7434621212121212,0.0383982404201087,0.7508 ± 0.0432,0.7435 ± 0.0384,10
no_scaler,SimpleMean,0.0,EnsembleSoft,0.9419927536231884,0.0,0.9333333333333332,0.0,0.9420 ± 0.0000,0.9333 ± 0.0000,10
no_scaler,SimpleMean,0.0,SVC,0.9319400527009222,0.0,0.925,0.0,0.9319 ± 0.0000,0.9250 ± 0.0000,10
no_scaler,SimpleMean,0.0,EnsembleHard,0.9274472990777338,0.0,0.925,0.0,0.9274 ± 0.0000,0.9250 ± 0.0000,10
no_scaler,SimpleMean,0.0,RF,0.9152733860342556,0.0,0.9083333333333334,0.0,0.9153 ± 0.0000,0.9083 ± 0.0000,10
no_scaler,SimpleMean,0.0,LogReg,0.9149559257167952,0.0,0.9079545454545452,0.0,0.9150 ± 0.0000,0.9080 ± 0.0000,10
no_scaler,SimpleMean,0.0,GB,0.8042421210029905,0.0,0.7833333333333333,0.0,0.8042 ± 0.0000,0.7833 ± 0.0000,10
