imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n_rows
RFECA_SVR(k=10),0.0,EnsembleSoft,0.9062598753903102,0.034908337047999075,0.8916666666666667,0.05552011341124293,50
RFECA_SVR(k=10),0.05,EnsembleSoft,0.9233811345659171,0.04977455560817698,0.9133333333333333,0.059577356866910146,50
RFECA_SVR(k=10),0.1,EnsembleSoft,0.9147546513872601,0.04808362394937761,0.9066287878787879,0.056042752865148475,50
RFECA_SVR(k=10),0.2,EnsembleSoft,0.9255017098843186,0.056077974951942465,0.9170454545454545,0.06294874136672177,50
RFECA_SVR(k=10),0.3,EnsembleSoft,0.9046932963172094,0.044223909601742405,0.8966666666666667,0.054222237323889186,50
RFECA_SVR(k=20),0.0,EnsembleSoft,0.9062598753903102,0.034908337047999075,0.8916666666666667,0.05552011341124293,50
RFECA_SVR(k=20),0.05,EnsembleSoft,0.9233410128518824,0.04530502415638418,0.9141666666666667,0.05482010364977737,50
RFECA_SVR(k=20),0.1,EnsembleSoft,0.915208931165453,0.0507855179835966,0.9041666666666667,0.05832118435198042,50
RFECA_SVR(k=20),0.2,EnsembleSoft,0.919946587229196,0.051606492653929116,0.9107575757575758,0.05927935833761149,50
RFECA_SVR(k=20),0.3,EnsembleSoft,0.8938008242964764,0.06369940666910054,0.8832954545454546,0.07091314469235926,50
RFECA_SVR(k=5),0.0,EnsembleSoft,0.9062598753903102,0.034908337047999075,0.8916666666666667,0.05552011341124293,50
RFECA_SVR(k=5),0.05,EnsembleSoft,0.9179212405951536,0.04583622506100217,0.90875,0.05355323765225167,50
RFECA_SVR(k=5),0.1,EnsembleSoft,0.9123077610795002,0.04996455186221044,0.904469696969697,0.056688111271090275,50
RFECA_SVR(k=5),0.2,EnsembleSoft,0.917371728995642,0.05953014183054253,0.9095454545454545,0.06439002862001363,50
RFECA_SVR(k=5),0.3,EnsembleSoft,0.9077597226445053,0.05295083993277235,0.9008333333333333,0.06208193510729726,50
