imputer,missing_rate,rmse_mean,rmse_std,mae_mean,mae_std,n_rows,n_masked_total,corr_frobenius_mean,corr_frobenius_std,corr_frobenius_rel_mean,corr_frobenius_rel_std,corr_mae_offdiag_mean,corr_mae_offdiag_std,corr_rv_mean,corr_rv_std
RFECA_SVR(k=10),0.0,,,,,0,0,2.6661900237290426e-15,4.98208666301345e-16,1.0999107879516285e-16,2.2332308064066406e-17,2.392080121001257e-17,7.736028273070595e-18,1.0,2.4570715913995763e-16
RFECA_SVR(k=10),0.05,1.8215748562860548,0.39836541807839604,1.2197716269884042,0.19665851582921112,50,2900,2.0251052296533394,0.3868438636463717,0.08357383572245557,0.017196682086585875,0.02444498569331992,0.004206515805818501,0.9964399020015055,0.0014914548067757008
RFECA_SVR(k=10),0.1,1.815271138862422,0.27702644374512064,1.2166423234212618,0.12532444463474982,50,5800,3.052234209824963,0.46477508055501326,0.12602183736800276,0.021220355735688815,0.041093741889853465,0.004867689802510789,0.9921872151301168,0.002593805794601141
RFECA_SVR(k=10),0.2,2.008597245048073,0.2003648760885512,1.3408449758266046,0.11421385625168855,50,11610,4.846112982020506,0.5006329473527223,0.2002706182550548,0.026705315315825803,0.07060962684579908,0.007281267811191987,0.981326429442028,0.004742930436281167
RFECA_SVR(k=10),0.3,2.1225456653142145,0.19393291845145005,1.4271257087988283,0.12783898116068007,50,17410,6.405751924332517,0.6791146289993042,0.26410416437018297,0.03159988412927172,0.09588232555774595,0.009413718362242774,0.969289645198916,0.007725826755476695
RFECA_SVR(k=20),0.0,,,,,0,0,2.6661900237290426e-15,4.98208666301345e-16,1.0999107879516285e-16,2.2332308064066406e-17,2.392080121001257e-17,7.736028273070595e-18,1.0,2.4570715913995763e-16
RFECA_SVR(k=20),0.05,1.8814198921442298,0.39722499980188475,1.2845621966031746,0.2058724214692149,50,2900,2.172642259037159,0.49181794246078897,0.08962252067356014,0.021368360563189942,0.025973606070405757,0.005046495039553282,0.995829310821684,0.0021271870406066053
RFECA_SVR(k=20),0.1,1.9105050502087844,0.2913574371936935,1.297781123089688,0.15065725064569516,50,5800,3.217637852397429,0.49236507957402786,0.132800422457352,0.022306898746407,0.04344549161788892,0.00518954550666125,0.9912275151437403,0.0029266634054279446
RFECA_SVR(k=20),0.2,2.088108639015263,0.18793023357233296,1.4159638209252459,0.11536976820994334,50,11610,5.032096897486707,0.5036579046387634,0.2079839496440484,0.02763593538165449,0.07338216430850458,0.007210880884056295,0.9793761396346062,0.005260522316542941
RFECA_SVR(k=20),0.3,2.251180482562588,0.19450468636269191,1.5365375529022633,0.12838290265664018,50,17410,6.490665182468552,0.5904124281580304,0.26776657970504264,0.030345528977431868,0.09726316990209216,0.008941875021155626,0.9672499872244525,0.007634832024598246
RFECA_SVR(k=5),0.0,,,,,0,0,2.6661900237290426e-15,4.98208666301345e-16,1.0999107879516285e-16,2.2332308064066406e-17,2.392080121001257e-17,7.736028273070595e-18,1.0,2.4570715913995763e-16
RFECA_SVR(k=5),0.05,1.8019355319789043,0.39564306953779715,1.219987275173354,0.19844354456489927,50,2900,2.020005050798858,0.3613551361092828,0.0834111363998617,0.016417757388342332,0.024574842486199778,0.004092051839181442,0.9964640270061657,0.0014544803367537826
RFECA_SVR(k=5),0.1,1.8083404649737782,0.2909085831967889,1.216967013935879,0.132297812736023,50,5800,3.027112409805428,0.4366265229633717,0.12493165266894714,0.01983068149527461,0.040910355284315,0.004775103903686243,0.9923106075707548,0.0023732415564795624
RFECA_SVR(k=5),0.2,1.9807884246272698,0.2001550093785419,1.3181642361852792,0.11069590050506123,50,11610,4.683959151685559,0.5028017560494225,0.19343261900228823,0.025617639351673254,0.06842040938754006,0.0071474696496460115,0.98225890998782,0.0045184570493977255
RFECA_SVR(k=5),0.3,2.0729197834581994,0.1673998845304244,1.3931300499335253,0.10902068160215955,50,17410,6.123020561652059,0.5865660297012301,0.25242412541763953,0.02749660190105039,0.0915127721458405,0.008125139272152289,0.9709677144098171,0.006285905711901658
