mechanism,missing_rate,rate_pct,Mean_rmse_mean,Mean_rmse_std,Mean_f1_mean,Mean_f1_std,KNN_rmse_mean,KNN_rmse_std,KNN_f1_mean,KNN_f1_std,MissForest_rmse_mean,MissForest_rmse_std,MissForest_f1_mean,MissForest_f1_std,RFECA_rmse_mean,RFECA_rmse_std,RFECA_f1_mean,RFECA_f1_std,RFECA_source
MCAR,0.05,5,1.0667378370555554,0.016469520112655303,0.878740165462206,0.0047473556388957045,0.6795133633865713,0.01623436634916113,0.8812234101019347,0.00282992827665402,0.6172462402652915,0.017042274140040056,0.881212014345808,0.00406121612262882,0.6126294477322902,0.01195094663336397,0.8820947897770415,0.0026523281224988702,OriginalRFECA_TARGET_WISE
MCAR,0.1,10,1.0632839529894023,0.018948295195781555,0.8747997280647162,0.004330636539060007,0.6914800654508626,0.010363792497560455,0.8756739489033232,0.003331755187886163,0.6236001728353093,0.008031063627217777,0.8786664667109548,0.004878727187900498,0.6146483301148795,0.007802960381589046,0.8771232344973182,0.002507313635079941,OriginalRFECA_TARGET_WISE
MCAR,0.2,20,1.0675325388276042,0.008749597363729033,0.8660736598153809,0.004159504448188619,0.7095707550674925,0.009224097547594809,0.8691416635535306,0.004532914054715039,0.6371393598958995,0.009668026545080248,0.8741775961522379,0.004862578580610748,0.6142628969911292,0.0047068809486148985,0.8759837976830788,0.0067091276680472075,OriginalRFECA_TARGET_WISE
MCAR,0.3,30,1.068808469877248,0.00763049380106075,0.8550846750816824,0.0073181240669084775,0.7335889223533446,0.006856664765017187,0.8582261234591261,0.0055271498051771345,0.6532032377531888,0.004166558884681286,0.8662237147375468,0.005465865519819935,0.621264192718725,0.004157016009394264,0.87234855301097,0.006128590110397725,OriginalRFECA_TARGET_WISE
MAR,0.05,5,1.1688933346254948,0.013593281047096343,0.8807230463647768,0.005120541803657628,0.699695891558898,0.009447351985242882,0.8803363082962823,0.003060814828473274,0.6290763935180603,0.008953477709461345,0.8805805867748587,0.0039509816338931915,0.6414245784651376,0.014923752031649173,0.8824652369467829,0.0051387875694452745,OriginalRFECA_TARGET_WISE
MAR,0.1,10,1.1602141435329831,0.010533639454815872,0.8743290626841953,0.004644441378772131,0.7098662056262381,0.007486790062318727,0.8778545991857504,0.00240913222402537,0.6427895028879883,0.007395599266223464,0.8791786876085735,0.0033499378402484805,0.6388336206778935,0.011371817639613528,0.8789098886811282,0.005239359250470764,OriginalRFECA_TARGET_WISE
MAR,0.2,20,1.1491114075405715,0.008530841625841171,0.8635717320954566,0.004147372776659549,0.7507455341014431,0.012746898054336254,0.8721681465435436,0.004560609807750647,0.6721495670652327,0.009216695637212613,0.8707923202001207,0.005968836147905354,0.6397229901203969,0.005241512670961932,0.8765333637551838,0.00729431982452427,OriginalRFECA_TARGET_WISE
MAR,0.3,30,1.143003217234177,0.007923654991570963,0.8480200851951301,0.010115055019838046,0.856710260394444,0.02245668707042527,0.848245423395533,0.005582281160854551,0.7052613170597014,0.01092904209586728,0.8606189427022096,0.00609808216996986,0.6394937412851157,0.0021561704032664855,0.8724649490886442,0.0035664335804867497,OriginalRFECA_TARGET_WISE
