cohort,mechanism,missing_rate,metric,higher_is_better,wilcoxon_stat,p_value,n_pairs,n_boot,note,p_holm,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,rank_biserial_r,p_holm_primary_family
discovery,mcar,0.2,f1_macro,True,12.0,0.130859375,10,5000,,1.0,RFECA_SVR(k=20),"KNN(k=5,dist)",0.8938904054882315,0.9122281597629424,-0.0183377542747108,-0.0375761402848359,0.0001656042266911,-0.5636363636363637,0.916015625
discovery,mcar,0.2,f1_macro,True,22.0,0.625,10,5000,,1.0,MissForest,"KNN(k=5,dist)",0.9083100667448492,0.9122281597629424,-0.003918093018093,-0.0204048239622696,0.0130571248920162,-0.1999999999999999,1.0
discovery,mcar,0.3,f1_macro,True,22.0,0.625,10,5000,,1.0,RFECA_SVR(k=5),SimpleMean,0.8972075574184271,0.8885768499616326,0.0086307074567944,-0.0117246974402408,0.0298162665353969,0.1999999999999999,1.0
discovery,mcar,0.3,f1_macro,True,17.0,0.322265625,10,5000,,1.0,RFECA_SVR(k=10),SimpleMean,0.8952167742885134,0.8885768499616326,0.0066399243268808,-0.0068207593734767,0.0196055406007036,0.3818181818181818,0.966796875
discovery,mcar,0.3,f1_macro,True,26.0,0.921875,10,5000,,1.0,RFECA_SVR(k=20),SimpleMean,0.8827573771638988,0.8885768499616326,-0.0058194727977336,-0.0288346758796758,0.015670153385262,-0.0545454545454545,1.0
discovery,mcar,0.3,f1_macro,True,3.0,0.009765625,10,5000,,0.126953125,MissForest,SimpleMean,0.9158477886847454,0.8885768499616326,0.0272709387231126,0.0121799250990556,0.0418290422982814,0.8909090909090909,0.078125
discovery,mcar,0.3,f1_macro,True,13.0,0.16015625,10,5000,,1.0,RFECA_SVR(k=5),"KNN(k=5,dist)",0.8972075574184271,0.908421312745226,-0.0112137553267987,-0.0263620951391602,0.0058193711180124,-0.5272727272727273,0.9609375
discovery,mcar,0.3,f1_macro,True,13.0,0.16015625,10,5000,,1.0,RFECA_SVR(k=10),"KNN(k=5,dist)",0.8952167742885134,0.908421312745226,-0.0132045384567123,-0.0271884965758878,0.0012936754006863,-0.5272727272727273,0.9609375
discovery,mcar,0.3,f1_macro,True,3.0,0.009765625,10,5000,,0.126953125,RFECA_SVR(k=20),"KNN(k=5,dist)",0.8827573771638988,0.908421312745226,-0.0256639355813268,-0.0393575672395237,-0.0123604467814793,-0.8909090909090909,0.078125
discovery,mcar,0.3,f1_macro,True,15.0,0.232421875,10,5000,,1.0,MissForest,"KNN(k=5,dist)",0.9158477886847454,0.908421312745226,0.0074264759395194,-0.0032606672856129,0.0166545502927025,0.4545454545454546,0.9609375
discovery,mcar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),SimpleMean,2.0406309920844974,2.8081285785899355,-0.7674975865054379,-0.9073702590591451,-0.6222167048616986,-1.0,0.015625
discovery,mcar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,2.1476662234311603,2.8081285785899355,-0.6604623551587745,-0.8174149850020246,-0.4917599194589043,-1.0,0.015625
discovery,mcar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,2.388047481929054,2.8081285785899355,-0.4200810966608815,-0.550326215152204,-0.2862460652940621,-1.0,0.015625
discovery,mcar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,MissForest,SimpleMean,1.7610788481651167,2.8081285785899355,-1.0470497304248183,-1.1550640551689266,-0.940611993880386,-1.0,0.015625
discovery,mcar,0.05,rmse,False,23.0,0.6953125,10,5000,,0.6953125,RFECA_SVR(k=5),"KNN(k=5,dist)",2.0406309920844974,2.016992315275133,0.0236386768093642,-0.095683092024215,0.1315610659057034,0.1636363636363635,0.6953125
discovery,mcar,0.05,rmse,False,12.0,0.130859375,10,5000,,0.26171875,RFECA_SVR(k=10),"KNN(k=5,dist)",2.1476662234311603,2.016992315275133,0.1306739081560278,-0.0131533450796549,0.2703165390967707,0.5636363636363637,0.26171875
