method,source_method,mechanism,missing_rate,rmse_mean,rmse_std,rmse_ci95_low,rmse_ci95_high,mae_mean,mae_std,n_reps,protocol
RFECA,OriginalRFECA,MCAR,0.05,0.6126294477322902,0.01195094663336397,0.5977903875531877,0.6274685079113927,0.40532440028215044,0.007974038388733302,5,target_wise_mask_holdout_v2
RFECA,OriginalRFECA,MCAR,0.1,0.6146483301148795,0.007802960381589046,0.6049596751296501,0.6243369851001089,0.4068570536465068,0.0030565786477224125,5,target_wise_mask_holdout_v2
RFECA,OriginalRFECA,MCAR,0.2,0.6142628969911292,0.0047068809486148985,0.6084185323734029,0.6201072616088555,0.4055136691507458,0.0023262797757009467,5,target_wise_mask_holdout_v2
RFECA,OriginalRFECA,MCAR,0.3,0.621264192718725,0.004157016009394264,0.6161025755999034,0.6264258098375466,0.4094874433077754,0.002449502730072561,5,target_wise_mask_holdout_v2
RFECA,OriginalRFECA,MAR,0.05,0.6414245784651376,0.014923752031649173,0.6228942928493185,0.6599548640809566,0.42075778551592996,0.005661247661414128,5,target_wise_mask_holdout_v2
RFECA,OriginalRFECA,MAR,0.1,0.6388336206778935,0.011371817639613528,0.6247136441206469,0.6529535972351401,0.41848359431686183,0.005504985287477346,5,target_wise_mask_holdout_v2
RFECA,OriginalRFECA,MAR,0.2,0.6397229901203969,0.005241512670961932,0.6332147925407347,0.6462311877000592,0.4192777664355106,0.0022342368501890443,5,target_wise_mask_holdout_v2
RFECA,OriginalRFECA,MAR,0.3,0.6394937412851157,0.0021561704032664855,0.6368165021213872,0.6421709804488442,0.4185684976745369,0.0023505010255108674,5,target_wise_mask_holdout_v2
