mechanism,rate_pct,Mean,KNN,MissForest,RFECA
MCAR,5,0.879,0.881,0.881,0.882
MCAR,10,0.875,0.876,0.879,0.877
MCAR,20,0.866,0.869,0.874,0.876
MCAR,30,0.855,0.858,0.866,0.872
MAR,5,0.881,0.880,0.881,0.882
MAR,10,0.874,0.878,0.879,0.879
MAR,20,0.864,0.872,0.871,0.877
MAR,30,0.848,0.848,0.861,0.872
