mechanism,missing_rate,method,metric,mean,std,ci95_low,ci95_high,n_replications
MCAR,0.2,MissForest,recall_macro,0.8646195181227274,0.005258266039429813,0.8608579811979903,0.8683810550474645,10
MCAR,0.3,Mean,bal_acc,0.8453412114914041,0.007524920268626929,0.8399582078103631,0.850724215172445,10
MCAR,0.3,KNN,bal_acc,0.8484000517739286,0.005510169552009263,0.8444583139318296,0.8523417896160277,10
MCAR,0.3,RFECA-k5,bal_acc,0.852126338573707,0.004990328563254919,0.8485564725729199,0.8556962045744941,10
MCAR,0.3,RFECA-k10,bal_acc,0.8547941472306043,0.004939842253578276,0.8512603969601014,0.8583278975011073,10
MCAR,0.3,RFECA-k20,bal_acc,0.854328337010301,0.005764779023288298,0.8502044625245969,0.858452211496005,10
MCAR,0.3,MissForest,bal_acc,0.8574428629778437,0.005390130112138443,0.853586996178045,0.8612987297776423,10
MCAR,0.3,Mean,f1_macro,0.8550846750816824,0.0073181240669084775,0.8498496044916692,0.8603197456716956,10
MCAR,0.3,KNN,f1_macro,0.8582261234591261,0.0055271498051771345,0.8542722386756582,0.862180008242594,10
MCAR,0.3,RFECA-k5,f1_macro,0.8611557612545108,0.005057186193859586,0.8575380681859538,0.8647734543230677,10
MCAR,0.3,RFECA-k10,f1_macro,0.863862901789948,0.004907084842632096,0.8603525847595871,0.8673732188203088,10
MCAR,0.3,RFECA-k20,f1_macro,0.8627088318455878,0.006279372021147471,0.858216839705101,0.8672008239860746,10
MCAR,0.3,MissForest,f1_macro,0.8662237147375468,0.005465865519819935,0.8623136700908367,0.8701337593842569,10
MCAR,0.3,Mean,precision_macro,0.8694338317558146,0.007110402452455382,0.8643473562572198,0.8745203072544093,10
MCAR,0.3,KNN,precision_macro,0.8727010797200478,0.005721769215522338,0.8686079725973536,0.8767941868427421,10
MCAR,0.3,RFECA-k5,precision_macro,0.8743087124486577,0.005231197868904439,0.8705665389266379,0.8780508859706775,10
MCAR,0.3,RFECA-k10,precision_macro,0.8769523766369602,0.004973506839980709,0.8733945441720877,0.8805102091018328,10
MCAR,0.3,RFECA-k20,precision_macro,0.8747233335378402,0.006923477972662117,0.8697705757567605,0.8796760913189198,10
MCAR,0.3,MissForest,precision_macro,0.8785761485035225,0.005799537063858796,0.8744274096134583,0.8827248873935867,10
MCAR,0.3,Mean,recall_macro,0.8453412114914041,0.00752492026862693,0.8399582078103631,0.850724215172445,10
MCAR,0.3,KNN,recall_macro,0.8484000517739284,0.00551016955200931,0.8444583139318292,0.8523417896160276,10
MCAR,0.3,RFECA-k5,recall_macro,0.852126338573707,0.004990328563254873,0.84855647257292,0.855696204574494,10
MCAR,0.3,RFECA-k10,recall_macro,0.8547941472306043,0.004939842253578276,0.8512603969601014,0.8583278975011073,10
MCAR,0.3,RFECA-k20,recall_macro,0.854328337010301,0.0057647790232883,0.8502044625245969,0.858452211496005,10
